Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,70.0,-1.7892156862745099,-0.42647058823529416,0.06224712107065049
EMG1_mean,36.0,79.0,-1.406862745098039,-0.6764705882352942,0.07846320346320347
EMG2_mean,15.0,108.0,-2.7107843137254903,0.6617647058823529,0.015619723066531574
EMG3_mean,59.0,115.0,-0.946078431372549,0.16666666666666669,0.05151768309663046
EMG4_mean,9.0,123.0,-2.7303921568627447,0.8186274509803921,0.0055210489993098725
EMG5_mean,7.0,111.0,-3.8480392156862746,1.426470588235294,0.009826152683295541
EMG6_mean,45.0,108.0,-1.4411764705882355,1.6470588235294117,0.04154265873015873
EMG7_mean,28.0,118.0,-2.2745098039215685,1.0147058823529411,0.01744287458573173
Accl0_mean,99.0,122.0,0.7714485,0.808052843137255,0.17691798941798942
Accl1_mean,72.0,97.0,-0.4205704999999999,-0.38399257352941174,0.16025641025641027
Accl2_mean,0.0,18.0,0.4259487843137255,0.4627685294117646,0.23391812865497075
Gyr0_mean,20.0,106.0,0.037377450980392156,0.9402573529411766,0.020069330414158
Gyr1_mean,9.0,59.0,-4.32015931372549,-2.3704044117647056,0.06224712107065049
Gyr2_mean,63.0,104.0,-0.5900735294117647,0.4705882352941177,0.08408919123204837
Orien0_mean,38.0,61.0,67.91176470588235,68.85294117647058,0.17691798941798942
Orien1_mean,7.0,27.0,33.69117647058823,37.39705882352942,0.20786092214663643
Orien2_mean,47.0,92.0,101.56862745098042,110.56862745098039,0.0733264320220842
EMG0_min,102.0,129.0,-19.0,-5.25,0.1459750566893424
EMG1_min,99.0,128.0,-14.25,-5.75,0.13359788359788358
EMG2_min,45.0,95.0,-43.0,-22.0,0.06224712107065049
EMG3_min,32.0,105.0,-23.0,-12.0,0.030566280566280562
EMG4_min,27.0,93.0,-33.0,-19.0,0.03790570954750059
EMG5_min,62.0,113.0,-43.0,-23.75,0.06028693528693529
EMG6_min,47.0,112.0,-55.25,-25.75,0.03908128908128908
EMG7_min,94.0,126.0,-20.0,-8.75,0.11784511784511784
Accl0_min,103.0,127.0,0.7303467499999999,0.7801517499999999,0.16825396825396824
Accl1_min,90.0,108.0,-0.468384,-0.40502925,0.23391812865497075
Accl2_min,19.0,44.0,0.404297,0.43933125,0.16025641025641027
Gyr0_min,89.0,127.0,-3.9375,-1.40625,0.09361009361009362
Gyr1_min,37.0,116.0,-24.75,-9.640625,0.025297619047619048
Gyr2_min,67.0,124.0,-17.953125,-5.15625,0.049945265462506834
Orien0_min,49.0,85.0,67.0,68.25,0.10081510081510081
Orien1_min,8.0,32.0,32.75,36.0,0.16825396825396824
Orien2_min,40.0,87.0,99.0,106.0,0.06861772486772487
EMG0_max,5.0,24.0,6.75,16.25,0.22023809523809523
EMG1_max,1.0,53.0,3.5,18.0,0.05840071877807727
EMG2_max,26.0,91.0,16.75,38.25,0.03908128908128908
EMG3_max,20.0,96.0,9.0,20.25,0.02782931354359925
EMG4_max,17.0,105.0,14.0,35.0,0.018726591760299626
EMG5_max,14.0,99.0,25.0,71.25,0.020764119601328904
EMG6_max,6.0,100.0,21.75,78.25,0.015037593984962403
EMG7_max,3.0,47.0,7.75,24.0,0.07583774250440917
Accl0_max,79.0,112.0,0.7901615,0.8269042500000001,0.11321195144724557
Accl1_max,44.0,80.0,-0.39086925,-0.3405765,0.10081510081510081
Accl2_max,0.0,36.0,0.461792,0.5362549999999999,0.10081510081510081
Gyr0_max,1.0,87.0,2.921875,12.734375,0.020069330414158
Gyr1_max,1.0,23.0,-0.25,3.84375,0.1863354037267081
Gyr2_max,28.0,89.0,7.203125,18.125,0.044162826420890935
Orien0_max,20.0,63.0,68.0,70.25,0.07846320346320347
Orien1_max,3.0,36.0,35.0,40.25,0.11321195144724557
Orien2_max,33.0,82.0,101.75,111.0,0.06428571428571428
EMG0_stdev,5.0,17.0,3.2255832354128398,5.976661089488556,0.3601953601953602
EMG1_stdev,2.0,23.0,2.5088095018376353,4.650865539942637,0.19660894660894662
EMG2_stdev,51.0,100.0,10.446753603481929,16.97268607399454,0.06428571428571428
EMG3_stdev,39.0,81.0,5.3969435597605,6.870681953819798,0.0812107788851975
EMG4_stdev,39.0,91.0,7.911613902918606,10.88877366493213,0.05840071877807727
EMG5_stdev,28.0,81.0,12.620861930653675,20.33534631588237,0.056584362139917695
EMG6_stdev,14.0,89.0,10.767762915984772,24.223203672053724,0.028717627401837927
EMG7_stdev,4.0,60.0,4.228508791801185,10.386176547971417,0.05151768309663046
Accl0_stdev,1.0,60.0,0.007277343669932276,0.017167879366599952,0.046957671957671955
Accl1_stdev,0.0,31.0,0.008430834553666795,0.017392297455127527,0.12276785714285714
Accl2_stdev,5.0,90.0,0.009519711821378729,0.025062624424777958,0.020764119601328904
Gyr0_stdev,1.0,64.0,1.123987602797907,2.8192864832843845,0.04154265873015873
Gyr1_stdev,8.0,87.0,2.1866094542874657,5.6497601358835485,0.025297619047619048
Gyr2_stdev,7.0,54.0,2.5029477078984588,4.679388043835429,0.06861772486772487
Orien0_stdev,1.0,89.0,0.0,0.8238901788154918,0.018726591760299626
Orien1_stdev,4.0,86.0,0.4278897258449033,1.5848814257815074,0.02294893861158922
Orien2_stdev,24.0,97.0,0.5240254513099579,1.4920342569553728,0.030566280566280562
EMG0_energy,5.0,18.0,543.0,1898.0,0.33163265306122447
EMG1_energy,1.0,23.0,336.75,1171.0,0.1863354037267081
EMG2_energy,51.0,100.0,5672.0,14906.75,0.06428571428571428
EMG3_energy,36.0,78.0,1459.25,2368.25,0.0812107788851975
EMG4_energy,38.0,89.0,3133.75,5977.75,0.06028693528693529
EMG5_energy,27.0,81.0,8032.75,20733.25,0.054834054834054825
EMG6_energy,13.0,87.0,5875.25,29509.5,0.029629629629629624
