Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,59.0,98.0,-0.9852941176470589,0.24019607843137253,0.0908203125
EMG1_mean,21.0,127.0,-4.406862745098039,4.534313725490196,0.009491822429906545
EMG2_mean,51.0,130.0,-2.313725490196078,5.279411764705882,0.02587890625
EMG3_mean,58.0,126.0,-0.8235294117647058,1.2058823529411764,0.03623188405797101
EMG4_mean,78.0,131.0,-0.5294117647058824,2.11764705882353,0.05714699074074074
EMG5_mean,57.0,125.0,-1.6274509803921569,4.245098039215685,0.03623188405797101
EMG6_mean,5.0,131.0,-8.509803921568626,10.892156862745098,0.0018454724409448786
EMG7_mean,29.0,118.0,-3.75,3.3235294117647056,0.018663194444444448
Accl0_mean,31.0,59.0,0.803182019607843,0.828165661764706,0.1400862068965517
Accl1_mean,5.0,23.0,-0.43211216666666674,-0.39971085294117653,0.234375
Accl2_mean,33.0,55.0,0.3855626617647059,0.4076048039215685,0.18682065217391305
Gyr0_mean,11.0,59.0,-0.5775122549019608,0.3284313725490196,0.06696428571428571
Gyr1_mean,49.0,107.0,-1.9920343137254903,-0.47855392156862747,0.048993644067796605
Gyr2_mean,76.0,123.0,-0.32107843137254904,0.5934436274509804,0.06917317708333333
Orien0_mean,21.0,29.0,66.02941176470588,66.38235294117649,0.5381944444444444
Orien1_mean,73.0,101.0,33.3578431372549,35.63725490196078,0.1400862068965517
Orien2_mean,38.0,43.0,95.6029411764706,95.88235294117645,0.8268229166666666
EMG0_min,126.0,132.0,-19.25,-11.25,0.703125
EMG1_min,25.0,71.0,-96.0,-68.0,0.07147606382978723
EMG2_min,15.0,69.0,-105.25,-73.0,0.05539772727272728
EMG3_min,15.0,85.0,-27.0,-16.0,0.03411091549295775
EMG4_min,9.0,83.0,-34.0,-19.0,0.030208333333333337
EMG5_min,84.0,103.0,-58.25,-41.0,0.220703125
EMG6_min,2.0,41.0,-128.0,-84.0,0.0908203125
EMG7_min,74.0,121.0,-54.25,-32.5,0.06917317708333333
Accl0_min,13.0,114.0,0.6370849999999999,0.791992,0.011871936274509803
Accl1_min,17.0,61.0,-0.5842285,-0.4747315,0.0763888888888889
Accl2_min,61.0,87.0,0.342285,0.37292499999999995,0.15335648148148148
Gyr0_min,8.0,37.0,-25.34375,-9.671875,0.13411458333333334
Gyr1_min,37.0,118.0,-33.15625,-11.421875,0.02429496951219512
Gyr2_min,11.0,93.0,-36.875,-15.78125,0.023531626506024098
Orien0_min,24.0,39.0,65.0,66.0,0.28564453125
Orien1_min,72.0,100.0,32.0,34.0,0.1400862068965517
Orien2_min,28.0,51.0,91.75,94.0,0.17740885416666666
EMG0_max,0.0,17.0,14.0,26.5,0.2495659722222222
EMG1_max,46.0,112.0,57.0,101.0,0.0384794776119403
EMG2_max,77.0,111.0,79.0,109.0,0.109375
EMG3_max,70.0,123.0,18.0,35.5,0.05714699074074074
EMG4_max,82.0,132.0,25.75,58.75,0.0628063725490196
EMG5_max,43.0,127.0,62.0,120.0,0.022058823529411763
EMG6_max,89.0,120.0,90.0,116.75,0.123291015625
EMG7_max,18.0,52.0,32.75,49.25,0.109375
Accl0_max,29.0,60.0,0.8422850000000001,0.867676,0.123291015625
Accl1_max,8.0,57.0,-0.36621125,-0.30859375,0.06484375
Accl2_max,19.0,94.0,0.4577635,0.575439,0.029296875
Gyr0_max,17.0,65.0,6.5625,13.765625,0.06696428571428571
Gyr1_max,36.0,84.0,5.125,8.5625,0.06696428571428571
Gyr2_max,91.0,116.0,15.234375,24.0625,0.16075721153846154
Orien0_max,23.0,36.0,67.0,69.25,0.33203125
Orien1_max,60.0,100.0,37.0,41.25,0.08765243902439024
Orien2_max,27.0,31.0,94.5,97.0,1.0
EMG0_stdev,0.0,9.0,6.4098311502369825,9.268463329331855,0.48046875
EMG1_stdev,87.0,115.0,30.459009816137105,42.8855610923973,0.1400862068965517
EMG2_stdev,93.0,106.0,36.69156898321039,39.35468817668257,0.33203125
EMG3_stdev,74.0,122.0,8.222182515176344,11.274474642049011,0.06696428571428571
EMG4_stdev,63.0,126.0,9.066201957008115,13.816305609911051,0.0421142578125
EMG5_stdev,43.0,69.0,24.938352073971288,30.134938393166607,0.15335648148148148
EMG6_stdev,117.0,125.0,44.94028653094651,49.350814769449585,0.5381944444444444
EMG7_stdev,10.0,42.0,13.790558020209893,18.16264253576364,0.11837121212121213
Accl0_stdev,11.0,109.0,0.013020917899139976,0.03367478726050917,0.01341540404040404
Accl1_stdev,36.0,88.0,0.019326913032943146,0.03224339427175575,0.0589622641509434
Accl2_stdev,14.0,83.0,0.018292914755880196,0.03744672745855378,0.03515625
Gyr0_stdev,42.0,102.0,2.7256849814793864,4.577933181807006,0.046106557377049176
Gyr1_stdev,7.0,75.0,2.694844171541682,7.519986507912339,0.03623188405797101
Gyr2_stdev,41.0,117.0,3.9924283334393427,7.7774799912138946,0.02840909090909091
Orien0_stdev,28.0,86.0,0.33318560112495,0.6747457138538917,0.048993644067796605
Orien1_stdev,13.0,67.0,0.70390960947607,1.7459756324952853,0.05539772727272728
Orien2_stdev,26.0,78.0,0.4542380206807625,0.8685112870704881,0.0589622641509434
EMG0_energy,0.0,8.0,2042.25,4240.75,0.5381944444444444
EMG1_energy,88.0,115.0,47520.5,92579.75,0.146484375
EMG2_energy,93.0,106.0,67783.75,77680.0,0.33203125
EMG3_energy,71.0,120.0,3292.5,6341.25,0.06484375
EMG4_energy,62.0,125.0,4136.5,9526.25,0.0421142578125
EMG5_energy,42.0,68.0,31414.0,45435.75,0.15335648148148148
EMG6_energy,117.0,127.0,101219.75,129914.75,0.43323863636363635
EMG7_energy,11.0,42.0,10162.0,16769.0,0.123291015625
Accl0_energy,31.0,59.0,32.95575318575351,34.99439597634175,0.1400862068965517
Accl1_energy,108.0,127.0,8.167726002957503,9.5678659132465,0.220703125
Accl2_energy,32.0,56.0,7.596261842690249,8.552537085015498,0.16875
