Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,3.0,124.0,-7.171568627450981,2.8235294117647056,0.002795780912441225
EMG1_mean,6.0,119.0,-6.759803921568629,2.8823529411764706,0.005167958656330751
EMG2_mean,11.0,102.0,-6.073529411764706,1.5441176470588234,0.013818672059319177
EMG3_mean,1.0,119.0,-4.171568627450981,0.7892156862745099,0.003647970816233471
EMG4_mean,0.0,104.0,-4.230392156862747,0.27941176470588236,0.008268733850129197
EMG5_mean,4.0,59.0,-9.049019607843137,-1.446078431372549,0.04263565891472868
EMG6_mean,1.0,126.0,-11.529411764705884,5.0931372549019605,0.001722652885443584
EMG7_mean,13.0,123.0,-6.475490196078431,4.323529411764706,0.006145680564285215
Accl0_mean,55.0,85.0,0.8224786911764705,0.8435489460784316,0.10202550637659415
Accl1_mean,55.0,97.0,-0.36486816666666677,-0.328778406862745,0.06489994591671173
Accl2_mean,42.0,76.0,0.3948615931372549,0.4324736029411764,0.08682170542635659
Gyr0_mean,24.0,81.0,0.03707107843137254,0.4834558823529412,0.040096230954290296
Gyr1_mean,9.0,30.0,-3.3299632352941178,-2.4638480392156863,0.1564482029598309
Gyr2_mean,27.0,49.0,-1.6317401960784312,-0.8728553921568627,0.1482979440512302
Orien0_mean,42.0,66.0,68.16666666666666,70.06372549019608,0.13395348837209303
Orien1_mean,47.0,81.0,31.52450980392157,34.17156862745098,0.08682170542635659
Orien2_mean,122.0,129.0,117.74019607843138,120.95588235294117,0.4844961240310077
EMG0_min,20.0,52.0,-67.0,-44.75,0.09396288466055908
EMG1_min,9.0,90.0,-122.5,-59.0,0.01928530913216109
EMG2_min,4.0,74.0,-117.75,-69.75,0.027077191833169558
EMG3_min,0.0,43.0,-88.5,-21.0,0.0627202255109232
EMG4_min,31.0,62.0,-27.0,-22.0,0.09786821705426356
EMG5_min,9.0,23.0,-105.0,-90.75,0.24392764857881138
EMG6_min,48.0,72.0,-80.0,-64.75,0.13395348837209303
EMG7_min,5.0,51.0,-128.0,-76.75,0.056737588652482275
Accl0_min,27.0,71.0,0.6835939999999999,0.75378425,0.06063738156761413
Accl1_min,46.0,97.0,-0.5050049999999999,-0.410645,0.048300536672629686
Accl2_min,53.0,102.0,0.33300775,0.40075649999999996,0.05147286821705427
Gyr0_min,38.0,95.0,-9.640625,-4.9375,0.040096230954290296
Gyr1_min,12.0,67.0,-45.6875,-25.671875,0.04263565891472868
Gyr2_min,16.0,104.0,-34.609375,-12.078125,0.015329675115408068
