Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,36.0,106.0,-1.9803921568627452,0.8529411764705882,0.027077191833169558
EMG1_mean,31.0,60.0,-3.7549019607843137,-1.8774509803921569,0.10645994832041344
EMG2_mean,35.0,129.0,-3.4901960784313726,4.8088235294117645,0.012403100775193797
EMG3_mean,111.0,128.0,0.3725490196078432,1.4215686274509804,0.19810508182601208
EMG4_mean,66.0,132.0,-0.6862745098039216,2.4705882352941178,0.030544949670253382
EMG5_mean,110.0,128.0,2.068627450980392,5.524509803921568,0.18604651162790697
EMG6_mean,8.0,130.0,-7.0931372549019605,9.303921568627452,0.0025209554421125606
EMG7_mean,77.0,107.0,-0.3627450980392157,1.8872549019607845,0.10202550637659415
Accl0_mean,68.0,90.0,0.8341280245098037,0.8453943529411767,0.1482979440512302
Accl1_mean,73.0,93.0,-0.34237367156862747,-0.33251714705882335,0.16537467700258396
Accl2_mean,50.0,71.0,0.4020397598039216,0.42465152941176476,0.1564482029598309
Gyr0_mean,13.0,75.0,-0.5024509803921569,0.4534313725490196,0.034453057708871665
Gyr1_mean,27.0,50.0,-2.5870098039215685,-1.9528186274509802,0.14082687338501293
Gyr2_mean,39.0,68.0,-1.1718750000000002,-0.3857230392156863,0.10645994832041344
Orien0_mean,56.0,67.0,69.1421568627451,70.08823529411765,0.31266149870801035
Orien1_mean,45.0,66.0,31.5,32.76960784313725,0.1564482029598309
Orien2_mean,127.0,132.0,120.0343137254902,121.84803921568627,0.6563307493540051
EMG0_min,63.0,125.0,-42.0,-19.75,0.034453057708871665
EMG1_min,12.0,73.0,-120.0,-68.0,0.035508877219304825
EMG2_min,26.0,65.0,-96.25,-75.0,0.07209302325581396
EMG3_min,16.0,83.0,-26.25,-16.0,0.029639762881896944
EMG4_min,5.0,24.0,-36.25,-29.0,0.17519379844961241
EMG5_min,53.0,87.0,-75.0,-55.75,0.08682170542635659
EMG6_min,2.0,6.0,-128.0,-116.0,0.7937984496124031
EMG7_min,82.0,113.0,-52.0,-35.0,0.09786821705426356
Accl0_min,58.0,94.0,0.7358399999999999,0.77124025,0.08045254556882464
Accl1_min,62.0,111.0,-0.4730225,-0.392578,0.05147286821705427
Accl2_min,71.0,103.0,0.3585205,0.40356425,0.09396288466055908
Gyr0_min,11.0,100.0,-18.703125,-4.625,0.014814814814814817
Gyr1_min,28.0,56.0,-37.59375,-27.703125,0.11120021384656509
Gyr2_min,34.0,93.0,-27.59375,-15.515625,0.037726098191214474
Orien0_min,73.0,97.0,68.75,70.25,0.13395348837209303
Orien1_min,35.0,77.0,30.0,32.25,0.06489994591671173
Orien2_min,128.0,132.0,118.75,119.75,0.7937984496124031
EMG0_max,2.0,75.0,14.75,48.0,0.024722396815420072
EMG1_max,77.0,107.0,70.75,95.25,0.10202550637659415
EMG2_max,54.0,116.0,65.5,111.5,0.034453057708871665
EMG3_max,88.0,114.0,21.75,28.0,0.1217341372380132
EMG4_max,110.0,128.0,33.75,47.5,0.18604651162790697
EMG5_max,64.0,106.0,77.0,100.0,0.06489994591671173
EMG6_max,80.0,130.0,80.75,127.0,0.04985560115519076
EMG7_max,24.0,47.0,35.0,47.25,0.14082687338501293
Accl0_max,57.0,78.0,0.86499,0.876099,0.1564482029598309
Accl1_max,39.0,80.0,-0.32189924999999997,-0.28942875,0.06718346253229973
Accl2_max,53.0,85.0,0.51232875,0.544434,0.09396288466055908
Gyr0_max,1.0,63.0,1.875,13.40625,0.034453057708871665
Gyr1_max,0.0,23.0,1.5,4.484375,0.14082687338501293
Gyr2_max,3.0,82.0,1.671875,13.09375,0.020542635658914732
Orien0_max,60.0,64.0,71.0,71.0,0.7937984496124031
Orien1_max,49.0,81.0,36.0,39.25,0.09396288466055908
Orien2_max,122.0,128.0,120.75,123.0,0.5581395348837209
EMG0_stdev,10.0,50.0,9.459433549394205,15.526085888252862,0.06957837020230669
EMG1_stdev,84.0,119.0,29.729673722381285,45.39199350542654,0.08354866494401379
EMG2_stdev,95.0,119.0,36.733162188561224,43.51979659885973,0.13395348837209303
EMG3_stdev,102.0,124.0,9.50938337029122,11.56777432198087,0.1482979440512302
EMG4_stdev,106.0,132.0,11.457429620252178,16.19149726032094,0.1217341372380132
EMG5_stdev,62.0,110.0,28.87102336974722,39.619499136866125,0.053156146179401995
EMG6_stdev,128.0,132.0,52.10771176391342,65.18184135365013,0.7937984496124031
EMG7_stdev,32.0,57.0,16.800794311521063,21.5870232814111,0.12760882528324388
Accl0_stdev,50.0,80.0,0.019126716873194408,0.024643731104299536,0.10202550637659415
Accl1_stdev,9.0,79.0,0.01404419382036312,0.030334672056425618,0.027077191833169558
Accl2_stdev,36.0,65.0,0.02447944632241684,0.03218868004211194,0.10645994832041344
Gyr0_stdev,1.0,95.0,1.2210438238301404,4.213621041439476,0.012403100775193797
Gyr1_stdev,56.0,65.0,6.419420379041393,6.766494789566435,0.3813953488372093
Gyr2_stdev,36.0,66.0,3.7251024698699906,4.732685960943973,0.10202550637659415
Orien0_stdev,4.0,60.0,0.14702940882294097,0.5092680544652538,0.041343669250646
Orien1_stdev,55.0,96.0,1.58240591071105,2.2614847886503475,0.06718346253229973
Orien2_stdev,6.0,49.0,0.28284271247461895,0.6330752828262133,0.0627202255109232
EMG0_energy,10.0,50.0,4651.0,12109.0,0.06957837020230669
EMG1_energy,83.0,119.0,44509.25,103707.0,0.08045254556882464
EMG2_energy,93.0,119.0,67375.5,95184.25,0.1217341372380132
EMG3_energy,104.0,124.0,4612.0,6698.0,0.16537467700258396
EMG4_energy,106.0,132.0,6691.0,13388.25,0.1217341372380132
EMG5_energy,64.0,109.0,42987.0,78864.25,0.05864509605662285
EMG6_energy,129.0,132.0,142862.0,213812.25,1.0
EMG7_energy,30.0,56.0,14090.75,23461.25,0.1217341372380132
Accl0_energy,68.0,90.0,35.504125344402745,36.467312126755004,0.1482979440512302
Accl1_energy,37.0,58.0,5.6533462296605,6.0197308011252515,0.1564482029598309
Accl2_energy,50.0,71.0,8.29957651033775,9.225366235149998,0.1564482029598309
Gyr0_energy,0.0,94.0,80.3818359375,901.1708984375,0.012403100775193797
Gyr1_energy,58.0,64.0,2279.708984375,2498.2724609375,0.5581395348837209
Gyr2_energy,35.0,66.0,712.31640625,1192.021484375,0.09786821705426356
Orien0_energy,56.0,67.0,243823.25,250556.0,0.31266149870801035
Orien1_energy,44.0,66.0,50717.5,54993.25,0.1482979440512302
Orien2_energy,127.0,132.0,734840.25,757213.75,0.6563307493540051
