Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,12.0,98.0,-3.6960784313725497,0.2647058823529412,0.02065373563218391
EMG1_mean,8.0,126.0,-6.490196078431373,4.250000000000001,0.004595588235294115
EMG2_mean,7.0,100.0,-7.392156862745097,1.2696078431372548,0.016206781914893616
EMG3_mean,34.0,104.0,-1.338235294117647,0.2058823529411765,0.03411091549295775
EMG4_mean,75.0,121.0,-0.553921568627451,0.9215686274509804,0.07147606382978723
EMG5_mean,72.0,86.0,-0.8235294117647058,0.10294117647058823,0.3072916666666667
EMG6_mean,47.0,88.0,-2.318627450980392,0.10784313725490197,0.08463541666666667
EMG7_mean,71.0,112.0,-0.5980392156862745,2.299019607843137,0.08463541666666667
Accl0_mean,58.0,116.0,0.8244988480392159,0.8703445539215686,0.048993644067796605
Accl1_mean,94.0,127.0,-0.33230174999999995,-0.279950318627451,0.11374080882352941
Accl2_mean,18.0,92.0,0.33089667401960793,0.4524261078431373,0.030208333333333337
Gyr0_mean,10.0,44.0,-0.6087622549019608,0.21997549019607843,0.109375
Gyr1_mean,0.0,4.0,-9.417279411764705,-4.0266544117647065,1.0
Gyr2_mean,3.0,24.0,-3.2325367647058822,-1.7248774509803921,0.19708806818181818
Orien0_mean,40.0,114.0,67.81372549019608,72.24509803921568,0.030208333333333337
Orien1_mean,9.0,74.0,27.25980392156863,33.50980392156863,0.039654356060606064
Orien2_mean,0.0,18.0,81.66176470588235,86.80882352941174,0.234375
EMG0_min,42.0,113.0,-51.0,-26.0,0.03309461805555555
EMG1_min,79.0,126.0,-65.0,-33.0,0.06917317708333333
EMG2_min,83.0,127.0,-64.25,-27.75,0.0763888888888889
EMG3_min,33.0,122.0,-23.0,-11.75,0.018663194444444448
EMG4_min,98.0,132.0,-16.0,-4.25,0.109375
EMG5_min,126.0,132.0,-17.25,-8.0,0.703125
EMG6_min,123.0,132.0,-23.25,-12.25,0.48046875
EMG7_min,56.0,132.0,-73.0,-13.75,0.02840909090909091
Accl0_min,4.0,32.0,0.59997525,0.693726,0.1400862068965517
Accl1_min,97.0,110.0,-0.41284150000000003,-0.392944,0.33203125
Accl2_min,0.0,60.0,-0.055786125,0.342285,0.046106557377049176
Gyr0_min,33.0,71.0,-9.96875,-6.609375,0.09415064102564102
Gyr1_min,0.0,9.0,-100.109375,-52.21875,0.48046875
Gyr2_min,13.0,76.0,-35.71875,-18.765625,0.0421142578125
Orien0_min,18.0,123.0,64.0,72.0,0.009949882075471699
Orien1_min,0.0,43.0,20.75,30.0,0.07901278409090909
Orien2_min,1.0,7.0,79.0,81.0,0.703125
EMG0_max,34.0,95.0,34.75,57.25,0.04473286290322581
EMG1_max,12.0,88.0,34.0,79.0,0.02840909090909091
EMG2_max,1.0,54.0,21.75,66.5,0.05714699074074074
EMG3_max,5.0,30.0,8.0,13.0,0.16075721153846154
EMG4_max,4.0,27.0,7.75,15.25,0.17740885416666666
EMG5_max,0.0,18.0,3.75,36.5,0.234375
EMG6_max,0.0,12.0,12.0,33.25,0.3605769230769231
EMG7_max,3.0,104.0,23.75,107.5,0.011871936274509803
Accl0_max,83.0,132.0,0.88037075,0.956421,0.06484375
Accl1_max,78.0,120.0,-0.29064924999999997,-0.22180149999999998,0.08175872093023256
Accl2_max,110.0,132.0,0.6275635,0.7376705000000001,0.18682065217391305
Gyr0_max,3.0,119.0,2.921875,34.640625,0.005341880341880344
Gyr1_max,85.0,109.0,8.5625,15.609375,0.16875
Gyr2_max,7.0,39.0,2.828125,7.734375,0.11837121212121213
Orien0_max,106.0,121.0,74.0,75.0,0.28564453125
Orien1_max,111.0,131.0,44.0,50.75,0.20833333333333334
Orien2_max,1.0,24.0,82.0,90.0,0.17740885416666666
EMG0_stdev,18.0,75.0,10.954729061471296,18.855514066612685,0.050511853448275856
EMG1_stdev,7.0,93.0,13.88690186088084,31.447281205511736,0.02065373563218391
EMG2_stdev,1.0,26.0,11.125664358081947,20.60752481178264,0.16075721153846154
EMG3_stdev,7.0,59.0,4.5226930590138466,7.295213099572123,0.0589622641509434
EMG4_stdev,0.0,25.0,2.459296472866951,6.377295023474636,0.16075721153846154
EMG5_stdev,0.0,8.0,3.2473023818400666,7.080807688557957,0.5381944444444444
EMG6_stdev,0.0,10.0,4.505690635205465,11.035780322454295,0.43323863636363635
EMG7_stdev,0.0,89.0,6.5467434671434495,37.98080968568281,0.018663194444444448
Accl0_stdev,125.0,131.0,0.043196171125077884,0.062388921507273744,0.703125
Accl1_stdev,48.0,95.0,0.021985208351034864,0.03389842750275774,0.06917317708333333
Accl2_stdev,115.0,132.0,0.06138917072120817,0.11023015549361462,0.2495659722222222
Gyr0_stdev,4.0,109.0,1.6343821851650904,5.489102636202958,0.009949882075471699
Gyr1_stdev,123.0,129.0,13.603382418614032,24.15810098347831,0.703125
Gyr2_stdev,68.0,120.0,4.806792627105927,9.794718141123939,0.0589622641509434
Orien0_stdev,84.0,121.0,0.6422997895125331,2.451564753107384,0.09765625
Orien1_stdev,126.0,132.0,3.437110047762878,5.651399964740092,0.703125
Orien2_stdev,63.0,123.0,0.7236238475268575,2.577468396902887,0.046106557377049176
EMG0_energy,19.0,75.0,6373.25,17784.75,0.05208333333333333
EMG1_energy,7.0,93.0,9681.0,49482.0,0.02065373563218391
EMG2_energy,1.0,26.0,6300.25,21631.5,0.16075721153846154
