Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,12.0,124.0,-3.6176470588235294,2.8235294117647056,0.008361786635077693
EMG1_mean,11.0,125.0,-6.0245098039215685,3.759803921568628,0.007394727832933926
EMG2_mean,20.0,93.0,-4.5,0.9509803921568627,0.037667588848691216
EMG3_mean,25.0,116.0,-1.4950980392156863,0.5588235294117647,0.021054433413214658
EMG4_mean,22.0,122.0,-1.7745098039215685,1.0245098039215685,0.014968425976455913
EMG5_mean,39.0,106.0,-2.514705882352941,1.7156862745098038,0.04515979620194534
EMG6_mean,44.0,97.0,-2.392156862745098,0.7450980392156863,0.06911636045494314
EMG7_mean,11.0,131.0,-6.901960784313727,8.156862745098039,0.00468536474263031
Accl0_mean,99.0,126.0,0.8507918039215687,0.8812040588235293,0.17716535433070865
Accl1_mean,62.0,113.0,-0.3525318676470588,-0.30950575490196086,0.07359176256814053
Accl2_mean,14.0,34.0,0.3225217352941176,0.3871256372549021,0.25196850393700787
Gyr0_mean,30.0,111.0,0.0821078431372549,1.0459558823529411,0.029383522181678515
Gyr1_mean,5.0,42.0,-4.02359068627451,-2.1875000000000004,0.11811023622047244
Gyr2_mean,52.0,105.0,-0.8085171568627451,0.0934436274509804,0.06911636045494314
Orien0_mean,32.0,43.0,66.74509803921569,68.24509803921569,0.4763779527559055
Orien1_mean,5.0,36.0,26.583333333333336,30.975490196078432,0.14911417322834647
Orien2_mean,73.0,86.0,102.56862745098039,105.29901960784314,0.4015748031496063
EMG0_min,29.0,127.0,-56.25,-17.5,0.016225244571701262
EMG1_min,44.0,115.0,-80.0,-44.0,0.04002624671916011
EMG2_min,39.0,120.0,-90.0,-32.75,0.029383522181678515
EMG3_min,93.0,123.0,-15.0,-11.0,0.15544831089662178
EMG4_min,18.0,106.0,-31.0,-14.75,0.023356630982924887
EMG5_min,18.0,117.0,-94.0,-28.0,0.015590551181102365
EMG6_min,81.0,124.0,-58.25,-18.75,0.09556191839656407
EMG7_min,8.0,90.0,-128.0,-44.75,0.028460297884451195
Accl0_min,48.0,116.0,0.7233885,0.79370125,0.04382060938034919
Accl1_min,72.0,105.0,-0.45104999999999995,-0.39904775,0.13756368689207965
Accl2_min,2.0,64.0,0.192993,0.3450925,0.052493438320209966
Gyr0_min,27.0,101.0,-11.03125,-4.375,0.036535433070866145
Gyr1_min,14.0,69.0,-44.875,-25.4375,0.06496062992125984
Gyr2_min,35.0,121.0,-27.421875,-7.765625,0.024979636166168884
Orien0_min,38.0,70.0,66.0,68.0,0.14316392269148176
Orien1_min,7.0,46.0,24.75,30.0,0.10984251968503936
Orien2_min,70.0,78.0,98.75,101.0,0.6509186351706037
EMG0_max,8.0,56.0,21.0,38.25,0.0809898762654668
EMG1_max,23.0,89.0,46.75,79.0,0.046538958749559295
EMG2_max,7.0,123.0,35.5,122.0,0.0064607308701796875
EMG3_max,19.0,85.0,11.0,21.0,0.046538958749559295
EMG4_max,19.0,112.0,14.0,35.25,0.019601273245099683
EMG5_max,27.0,63.0,50.75,75.0,0.12257927218557141
EMG6_max,7.0,35.0,20.75,50.25,0.1694270974748846
EMG7_max,58.0,115.0,54.0,117.5,0.06109150149334781
Accl0_max,73.0,130.0,0.873901,0.9498292500000001,0.06109150149334781
Accl1_max,46.0,105.0,-0.314087,-0.26135274999999997,0.05748031496062993
Accl2_max,18.0,45.0,0.447754,0.5058590000000001,0.17716535433070865
Gyr0_max,43.0,103.0,10.765625,23.03125,0.055763521363108304
Gyr1_max,28.0,92.0,4.890625,9.875,0.04942459115687463
Gyr2_max,20.0,101.0,4.859375,18.0625,0.029383522181678515
Orien0_max,39.0,51.0,70.0,70.25,0.436099333737129
Orien1_max,11.0,58.0,33.0,37.0,0.08366141732283465
Orien2_max,70.0,87.0,102.75,107.0,0.3018372703412074
EMG0_stdev,11.0,63.0,9.9890295815392,16.694758209308144,0.07131184073688902
EMG1_stdev,19.0,98.0,19.909746678629613,33.36825046115805,0.03129921259842519
EMG2_stdev,13.0,121.0,15.211631298662866,44.86007229292959,0.010402369428592068
EMG3_stdev,5.0,82.0,4.404096721541183,8.671634897565252,0.033313143549364016
EMG4_stdev,27.0,106.0,6.558596595379573,11.582437328822959,0.03129921259842519
EMG5_stdev,23.0,52.0,16.975045693795067,27.52455682361397,0.16220472440944883
EMG6_stdev,10.0,49.0,10.45842284433596,25.305092474484205,0.10984251968503936
EMG7_stdev,55.0,104.0,20.81568661004522,43.849087693128,0.0784251968503937
Accl0_stdev,37.0,115.0,0.0172988954657196,0.035664704908762224,0.03229343167547095
Accl1_stdev,30.0,81.0,0.017912371216562605,0.030740144724845056,0.07359176256814053
Accl2_stdev,45.0,114.0,0.027616278827874055,0.06128884677791115,0.04251968503937008
Gyr0_stdev,46.0,107.0,2.7979520794604116,5.091657540772032,0.05410210820421641
Gyr1_stdev,49.0,119.0,6.11750065772754,11.552559557073785,0.04125540645447488
Gyr2_stdev,7.0,88.0,2.2657638633063524,5.756977433796339,0.029383522181678515
Orien0_stdev,67.0,112.0,0.5500423885116209,1.4446244572673936,0.0893529613146183
Orien1_stdev,59.0,125.0,1.6266676672682963,3.436995950929682,0.046538958749559295
Orien2_stdev,65.0,122.0,0.767457608735802,2.2135639727372705,0.06109150149334781
EMG0_energy,11.0,62.0,5042.0,14328.5,0.07359176256814053
EMG1_energy,19.0,98.0,19853.75,55793.25,0.03129921259842519
EMG2_energy,13.0,121.0,11603.5,101372.5,0.010402369428592068
EMG3_energy,5.0,82.0,999.0,3847.0,0.033313143549364016
EMG4_energy,29.0,108.0,2316.0,6798.25,0.03129921259842519
EMG5_energy,23.0,52.0,14558.5,38177.0,0.16220472440944883
EMG6_energy,11.0,48.0,5896.25,32275.0,0.11811023622047244
EMG7_energy,55.0,103.0,22245.0,96587.25,0.0809898762654668
Accl0_energy,100.0,127.0,36.958090802124254,39.80411893695526,0.17716535433070865
Accl1_energy,18.0,69.0,4.9343668059845,6.3541339804462496,0.07359176256814053
Accl2_energy,15.0,34.0,5.478345129791498,7.68445647490325,0.2669291338582677
