Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,61.0,129.0,-0.9215686274509804,3.3676470588235294,0.028760813391753733
EMG1_mean,62.0,121.0,-1.8039215686274512,2.9950980392156863,0.037726098191214474
EMG2_mean,13.0,127.0,-5.764705882352943,4.401960784313726,0.004853387259858443
EMG3_mean,54.0,92.0,-0.8676470588235294,-0.18137254901960786,0.07473663287616776
EMG4_mean,1.0,110.0,-3.9362745098039222,0.4558823529411765,0.006483439041578574
EMG5_mean,6.0,131.0,-8.377450980392158,7.220588235294119,0.001722652885443584
EMG6_mean,13.0,119.0,-6.240196078431373,3.686274509803922,0.007534593928856047
EMG7_mean,38.0,97.0,-2.5098039215686274,1.1764705882352942,0.037726098191214474
Accl0_mean,129.0,132.0,0.8896699705882356,0.9043088284313725,1.0
Accl1_mean,80.0,110.0,-0.33693319117647064,-0.3186752941176471,0.10202550637659415
Accl2_mean,0.0,3.0,0.23128976470588236,0.2795218970588236,1.0
Gyr0_mean,79.0,106.0,0.47579656862745096,0.8201593137254902,0.11627906976744186
Gyr1_mean,18.0,55.0,-2.8198529411764706,-1.825980392156863,0.07751937984496124
Gyr2_mean,11.0,43.0,-2.1770833333333335,-1.0621936274509802,0.09396288466055908
Orien0_mean,0.0,14.0,62.534313725490186,65.29411764705883,0.24392764857881138
Orien1_mean,0.0,3.0,22.833333333333336,25.622549019607842,1.0
Orien2_mean,44.0,56.0,95.88235294117645,97.65686274509804,0.28622540250447226
EMG0_min,32.0,118.0,-54.25,-23.0,0.016394903323532033
EMG1_min,60.0,101.0,-73.5,-52.75,0.06718346253229973
EMG2_min,17.0,54.0,-105.0,-79.75,0.07751937984496124
EMG3_min,73.0,120.0,-17.0,-12.0,0.05490956072351422
EMG4_min,37.0,113.0,-26.0,-12.75,0.02255109231853418
EMG5_min,17.0,94.0,-94.25,-49.75,0.02186444046909163
EMG6_min,13.0,56.0,-107.25,-74.0,0.0627202255109232
EMG7_min,76.0,119.0,-54.0,-33.75,0.0627202255109232
Accl0_min,126.0,132.0,0.8044435,0.847656,0.5581395348837209
Accl1_min,37.0,81.0,-0.5288087499999999,-0.43322774999999997,0.06063738156761413
Accl2_min,1.0,8.0,0.122436375,0.24353025,0.4844961240310077
Gyr0_min,56.0,129.0,-8.015625,-1.515625,0.024722396815420072
Gyr1_min,18.0,69.0,-41.140625,-24.84375,0.048300536672629686
Gyr2_min,8.0,58.0,-44.40625,-21.046875,0.04985560115519076
Orien0_min,1.0,21.0,62.0,65.0,0.16537467700258396
Orien1_min,1.0,4.0,21.75,24.0,1.0
Orien2_min,44.0,58.0,94.0,95.25,0.24392764857881138
EMG0_max,48.0,123.0,37.0,85.5,0.023255813953488372
EMG1_max,18.0,91.0,43.0,82.0,0.024722396815420072
EMG2_max,51.0,93.0,63.0,87.0,0.06489994591671173
EMG3_max,11.0,86.0,10.0,21.0,0.023255813953488372
EMG4_max,13.0,93.0,11.0,28.25,0.019906211120681402
EMG5_max,75.0,115.0,82.0,107.25,0.06957837020230669
EMG6_max,101.0,127.0,94.0,124.25,0.1217341372380132
EMG7_max,12.0,93.0,30.0,97.0,0.01928530913216109
Accl0_max,115.0,128.0,0.90942375,0.9300535,0.26356589147286824
Accl1_max,64.0,94.0,-0.30053725000000003,-0.2773435,0.10202550637659415
Accl2_max,0.0,9.0,0.353515,0.392212,0.3813953488372093
Gyr0_max,41.0,108.0,10.375,26.015625,0.029639762881896944
Gyr1_max,11.0,34.0,3.28125,5.125,0.14082687338501293
Gyr2_max,23.0,87.0,5.171875,14.40625,0.03243887895050685
Orien0_max,0.0,15.0,63.75,66.0,0.22674418604651161
Orien1_max,0.0,11.0,29.75,33.0,0.31266149870801035
Orien2_max,31.0,46.0,96.75,98.0,0.22674418604651161
EMG0_stdev,67.0,106.0,17.082299085512368,23.981408249767583,0.07209302325581396
EMG1_stdev,24.0,62.0,20.649743265641472,26.50256107633931,0.07473663287616776
EMG2_stdev,67.0,98.0,31.099788163687773,37.38551170766729,0.09786821705426356
EMG3_stdev,20.0,84.0,5.378224277850322,8.708384033096378,0.03243887895050685
EMG4_stdev,45.0,81.0,8.142308765114315,10.210297109305245,0.08045254556882464
EMG5_stdev,64.0,109.0,29.110661232941254,39.45571598980119,0.05864509605662285
EMG6_stdev,95.0,120.0,36.61292169922299,46.46153531384646,0.12760882528324388
