Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,56.0,93.0,-1.1029411764705883,0.14215686274509803,0.09765625
EMG1_mean,17.0,129.0,-4.950980392156864,5.431372549019608,0.006913716814159289
EMG2_mean,4.0,115.0,-8.303921568627453,2.7892156862745097,0.00732421875
EMG3_mean,18.0,130.0,-1.6274509803921569,1.676470588235294,0.006913716814159289
EMG4_mean,50.0,103.0,-0.9607843137254902,0.27450980392156865,0.05714699074074074
EMG5_mean,22.0,114.0,-4.6911764705882355,2.436274509803922,0.016801075268817203
EMG6_mean,10.0,112.0,-6.838235294117648,2.622549019607843,0.011377427184466021
EMG7_mean,42.0,100.0,-2.372549019607843,1.3088235294117647,0.048993644067796605
Accl0_mean,33.0,109.0,0.8069326372549019,0.8632549607843137,0.02840909090909091
Accl1_mean,7.0,57.0,-0.42910109803921564,-0.36137358333333336,0.0628063725490196
Accl2_mean,19.0,53.0,0.332574556372549,0.40689866666666663,0.109375
Gyr0_mean,27.0,95.0,0.06985294117647059,0.6363357843137255,0.03623188405797101
Gyr1_mean,43.0,102.0,-2.155637254901961,-0.6580882352941176,0.04752604166666667
Gyr2_mean,14.0,95.0,-2.001225490196078,-0.053308823529411756,0.02429496951219512
Orien0_mean,18.0,33.0,65.87745098039215,66.91176470588235,0.28564453125
Orien1_mean,23.0,100.0,29.294117647058826,35.38235294117647,0.027544070512820512
Orien2_mean,11.0,24.0,84.98529411764706,87.97058823529412,0.33203125
EMG0_min,24.0,95.0,-62.25,-33.0,0.03309461805555555
EMG1_min,21.0,123.0,-101.75,-36.75,0.011377427184466021
EMG2_min,12.0,79.0,-106.5,-67.25,0.037339154411764705
EMG3_min,10.0,80.0,-28.0,-17.0,0.03411091549295775
EMG4_min,4.0,88.0,-38.25,-18.75,0.022058823529411763
EMG5_min,6.0,96.0,-107.75,-48.75,0.018028846153846152
EMG6_min,26.0,109.0,-96.0,-41.0,0.022786458333333336
EMG7_min,71.0,126.0,-56.5,-25.75,0.0537109375
Accl0_min,2.0,122.0,0.5877682500000001,0.801514,0.0038739669421487613
Accl1_min,0.0,48.0,-0.81823775,-0.5007327500000001,0.06696428571428571
Accl2_min,34.0,49.0,0.31188975,0.329712,0.28564453125
Gyr0_min,9.0,90.0,-20.859375,-5.1875,0.02429496951219512
Gyr1_min,36.0,104.0,-33.5,-16.375,0.03623188405797101
