Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,32.0,103.0,-2.2598039215686274,0.642156862745098,0.03309461805555555
EMG1_mean,51.0,95.0,-2.333333333333333,0.4166666666666667,0.0763888888888889
EMG2_mean,46.0,106.0,-2.8235294117647056,1.8137254901960784,0.046106557377049176
EMG3_mean,37.0,100.0,-1.2941176470588236,0.09313725490196079,0.0421142578125
EMG4_mean,36.0,87.0,-1.338235294117647,-0.24019607843137253,0.06084735576923077
EMG5_mean,23.0,121.0,-4.509803921568627,3.573529411764706,0.01341540404040404
EMG6_mean,11.0,112.0,-6.647058823529412,2.4754901960784315,0.011871936274509803
EMG7_mean,34.0,96.0,-2.813725490196078,1.0882352941176472,0.043402777777777776
Accl0_mean,7.0,16.0,0.7136062941176469,0.7496338088235296,0.48046875
Accl1_mean,17.0,58.0,-0.4127388725490196,-0.35793646078431374,0.08463541666666667
Accl2_mean,118.0,124.0,0.5623132647058824,0.5835367598039216,0.703125
Gyr0_mean,121.0,127.0,1.7117034313725492,2.0965073529411766,0.703125
Gyr1_mean,120.0,128.0,1.649816176470588,3.5318627450980387,0.5381944444444444
Gyr2_mean,9.0,46.0,-2.4261642156862746,-0.9914215686274511,0.09765625
Orien0_mean,95.0,122.0,71.34313725490196,73.14705882352943,0.146484375
Orien1_mean,118.0,125.0,41.62254901960784,44.53431372549019,0.6103515625
Orien2_mean,27.0,36.0,91.70588235294116,94.89705882352939,0.48046875
EMG0_min,31.0,114.0,-55.25,-26.0,0.022786458333333336
EMG1_min,107.0,127.0,-48.75,-27.25,0.20833333333333334
EMG2_min,107.0,132.0,-44.25,-23.0,0.16075721153846154
EMG3_min,111.0,131.0,-13.0,-8.0,0.20833333333333334
EMG4_min,100.0,128.0,-16.0,-9.0,0.1400862068965517
EMG5_min,62.0,121.0,-73.0,-22.25,0.04752604166666667
EMG6_min,12.0,97.0,-108.25,-50.75,0.021348110465116282
EMG7_min,45.0,80.0,-86.25,-52.75,0.1052517361111111
Accl0_min,9.0,42.0,0.633301,0.7133792499999999,0.11374080882352941
Accl1_min,23.0,44.0,-0.552368,-0.505371,0.19708806818181818
Accl2_min,43.0,125.0,0.32080074999999997,0.4538572500000001,0.023531626506024098
Gyr0_min,29.0,123.0,-10.65625,-2.234375,0.015625
Gyr1_min,79.0,108.0,-22.125,-15.828125,0.13411458333333334
Gyr2_min,16.0,68.0,-34.953125,-19.84375,0.0589622641509434
Orien0_min,23.0,59.0,65.0,67.0,0.10135135135135134
Orien1_min,120.0,126.0,38.75,41.5,0.703125
Orien2_min,33.0,50.0,92.0,94.0,0.2495659722222222
EMG0_max,31.0,90.0,33.0,55.0,0.04752604166666667
EMG1_max,5.0,58.0,23.75,60.25,0.05714699074074074
EMG2_max,4.0,24.0,31.75,51.25,0.20833333333333334
EMG3_max,1.0,10.0,6.5,10.0,0.48046875
EMG4_max,3.0,63.0,7.0,22.0,0.046106557377049176
EMG5_max,14.0,58.0,30.0,72.0,0.0763888888888889
EMG6_max,41.0,112.0,53.0,106.0,0.03309461805555555
EMG7_max,19.0,78.0,33.75,82.0,0.04752604166666667
Accl0_max,6.0,13.0,0.781738,0.81567375,0.6103515625
Accl1_max,14.0,109.0,-0.35766600000000004,-0.25671375,0.015055338541666664
Accl2_max,101.0,118.0,0.5980222500000001,0.656006,0.2495659722222222
Gyr0_max,119.0,132.0,32.828125,79.828125,0.33203125
Gyr1_max,116.0,127.0,26.75,58.203125,0.3938802083333333
Gyr2_max,1.0,116.0,1.25,23.515625,0.005724676724137928
Orien0_max,83.0,121.0,72.0,74.25,0.09415064102564102
Orien1_max,108.0,124.0,43.0,46.25,0.2665441176470588
Orien2_max,37.0,63.0,97.75,101.0,0.15335648148148148
EMG0_stdev,26.0,95.0,12.162465411234047,22.039993707093625,0.03515625
EMG1_stdev,5.0,16.0,9.556949206732508,19.13715187594039,0.3938802083333333
EMG2_stdev,10.0,22.0,14.178981324029785,19.41304792167967,0.3605769230769231
EMG3_stdev,1.0,18.0,3.862535156562263,5.245026859911321,0.2495659722222222
EMG4_stdev,3.0,30.0,3.5733680286862133,6.743430957333073,0.146484375
EMG5_stdev,15.0,31.0,12.43799261018219,20.366102570354084,0.2665441176470588
EMG6_stdev,54.0,109.0,26.570845411352046,42.06738736313877,0.0537109375
EMG7_stdev,56.0,76.0,21.51429939320424,30.354426935771908,0.20833333333333334
Accl0_stdev,25.0,65.0,0.015240175323733276,0.02298156839135996,0.08765243902439024
Accl1_stdev,72.0,118.0,0.0282196245874142,0.04862760551428091,0.07147606382978723
Accl2_stdev,82.0,113.0,0.03692167119344368,0.05637115105597948,0.123291015625
Gyr0_stdev,117.0,124.0,7.263056986544654,12.888056296093069,0.6103515625
Gyr1_stdev,74.0,122.0,7.4846850919131755,12.634843657777061,0.06696428571428571
Gyr2_stdev,71.0,113.0,4.9208870777657525,7.03108145930366,0.08175872093023256
Orien0_stdev,115.0,119.0,1.7066723888449298,2.1623317391780734,1.0
Orien1_stdev,15.0,54.0,0.7754159273954861,1.5703404887370733,0.0908203125
Orien2_stdev,106.0,120.0,1.1714746775590414,1.783646258529123,0.3072916666666667
EMG0_energy,24.0,93.0,7416.5,24234.25,0.03515625
EMG1_energy,5.0,16.0,4686.0,18706.75,0.3938802083333333
EMG2_energy,10.0,22.0,10359.5,18895.25,0.3605769230769231
EMG3_energy,1.0,17.0,835.5,1378.5,0.2665441176470588
EMG4_energy,3.0,29.0,685.5,2272.0,0.15335648148148148
EMG5_energy,15.0,31.0,7795.5,21218.25,0.2665441176470588
EMG6_energy,55.0,108.0,36006.25,88818.25,0.05714699074074074
EMG7_energy,57.0,76.0,23571.75,46247.75,0.220703125
Accl0_energy,7.0,16.0,26.012253052704,28.68849016386425,0.48046875
Accl1_energy,73.0,115.0,6.602626106236249,8.794419921013002,0.08175872093023256
Accl2_energy,117.0,124.0,16.067250689453246,17.52237872572375,0.6103515625
Gyr0_energy,118.0,125.0,2832.955078125,8946.9580078125,0.6103515625
Gyr1_energy,72.0,121.0,2951.326171875,8094.4599609375,0.06484375
Gyr2_energy,74.0,114.0,1375.275390625,2744.654296875,0.08765243902439024
Orien0_energy,95.0,122.0,259715.0,273054.5,0.146484375
Orien1_energy,117.0,125.0,88373.75,101290.75,0.5381944444444444
Orien2_energy,27.0,36.0,429186.5,459464.75,0.48046875
