Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,9.0,72.0,-4.102941176470588,-0.48529411764705876,0.03343023255813953
EMG1_mean,75.0,82.0,-0.8529411764705882,-0.14705882352941177,0.4844961240310077
EMG2_mean,48.0,61.0,-2.75,-1.573529411764706,0.26356589147286824
EMG3_mean,6.0,72.0,-2.0882352941176476,-0.5980392156862745,0.030544949670253382
EMG4_mean,26.0,91.0,-1.553921568627451,-0.0784313725490196,0.03147756636128729
EMG5_mean,36.0,64.0,-2.705882352941176,-1.2598039215686272,0.11120021384656509
EMG6_mean,24.0,40.0,-4.59313725490196,-2.627450980392157,0.21158230734154126
EMG7_mean,45.0,114.0,-2.0245098039215685,2.7892156862745097,0.027906976744186043
Accl0_mean,28.0,39.0,0.8013006862745099,0.8129858480392158,0.31266149870801035
Accl1_mean,28.0,46.0,-0.39691278431372545,-0.3750957745098038,0.18604651162790697
Accl2_mean,79.0,87.0,0.4360711078431372,0.44663852941176474,0.42721791559000866
Gyr0_mean,71.0,103.0,0.424938725490196,0.7515318627450981,0.09396288466055908
Gyr1_mean,40.0,62.0,-2.251225490196078,-1.7300857843137254,0.1482979440512302
Gyr2_mean,62.0,77.0,-0.5232843137254902,-0.31678921568627444,0.22674418604651161
Orien0_mean,53.0,57.0,69.02941176470588,69.19607843137257,0.7937984496124031
Orien1_mean,90.0,104.0,34.65686274509804,35.95588235294117,0.24392764857881138
Orien2_mean,56.0,60.0,97.71568627450979,98.66666666666666,0.7937984496124031
EMG0_min,70.0,97.0,-40.0,-32.0,0.11627906976744186
EMG1_min,46.0,106.0,-79.25,-50.25,0.036599313762866945
EMG2_min,56.0,106.0,-79.25,-44.75,0.04985560115519076
EMG3_min,16.0,54.0,-26.25,-20.0,0.07473663287616776
EMG4_min,16.0,116.0,-31.0,-12.0,0.009824238237777267
EMG5_min,99.0,113.0,-47.25,-33.75,0.24392764857881138
EMG6_min,57.0,74.0,-74.25,-63.5,0.19810508182601208
EMG7_min,21.0,83.0,-113.25,-51.75,0.034453057708871665
Accl0_min,39.0,60.0,0.704468,0.74011225,0.1564482029598309
Accl1_min,18.0,47.0,-0.55798375,-0.50244175,0.10645994832041344
Accl2_min,89.0,94.0,0.37829575000000004,0.38366725,0.6563307493540051
Gyr0_min,89.0,114.0,-5.1875,-3.109375,0.12760882528324388
Gyr1_min,25.0,51.0,-37.9375,-28.765625,0.1217341372380132
Gyr2_min,29.0,85.0,-28.328125,-17.03125,0.041343669250646
Orien0_min,72.0,80.0,68.0,69.25,0.42721791559000866
Orien1_min,79.0,110.0,32.75,35.0,0.09786821705426356
Orien2_min,54.0,61.0,95.0,96.0,0.4844961240310077
EMG0_max,28.0,82.0,32.0,51.0,0.043974630021141645
EMG1_max,58.0,110.0,60.75,96.75,0.04680415386865585
EMG2_max,40.0,95.0,59.0,88.0,0.04263565891472868
EMG3_max,13.0,70.0,10.0,18.0,0.040096230954290296
EMG4_max,8.0,42.0,9.75,18.0,0.08682170542635659
EMG5_max,22.0,38.0,39.75,61.0,0.21158230734154126
EMG6_max,52.0,83.0,60.5,84.25,0.09786821705426356
