Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,7.0,95.0,-4.495098039215687,0.21568627450980396,0.019311797752808987
EMG1_mean,20.0,58.0,-4.598039215686274,-1.8823529411764703,0.09415064102564102
EMG2_mean,21.0,132.0,-4.38235294117647,10.382352941176473,0.00732421875
EMG3_mean,4.0,132.0,-2.2058823529411766,2.6764705882352944,0.0012112403100775215
EMG4_mean,12.0,129.0,-2.1764705882352944,1.7794117647058822,0.004965572033898302
EMG5_mean,9.0,99.0,-6.897058823529413,0.7303921568627452,0.018028846153846152
EMG6_mean,0.0,96.0,-14.431372549019608,0.5441176470588235,0.014497422680412368
EMG7_mean,4.0,60.0,-10.284313725490195,-1.392156862745098,0.05208333333333333
Accl0_mean,18.0,26.0,0.755488406862745,0.7966476421568627,0.5381944444444444
Accl1_mean,21.0,118.0,-0.4043351715686274,-0.3029737352941176,0.013950892857142856
Accl2_mean,109.0,116.0,0.49919574019607843,0.5612122647058825,0.6103515625
Gyr0_mean,0.0,12.0,-3.25,-0.5024509803921569,0.3605769230769231
Gyr1_mean,114.0,127.0,0.4797794117647059,3.2337622549019605,0.33203125
Gyr2_mean,0.0,26.0,-5.30453431372549,-1.642769607843137,0.15335648148148148
Orien0_mean,67.0,132.0,70.1078431372549,75.19607843137256,0.039654356060606064
Orien1_mean,106.0,114.0,36.38725490196079,40.59803921568627,0.5381944444444444
Orien2_mean,93.0,105.0,108.69607843137253,115.6764705882353,0.3605769230769231
EMG0_min,5.0,27.0,-90.0,-58.5,0.18682065217391305
EMG1_min,2.0,32.0,-128.0,-88.75,0.12852822580645162
EMG2_min,2.0,50.0,-121.0,-83.5,0.06696428571428571
EMG3_min,9.0,78.0,-28.5,-17.0,0.03515625
EMG4_min,36.0,110.0,-26.0,-13.75,0.030208333333333337
EMG5_min,62.0,97.0,-73.0,-48.0,0.1052517361111111
EMG6_min,10.0,28.0,-109.5,-94.0,0.234375
EMG7_min,5.0,43.0,-128.0,-88.5,0.09415064102564102
Accl0_min,3.0,25.0,0.59375,0.67370625,0.18682065217391305
Accl1_min,1.0,10.0,-0.77185075,-0.6127929999999999,0.48046875
Accl2_min,6.0,51.0,0.22631825,0.33117700000000005,0.07387907608695653
Gyr0_min,0.0,4.0,-63.53125,-39.171875,1.0
Gyr1_min,1.0,22.0,-82.421875,-39.640625,0.19708806818181818
Gyr2_min,0.0,6.0,-129.53125,-54.109375,0.703125
Orien0_min,0.0,55.0,62.0,67.0,0.0537109375
Orien1_min,86.0,115.0,33.0,36.0,0.13411458333333334
Orien2_min,87.0,102.0,103.0,112.25,0.28564453125
EMG0_max,73.0,126.0,47.0,92.0,0.05714699074074074
EMG1_max,103.0,132.0,93.0,127.0,0.13411458333333334
EMG2_max,87.0,130.0,84.0,127.0,0.07901278409090909
EMG3_max,104.0,132.0,24.0,42.75,0.1400862068965517
EMG4_max,43.0,102.0,18.0,30.25,0.04752604166666667
EMG5_max,34.0,110.0,58.0,102.0,0.02840909090909091
EMG6_max,69.0,105.0,73.0,98.25,0.10135135135135134
EMG7_max,81.0,127.0,82.75,127.0,0.07147606382978723
Accl0_max,24.0,87.0,0.839355,0.8837889999999999,0.0421142578125
Accl1_max,69.0,132.0,-0.29748525,-0.12146025,0.0421142578125
Accl2_max,98.0,121.0,0.58898925,0.6666259999999999,0.17740885416666666
Gyr0_max,111.0,124.0,26.953125,45.375,0.33203125
Gyr1_max,128.0,132.0,59.734375,93.859375,1.0
Gyr2_max,122.0,132.0,37.09375,113.07825,0.43323863636363635
Orien0_max,83.0,132.0,72.0,78.75,0.06484375
Orien1_max,71.0,120.0,38.0,45.0,0.06484375
Orien2_max,125.0,132.0,122.0,130.0,0.6103515625
EMG0_stdev,104.0,129.0,23.283973534576216,37.715666673352125,0.16075721153846154
EMG1_stdev,111.0,132.0,38.4177393950022,65.81089280730818,0.19708806818181818
EMG2_stdev,103.0,130.0,38.41701232940202,49.759948684946366,0.146484375
EMG3_stdev,71.0,130.0,7.682420517043202,13.329740831779752,0.04752604166666667
EMG4_stdev,45.0,82.0,8.23167932964144,10.231485894966639,0.09765625
EMG5_stdev,34.0,80.0,21.767772059706015,33.28840134635696,0.07147606382978723
EMG6_stdev,76.0,115.0,32.47524753990302,43.871278999995475,0.0908203125
EMG7_stdev,110.0,124.0,48.451771024157,66.61321717047436,0.3072916666666667
Accl0_stdev,86.0,128.0,0.02657789441610421,0.04815000752301914,0.08175872093023256
Accl1_stdev,124.0,132.0,0.06767796223489453,0.11862478307024112,0.5381944444444444
Accl2_stdev,113.0,131.0,0.05718486749791158,0.10408148753209673,0.234375
Gyr0_stdev,122.0,131.0,12.373483362205679,18.625842377422913,0.48046875
Gyr1_stdev,126.0,132.0,18.218896958280556,29.63989405472909,0.703125
Gyr2_stdev,128.0,132.0,16.422714567300925,40.15086928128231,1.0
Orien0_stdev,111.0,132.0,1.2926185769686578,4.859466933746739,0.19708806818181818
Orien1_stdev,50.0,93.0,1.445926465137693,2.229129657013048,0.07901278409090909
Orien2_stdev,128.0,132.0,3.2570369846974683,7.939747493974588,1.0
EMG0_energy,103.0,128.0,27284.75,71987.75,0.16075721153846154
EMG1_energy,111.0,131.0,74710.75,272306.75,0.20833333333333334
EMG2_energy,102.0,130.0,73986.5,129594.75,0.1400862068965517
EMG3_energy,69.0,131.0,2967.75,12612.75,0.043402777777777776
EMG4_energy,45.0,82.0,3406.25,5462.5,0.09765625
EMG5_energy,34.0,80.0,23712.5,55848.5,0.07147606382978723
EMG6_energy,80.0,115.0,58846.25,97208.75,0.1052517361111111
EMG7_energy,110.0,124.0,118739.0,222142.75,0.3072916666666667
Accl0_energy,18.0,26.0,29.16544020667275,32.42651653315425,0.5381944444444444
Accl1_energy,30.0,113.0,5.3981728890162515,8.585179551155003,0.022786458333333336
Accl2_energy,109.0,118.0,13.089107465039252,16.559671328872746,0.48046875
Gyr0_energy,122.0,130.0,7781.8173828125,17734.1845703125,0.5381944444444444
Gyr1_energy,125.0,132.0,15792.8251953125,44374.66015625,0.6103515625
Gyr2_energy,128.0,132.0,13947.068359375,81573.7817345,1.0
Orien0_energy,67.0,132.0,250740.0,289531.0,0.039654356060606064
Orien1_energy,106.0,114.0,67627.25,84242.0,0.5381944444444444
Orien2_energy,93.0,106.0,605183.0,682908.75,0.33203125
