Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,19.0,106.0,-3.3970588235294117,0.8284313725490196,0.015856236786469347
EMG1_mean,55.0,83.0,-2.102941176470588,-0.05882352941176471,0.11120021384656509
EMG2_mean,67.0,121.0,-1.3823529411764706,3.5784313725490198,0.043974630021141645
EMG3_mean,27.0,104.0,-1.4754901960784315,0.18137254901960786,0.02186444046909163
EMG4_mean,9.0,106.0,-2.485294117647059,0.3088235294117647,0.011074197120708751
EMG5_mean,48.0,111.0,-2.1421568627450975,2.3578431372549016,0.03343023255813953
EMG6_mean,54.0,88.0,-1.7107843137254903,0.14215686274509803,0.08682170542635659
EMG7_mean,19.0,126.0,-5.529411764705883,5.6764705882352935,0.007177720356014927
Accl0_mean,75.0,87.0,0.8370720343137256,0.8440563823529412,0.28622540250447226
Accl1_mean,121.0,125.0,-0.3012431911764706,-0.2960564215686275,0.7937984496124031
Accl2_mean,83.0,91.0,0.439596725490196,0.45039149019607855,0.42721791559000866
Gyr0_mean,30.0,86.0,0.0778186274509804,0.5300245098039216,0.041343669250646
Gyr1_mean,73.0,88.0,-1.468137254901961,-1.035232843137255,0.22674418604651161
Gyr2_mean,115.0,125.0,0.333639705882353,0.632046568627451,0.3439041578576463
Orien0_mean,108.0,114.0,72.15196078431373,72.20098039215688,0.5581395348837209
Orien1_mean,43.0,59.0,31.392156862745097,32.245098039215684,0.21158230734154126
Orien2_mean,88.0,92.0,105.74019607843138,108.04901960784314,0.7937984496124031
EMG0_min,83.0,108.0,-36.25,-28.75,0.12760882528324388
EMG1_min,129.0,132.0,-21.75,-10.5,1.0
EMG2_min,103.0,122.0,-50.0,-31.75,0.17519379844961241
EMG3_min,92.0,128.0,-15.0,-10.0,0.08045254556882464
EMG4_min,73.0,122.0,-20.0,-10.0,0.05147286821705427
EMG5_min,14.0,103.0,-96.25,-43.25,0.014814814814814817
EMG6_min,122.0,127.0,-25.25,-15.0,0.6563307493540051
EMG7_min,34.0,65.0,-101.0,-63.5,0.09786821705426356
Accl0_min,106.0,128.0,0.77832,0.8192137500000001,0.1482979440512302
Accl1_min,128.0,132.0,-0.34802225,-0.328125,0.7937984496124031
Accl2_min,70.0,100.0,0.35571275,0.3969725,0.10202550637659415
Gyr0_min,13.0,85.0,-18.546875,-5.375,0.025485823510672186
Gyr1_min,32.0,77.0,-35.953125,-23.0625,0.05864509605662285
Gyr2_min,112.0,128.0,-10.15625,-4.140625,0.21158230734154126
Orien0_min,120.0,130.0,72.0,72.0,0.3439041578576463
Orien1_min,41.0,52.0,30.0,30.0,0.31266149870801035
Orien2_min,89.0,94.0,103.75,106.5,0.6563307493540051
EMG0_max,3.0,74.0,15.75,47.25,0.026270456503014645
EMG1_max,0.0,3.0,12.0,19.25,1.0
EMG2_max,13.0,62.0,41.0,71.0,0.05147286821705427
EMG3_max,0.0,93.0,4.5,22.25,0.01286491835724889
EMG4_max,1.0,78.0,6.0,25.0,0.02186444046909163
EMG5_max,15.0,67.0,31.5,79.0,0.04680415386865585
EMG6_max,4.0,16.0,17.5,37.75,0.28622540250447226
EMG7_max,71.0,107.0,70.25,111.25,0.08045254556882464
