Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,18.0,94.0,-3.4117647058823533,0.18627450980392157,0.02255109231853418
EMG1_mean,13.0,68.0,-5.985294117647059,-1.519607843137255,0.04263565891472868
EMG2_mean,16.0,131.0,-5.014705882352941,7.53921568627451,0.004544239508152901
EMG3_mean,14.0,76.0,-1.6862745098039216,-0.5441176470588236,0.034453057708871665
EMG4_mean,38.0,68.0,-1.176470588235294,-0.6421568627450981,0.10202550637659415
EMG5_mean,15.0,127.0,-5.627450980392156,5.009803921568628,0.0054880976881388505
EMG6_mean,39.0,73.0,-3.1176470588235294,-0.6666666666666666,0.08682170542635659
EMG7_mean,25.0,88.0,-3.946078431372549,0.28431372549019607,0.03343023255813953
Accl0_mean,92.0,107.0,0.8474575735294116,0.858451117647059,0.22674418604651161
Accl1_mean,102.0,116.0,-0.323177544117647,-0.3074041617647058,0.24392764857881138
Accl2_mean,32.0,72.0,0.38490927450980394,0.42547009803921565,0.06957837020230669
Gyr0_mean,45.0,72.0,0.22120098039215685,0.44178921568627455,0.11627906976744186
Gyr1_mean,29.0,89.0,-2.543811274509804,-1.0180759803921566,0.036599313762866945
Gyr2_mean,58.0,83.0,-0.6277573529411765,-0.2545955882352941,0.12760882528324388
Orien0_mean,61.0,97.0,69.21568627450979,71.66666666666667,0.08045254556882464
Orien1_mean,25.0,41.0,29.70098039215686,31.30392156862745,0.21158230734154126
Orien2_mean,104.0,124.0,114.86764705882352,118.3872549019608,0.16537467700258396
EMG0_min,57.0,106.0,-43.0,-29.0,0.05147286821705427
EMG1_min,46.0,65.0,-79.0,-70.75,0.17519379844961241
EMG2_min,9.0,48.0,-108.5,-84.0,0.07209302325581396
EMG3_min,2.0,66.0,-43.0,-18.0,0.03243887895050685
EMG4_min,29.0,90.0,-27.25,-17.75,0.035508877219304825
EMG5_min,0.0,57.0,-121.75,-74.0,0.040096230954290296
EMG6_min,11.0,104.0,-109.0,-43.75,0.01286491835724889
EMG7_min,40.0,119.0,-95.75,-33.0,0.020542635658914732
Accl0_min,64.0,111.0,0.7425539999999999,0.78894025,0.05490956072351422
Accl1_min,72.0,114.0,-0.4528805,-0.38879375,0.06489994591671173
Accl2_min,29.0,90.0,0.306641,0.379517,0.035508877219304825
Gyr0_min,63.0,120.0,-7.328125,-2.421875,0.040096230954290296
Gyr1_min,16.0,81.0,-44.015625,-21.484375,0.03147756636128729
Gyr2_min,19.0,80.0,-33.953125,-18.328125,0.035508877219304825
Orien0_min,75.0,111.0,69.0,71.0,0.08045254556882464
Orien1_min,22.0,44.0,27.0,30.0,0.1482979440512302
Orien2_min,107.0,116.0,114.0,116.0,0.3813953488372093
EMG0_max,41.0,60.0,36.0,40.25,0.17519379844961241
EMG1_max,10.0,118.0,33.0,106.25,0.006827394922125027
EMG2_max,33.0,117.0,56.75,113.0,0.017510259917920656
EMG3_max,34.0,125.0,13.0,38.25,0.013818672059319177
EMG4_max,81.0,129.0,25.0,50.0,0.053156146179401995
EMG5_max,45.0,129.0,63.5,122.5,0.017510259917920656
EMG6_max,24.0,85.0,43.0,86.5,0.035508877219304825
EMG7_max,20.0,66.0,33.75,64.5,0.056737588652482275
Accl0_max,84.0,118.0,0.88195775,0.9157712499999999,0.08682170542635659
Accl1_max,97.0,116.0,-0.27124025,-0.2458495,0.17519379844961241
Accl2_max,39.0,87.0,0.499512,0.5489505,0.053156146179401995
Gyr0_max,19.0,61.0,7.4375,13.375,0.06489994591671173
Gyr1_max,67.0,83.0,7.359375,8.515625,0.21158230734154126
Gyr2_max,62.0,99.0,10.203125,17.265625,0.07751937984496124
Orien0_max,54.0,71.0,71.0,72.0,0.19810508182601208
Orien1_max,18.0,41.0,34.0,36.0,0.14082687338501293
Orien2_max,98.0,119.0,114.75,119.25,0.1564482029598309
EMG0_stdev,38.0,55.0,14.047740013553799,16.252842884695557,0.19810508182601208
EMG1_stdev,20.0,76.0,20.08810643047455,28.33875749250389,0.041343669250646
EMG2_stdev,59.0,103.0,29.326491794961566,38.38413393940537,0.06063738156761413
EMG3_stdev,25.0,106.0,5.81626777625995,9.538062543764045,0.01928530913216109
EMG4_stdev,69.0,127.0,9.407472897600815,14.391538007680486,0.03889107870187886
EMG5_stdev,88.0,126.0,35.08678065643155,45.26077661882806,0.07473663287616776
EMG6_stdev,33.0,66.0,21.18528586062255,29.59160774399368,0.09028727770177838
EMG7_stdev,31.0,75.0,16.527921609518593,29.974670719725108,0.06063738156761413
Accl0_stdev,18.0,96.0,0.014113484488608804,0.029949916934609657,0.021195172210774216
Accl1_stdev,25.0,70.0,0.017176949841707458,0.02802344615484355,0.05864509605662285
Accl2_stdev,26.0,98.0,0.02181091121257415,0.04345011145872381,0.025485823510672186
Gyr0_stdev,7.0,38.0,1.7110440904045985,2.6140762020660833,0.09786821705426356
Gyr1_stdev,35.0,104.0,5.01437108260949,9.434743680896512,0.027906976744186043
Gyr2_stdev,28.0,103.0,3.439216509918059,6.545352911700574,0.023255813953488372
Orien0_stdev,9.0,64.0,0.2376354103144016,0.5414206972100664,0.04263565891472868
Orien1_stdev,29.0,98.0,1.1008018467836773,2.381438509966539,0.027906976744186043
Orien2_stdev,7.0,80.0,0.29595564280742875,0.8778010674514631,0.024722396815420072
EMG0_energy,37.0,54.0,9706.75,13237.25,0.19810508182601208
EMG1_energy,22.0,76.0,22064.25,41176.25,0.043974630021141645
EMG2_energy,59.0,105.0,43773.25,75108.25,0.056737588652482275
EMG3_energy,26.0,103.0,1828.25,4591.0,0.02186444046909163
EMG4_energy,67.0,127.0,4464.5,10383.75,0.036599313762866945
EMG5_energy,87.0,125.0,61604.0,103808.0,0.07473663287616776
EMG6_energy,33.0,65.0,22483.75,44222.0,0.09396288466055908
EMG7_energy,30.0,75.0,13663.0,45036.75,0.05864509605662285
Accl0_energy,91.0,107.0,36.61849326682301,37.623732875782494,0.21158230734154126
Accl1_energy,15.0,27.0,4.847429349716002,5.344614071770251,0.28622540250447226
Accl2_energy,33.0,72.0,7.65097814233475,9.257496142895,0.07209302325581396
Gyr0_energy,6.0,36.0,146.1455078125,345.05859375,0.10202550637659415
Gyr1_energy,34.0,105.0,1320.3740234375,4794.056640625,0.026270456503014645
Gyr2_energy,27.0,102.0,594.69921875,2177.8427734375,0.023255813953488372
Orien0_energy,61.0,97.0,244344.5,261989.0,0.08045254556882464
Orien1_energy,25.0,41.0,45221.25,50100.5,0.21158230734154126
Orien2_energy,104.0,124.0,672931.75,714849.75,0.16537467700258396
