Class,EMG0_mean,EMG1_mean,EMG2_mean,EMG3_mean,EMG4_mean,EMG5_mean,EMG6_mean,EMG7_mean,Accl0_mean,Accl1_mean,Accl2_mean,Gyr0_mean,Gyr1_mean,Gyr2_mean,Orien0_mean,Orien1_mean,Orien2_mean,EMG0_min,EMG1_min,EMG2_min,EMG3_min,EMG4_min,EMG5_min,EMG6_min,EMG7_min,Accl0_min,Accl1_min,Accl2_min,Gyr0_min,Gyr1_min,Gyr2_min,Orien0_min,Orien1_min,Orien2_min,EMG0_max,EMG1_max,EMG2_max,EMG3_max,EMG4_max,EMG5_max,EMG6_max,EMG7_max,Accl0_max,Accl1_max,Accl2_max,Gyr0_max,Gyr1_max,Gyr2_max,Orien0_max,Orien1_max,Orien2_max,EMG0_stdev,EMG1_stdev,EMG2_stdev,EMG3_stdev,EMG4_stdev,EMG5_stdev,EMG6_stdev,EMG7_stdev,Accl0_stdev,Accl1_stdev,Accl2_stdev,Gyr0_stdev,Gyr1_stdev,Gyr2_stdev,Orien0_stdev,Orien1_stdev,Orien2_stdev,EMG0_energy,EMG1_energy,EMG2_energy,EMG3_energy,EMG4_energy,EMG5_energy,EMG6_energy,EMG7_energy,Accl0_energy,Accl1_energy,Accl2_energy,Gyr0_energy,Gyr1_energy,Gyr2_energy,Orien0_energy,Orien1_energy,Orien2_energy
a,3.588235294117647,-2.588235294117647,3.9607843137254903,0.13725490196078433,-1.2941176470588236,-2.8627450980392157,0.9803921568627451,-1.8823529411764706,0.8321940588235294,-0.41862931372549017,0.35207956862745093,1.4644607843137254,-2.715686274509804,-2.613970588235294,64.76470588235294,32.78431372549019,87.13725490196079,-90.0,-87.0,-61.0,-16.0,-23.0,-60.0,-34.0,-128.0,0.7246090000000001,-0.7436520000000001,0.316406,-9.75,-44.4375,-67.5625,64.0,31.0,86.0,82.0,96.0,82.0,18.0,17.0,38.0,67.0,127.0,0.856934,-0.380371,0.514648,49.875,8.25,17.1875,65.0,41.0,88.0,31.374624441155134,30.01478067258745,28.8034447830906,8.497104466447702,9.839296961972554,23.93074976497238,20.264738040328503,83.36561570787406,0.02957208004818853,0.06699797099569216,0.031464593629827745,9.02546098980165,9.44528084651843,10.668929083751456,0.42840332837724987,2.443879911044701,0.4906977824746001,49875.0,45386.0,42282.0,3611.0,4926.0,29052.0,20582.0,347672.0,35.36361992451901,9.162212023701,6.371462187503998,4182.32421875,4836.7890625,6039.77734375,213927.0,55114.0,387250.0
a,1.6862745098039216,-3.450980392156863,-7.294117647058823,-1.9411764705882353,-0.8823529411764706,-0.47058823529411764,-1.7843137254901962,-0.3137254901960784,0.810920274509804,-0.4268439607843137,0.39329625490196074,0.9522058823529411,-2.3982843137254903,-0.14215686274509803,65.76470588235294,35.0,86.49019607843137,-72.0,-83.0,-75.0,-30.0,-22.0,-80.0,-58.0,-128.0,0.717773,-0.588379,0.36181599999999997,-3.375,-21.4375,-19.4375,65.0,34.0,83.0,118.0,95.0,68.0,24.0,15.0,86.0,67.0,127.0,0.8295899999999999,-0.38769499999999996,0.47949200000000003,18.6875,5.0625,27.0625,67.0,40.0,87.0,39.94570825311697,44.66287663171291,31.70822865922791,9.161684920812071,7.622721453191188,36.22560030761476,25.875327032128656,71.04125285946988,0.021795979671561834,0.02670300602925506,0.02848238320003657,3.7429639875057186,6.218545358244886,5.559508724240116,0.6192975147412643,2.009975124224178,1.1725621351486306,79928.0,100346.0,52984.0,4389.0,2945.0,65626.0,33639.0,252348.0,33.560929508655995,9.327636636310002,7.929341457753,746.73046875,2226.85546875,1546.4375,220594.0,62677.0,381577.0
a,2.607843137254902,-5.529411764705882,-2.764705882352941,-1.1568627450980393,-0.19607843137254902,-0.9411764705882353,3.549019607843137,-0.9019607843137255,0.7897326274509803,-0.44190407843137264,0.4241728039215686,0.8321078431372549,-1.3026960784313726,0.03431372549019608,66.13725490196079,37.294117647058826,85.86274509803921,-71.0,-106.0,-70.0,-25.0,-44.0,-114.0,-61.0,-128.0,0.7358399999999999,-0.5410159999999999,0.39257800000000004,-2.3125,-19.625,-21.0,66.0,36.0,84.0,73.0,94.0,57.0,16.0,40.0,107.0,73.0,127.0,0.807617,-0.417969,0.494141,15.375,4.125,19.625,67.0,40.0,87.0,32.22798686320481,35.57209745920331,24.197180195464195,7.417203109042134,11.10318802478484,39.32399357374877,28.067998664308217,80.45924555996304,0.014349080601851522,0.020290590111520297,0.019627511959511942,2.819255503344323,4.162938650855224,5.315342088671983,0.3475403771153648,1.1008018467836767,0.6330752828262133,52279.0,64828.0,29665.0,2819.0,6166.0,77364.0,40033.0,323726.0,31.817853571598,9.979825343601998,9.195312908207002,432.72265625,953.05078125,1412.703125,223087.0,70994.0,376013.0
a,-0.0392156862745098,-2.2549019607843137,-2.2745098039215685,0.37254901960784315,0.5294117647058824,2.4313725490196076,-1.0196078431372548,-8.980392156862745,0.8018727450980389,-0.4325789019607844,0.4076190980392157,0.6801470588235294,-1.5833333333333333,-0.24877450980392157,66.09803921568627,35.78431372549019,86.68627450980392,-98.0,-108.0,-76.0,-24.0,-24.0,-36.0,-66.0,-128.0,0.733398,-0.533203,0.35498,-7.375,-17.625,-22.875,66.0,35.0,84.0,112.0,127.0,74.0,23.0,24.0,72.0,48.0,127.0,0.82373,-0.38574200000000003,0.483887,11.4375,10.1875,18.25,67.0,41.0,87.0,40.00498008214164,50.77828005643945,31.531621227823063,9.355128613362245,11.123583849059566,24.557080365516406,23.222825147753607,72.24250554793304,0.017684333356780102,0.0222516616244764,0.025271338919222227,2.80406086826609,5.453663715032919,5.0854493747492215,0.30032661958503204,1.7471545494339797,0.7871517281549049,80020.0,129181.0,49976.0,4383.0,6201.0,30454.0,27018.0,265062.0,32.808631648198,9.568106649754002,8.505751811940002,416.73046875,1614.9765625,1296.24609375,222821.0,65459.0,383271.0
a,-1.6274509803921569,-4.137254901960785,-1.7450980392156863,-0.5686274509803921,-1.8431372549019607,-5.921568627450981,-4.431372549019608,-7.392156862745098,0.7773341960784312,-0.45650464705882354,0.43327776470588236,0.5723039215686274,-0.9779411764705882,0.04044117647058824,66.05882352941177,38.35294117647059,86.82352941176471,-63.0,-117.0,-69.0,-28.0,-27.0,-93.0,-78.0,-128.0,0.618164,-0.640137,0.359863,-1.1875,-10.5625,-26.0,66.0,38.0,85.0,81.0,114.0,49.0,20.0,55.0,79.0,56.0,127.0,0.805664,-0.36181599999999997,0.555176,13.0625,2.625,29.5,67.0,42.0,87.0,31.641719791638213,48.61317500754014,25.480065256788418,9.297859757945988,11.764986271168542,36.31134430849671,25.391537883287643,72.47622463439235,0.024650125301928675,0.03119168860374413,0.027187427386634606,2.224556576215654,2.874804980597917,6.003551338705333,0.2376354103144016,0.8677218312746238,0.517914369483651,50195.0,119035.0,32617.0,4339.0,7094.0,67714.0,33238.0,265427.0,30.847052505908003,10.676867203999002,9.611168501209999,264.13671875,462.0,1802.21484375,222555.0,75056.0,384468.0
b,-1.0784313725490196,-4.921568627450981,-8.27450980392157,1.0392156862745099,-0.0784313725490196,-1.1176470588235294,-6.823529411764706,-2.372549019607843,0.8211933725490198,-0.4106923921568627,0.38991649019607844,0.07230392156862746,-1.4031862745098038,-1.9950980392156863,66.82352941176471,33.64705882352941,85.27450980392157,-40.0,-64.0,-68.0,-19.0,-20.0,-67.0,-58.0,-46.0,0.6889649999999999,-0.8066409999999999,0.321777,-19.5,-33.4375,-55.0625,65.0,32.0,84.0,36.0,48.0,122.0,39.0,18.0,70.0,59.0,34.0,0.8579100000000001,-0.350586,0.504883,23.875,17.625,39.625,67.0,40.0,87.0,12.688330287716981,20.516182039799613,35.5657579316806,9.647716381224576,8.128574628444774,26.66056793005245,24.86580453743891,15.103590016037545,0.03533264784867436,0.07958158149423228,0.030630256334789326,5.6111687250326305,7.597134674968442,11.79115030394389,0.43386091563731316,2.0181529120635506,0.5684516293423402,8109.0,22281.0,66738.0,4709.0,3304.0,35603.0,33290.0,11693.0,34.45470611124,8.918741695408002,7.800688965824999,1574.52734375,2986.23828125,7154.5625,227744.0,57942.0,370875.0
b,-0.37254901960784315,5.372549019607843,-3.607843137254902,1.6274509803921569,0.058823529411764705,0.0,-0.1568627450980392,1.2941176470588236,0.8381203921568627,-0.3919940392156862,0.36830766666666676,0.6299019607843137,-2.139705882352941,-1.1323529411764706,66.0,31.823529411764707,86.76470588235294,-62.0,-59.0,-78.0,-19.0,-29.0,-96.0,-96.0,-35.0,0.669434,-0.608398,0.32959,-8.6875,-26.5625,-37.0625,66.0,31.0,85.0,49.0,69.0,126.0,24.0,21.0,81.0,69.0,38.0,0.854492,-0.340332,0.522461,18.5625,8.0625,13.0,66.0,38.0,87.0,21.030416814046962,24.780605952489314,42.58688926483011,10.027882696389552,11.342683570841396,35.83350387556316,33.13027168558665,14.394852020978968,0.030427233185472805,0.03978868258284548,0.039682401236148315,3.3474300575510294,6.6115617036948775,6.938757172789749,0.0,2.0948115175637256,0.5509350340690864,22121.0,32176.0,91346.0,5163.0,6433.0,64202.0,54882.0,10446.0,35.87102620517401,7.915782628895999,6.996912051991,580.5,2419.1328125,2472.7109375,222156.0,51869.0,383949.0
b,-1.0,-3.8627450980392157,-3.3137254901960786,0.0392156862745098,-0.9607843137254902,-4.686274509803922,-4.607843137254902,-0.09803921568627451,0.8073873921568626,-0.42854821568627444,0.4068053137254901,0.11642156862745098,-0.6666666666666666,-0.061274509803921566,66.09803921568627,35.372549019607845,85.90196078431373,-33.0,-101.0,-69.0,-28.0,-38.0,-107.0,-60.0,-26.0,0.5893550000000001,-0.724121,0.318359,-16.9375,-28.3125,-21.4375,66.0,35.0,84.0,38.0,48.0,93.0,39.0,22.0,86.0,69.0,32.0,0.9516600000000001,-0.271973,0.6137699999999999,29.9375,12.4375,43.5625,67.0,39.0,87.0,15.877027429591474,22.764023904260107,38.50220263625366,12.658531959613208,13.558703159688577,35.86334630013124,34.58616973957802,14.479302333967315,0.03815869452435628,0.04991985146544957,0.03566773397651731,6.031298828919481,5.707145557690521,7.243019162831014,0.30032661958503204,0.9583482522282908,0.6404655169729078,12655.0,26671.0,74681.0,8012.0,9239.0,65429.0,60893.0,10483.0,33.318398750097,9.490931810079001,8.503628089391002,1819.51953125,1651.2421875,2623.2578125,222821.0,63858.0,376357.0
b,-0.5098039215686274,0.058823529411764705,2.764705882352941,-1.6274509803921569,0.27450980392156865,2.4313725490196076,2.607843137254902,-1.0196078431372548,0.862773862745098,-0.36243870588235294,0.33313225490196074,0.44730392156862747,-1.5428921568627452,-0.7794117647058824,66.0,29.41176470588235,87.80392156862744,-60.0,-98.0,-106.0,-21.0,-19.0,-72.0,-41.0,-56.0,0.770508,-0.5424800000000001,0.313965,-5.1875,-16.4375,-24.75,66.0,28.0,86.0,79.0,52.0,70.0,14.0,23.0,66.0,55.0,41.0,0.8847659999999999,-0.328613,0.441406,15.5625,7.4375,21.3125,66.0,33.0,88.0,17.303609506712302,28.15628651985619,35.709711976040424,8.738331154891592,8.829673677713236,29.299320744318138,22.979189221008255,18.027190791777215,0.018664627566624112,0.029123981061176463,0.0211267049147217,3.4938645452828188,4.537783913226504,6.45448430527636,0.0,1.3442688806668894,0.5298908507659761,14984.0,39639.0,64149.0,3953.0,3902.0,43224.0,26749.0,16302.0,37.98073406615101,6.741862905248,5.682148945086998,620.55859375,1150.98046875,2114.0,222156.0,44208.0,393200.0
b,0.13725490196078433,2.6470588235294117,-8.196078431372548,-0.5294117647058824,0.11764705882352941,-2.0,1.4901960784313726,1.2156862745098038,0.853257137254902,-0.37891582352941183,0.3444010980392157,0.21446078431372548,-1.420343137254902,-1.2634803921568627,65.90196078431373,30.176470588235293,87.86274509803921,-33.0,-37.0,-95.0,-17.0,-19.0,-49.0,-50.0,-55.0,0.8012699999999999,-0.500977,0.3125,-5.5,-17.25,-20.8125,65.0,29.0,86.0,26.0,57.0,76.0,12.0,24.0,55.0,76.0,58.0,0.8730469999999999,-0.34863299999999997,0.423828,10.375,8.0,10.0,66.0,35.0,88.0,13.420908475722703,17.28331395237819,31.763513412620547,7.0720660098063854,8.994769722062994,26.945871668958866,24.871166075614237,17.307008667577648,0.018654456490629374,0.026099762669193657,0.026718909826005173,2.4749133476611602,4.512518670864638,4.764522433529706,0.30032661958503204,2.188203668335663,0.40097919363165213,9007.0,15293.0,53872.0,2515.0,4046.0,36508.0,31042.0,15052.0,37.147834293445996,7.356497147939002,6.084912939975999,308.60546875,1121.02734375,1216.44921875,221501.0,46681.0,393721.0
