Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,30.0,111.0,-2.313725490196078,1.1715686274509802,0.02457931556059746
EMG1_mean,4.0,102.0,-8.955882352941178,1.0,0.013702920679664863
EMG2_mean,18.0,114.0,-4.867647058823529,2.666666666666667,0.01478462399104931
EMG3_mean,17.0,123.0,-1.6372549019607843,1.0245098039215685,0.009780482503803518
EMG4_mean,32.0,128.0,-1.3774509803921569,1.7107843137254903,0.01478462399104931
EMG5_mean,29.0,104.0,-3.485294117647059,0.9264705882352942,0.029579763361893104
EMG6_mean,18.0,110.0,-5.098039215686274,2.3235294117647056,0.017087605234641992
EMG7_mean,31.0,122.0,-3.598039215686274,3.6911764705882355,0.01769464105156724
Accl0_mean,113.0,128.0,0.8665987009803922,0.882960887254902,0.2858527131782946
Accl1_mean,129.0,133.0,-0.2623195833333335,-0.22736188725490197,1.0
Accl2_mean,30.0,64.0,0.37989242156862746,0.4123152107843137,0.10963455149501661
Gyr0_mean,66.0,119.0,0.36121323529411764,1.5435049019607843,0.05742176284811943
Gyr1_mean,10.0,61.0,-3.281250000000001,-1.775735294117647,0.06112104949314252
Gyr2_mean,8.0,35.0,-2.46139705882353,-1.235906862745098,0.14673311184939092
Orien0_mean,118.0,131.0,72.70098039215685,74.7843137254902,0.3322259136212624
Orien1_mean,7.0,17.0,26.92156862745098,28.436274509803923,0.4334038054968287
Orien2_mean,69.0,79.0,100.3235294117647,104.26960784313724,0.4334038054968287
EMG0_min,29.0,86.0,-57.0,-35.0,0.0507885592087677
EMG1_min,30.0,88.0,-91.5,-59.75,0.049270792274339774
EMG2_min,3.0,98.0,-120.25,-56.5,0.015342377260981914
EMG3_min,68.0,118.0,-18.0,-12.0,0.06307949536403708
EMG4_min,12.0,93.0,-32.0,-17.0,0.02457931556059746
EMG5_min,51.0,67.0,-75.0,-69.75,0.2667578659370725
EMG6_min,1.0,46.0,-128.0,-82.0,0.0741489720256151
EMG7_min,79.0,108.0,-53.0,-37.0,0.13436692506459946
Accl0_min,88.0,121.0,0.76867675,0.79785125,0.11399908800729595
Accl1_min,117.0,131.0,-0.38732900000000003,-0.3354495,0.30749354005167956
Accl2_min,37.0,85.0,0.31567375,0.36731,0.06723619680430311
Gyr0_min,43.0,128.0,-9.328125,-1.796875,0.021633315305570576
Gyr1_min,19.0,87.0,-41.0,-19.921875,0.03651275137624986
Gyr2_min,26.0,96.0,-29.5625,-14.828125,0.034392400917130694
Orien0_min,121.0,127.0,72.0,72.0,0.7032115171650055
Orien1_min,6.0,14.0,24.0,26.0,0.5383290267011197
Orien2_min,75.0,88.0,100.0,103.25,0.3322259136212624
EMG0_max,23.0,71.0,29.75,46.0,0.06723619680430311
EMG1_max,20.0,86.0,44.0,77.0,0.03875968992248062
EMG2_max,29.0,70.0,52.75,74.25,0.08490217792543374
EMG3_max,36.0,76.0,13.75,19.25,0.08791832104367554
EMG4_max,28.0,98.0,15.0,29.0,0.034392400917130694
EMG5_max,73.0,123.0,81.0,114.25,0.06307949536403708
EMG6_max,77.0,131.0,78.0,127.0,0.05567300916138125
EMG7_max,2.0,43.0,22.25,45.0,0.08490217792543374
Accl0_max,100.0,125.0,0.8968507499999999,0.92053225,0.16100178890876565
Accl1_max,123.0,129.0,-0.21301299999999998,-0.1815185,0.7032115171650055
Accl2_max,25.0,81.0,0.477905,0.5410152500000001,0.05235958112335101
Gyr0_max,75.0,111.0,15.421875,26.859375,0.10161324114812488
Gyr1_max,9.0,91.0,3.0,9.3125,0.023816195012608565
Gyr2_max,2.0,25.0,1.546875,5.296875,0.17764857881136953
Orien0_max,95.0,125.0,73.0,75.25,0.12878219554888723
Orien1_max,8.0,63.0,33.0,37.25,0.05398671096345514
Orien2_max,70.0,86.0,102.0,106.25,0.2667578659370725
EMG0_stdev,59.0,78.0,16.580696659977967,19.05173670980953,0.22093023255813954
EMG1_stdev,26.0,82.0,20.840593620369937,29.413686087003704,0.05235958112335101
EMG2_stdev,24.0,61.0,20.0856635789637,30.33358324888485,0.09791921664626684
EMG3_stdev,33.0,63.0,6.175536096410213,7.3686937095573155,0.12878219554888723
EMG4_stdev,32.0,89.0,6.923186846522574,10.642386940087114,0.0507885592087677
EMG5_stdev,70.0,105.0,30.515165021242673,37.413535174888594,0.10551248923341947
EMG6_stdev,92.0,130.0,35.70693777436166,54.880524207112686,0.09441462929835022
EMG7_stdev,11.0,49.0,13.965711057666576,19.395199367327837,0.09441462929835022
Accl0_stdev,57.0,120.0,0.02029740163007931,0.037407449508473106,0.04239341085271318
Accl1_stdev,74.0,115.0,0.028541986358694486,0.044613751168402084,0.08490217792543374
Accl2_stdev,64.0,105.0,0.03171534977426502,0.0484915699333886,0.08490217792543374
Gyr0_stdev,82.0,114.0,3.6119682476532384,6.364625570142076,0.11862814188395585
Gyr1_stdev,58.0,115.0,6.49626184297313,10.3123897965049,0.0507885592087677
Gyr2_stdev,52.0,110.0,4.2561783738149845,6.915166300834324,0.049270792274339774
Orien0_stdev,46.0,101.0,0.42840332837724987,0.8377110177484142,0.05398671096345514
Orien1_stdev,98.0,129.0,2.2620916310654,3.7291341186001294,0.12354651162790697
Orien2_stdev,0.0,69.0,0.18564016212630124,0.7837792637714975,0.035437430786267994
EMG0_energy,58.0,78.0,13823.0,18192.75,0.2085640457733481
EMG1_energy,23.0,87.0,22086.25,47083.25,0.041144901610017895
EMG2_energy,24.0,64.0,20306.0,47230.25,0.08791832104367554
EMG3_energy,37.0,61.0,2028.25,2757.0,0.16899224806201552
