Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,11.0,122.0,-3.887254901960785,2.127450980392157,0.007613510520487261
EMG1_mean,19.0,132.0,-4.730392156862745,6.681372549019608,0.006799945600435197
EMG2_mean,62.0,108.0,-1.5441176470588234,2.1372549019607847,0.07174666006927263
EMG3_mean,11.0,118.0,-1.7254901960784317,0.607843137254902,0.009331036462819405
EMG4_mean,10.0,117.0,-2.3823529411764706,0.7107843137254902,0.009331036462819405
EMG5_mean,19.0,123.0,-5.313725490196078,3.8921568627450984,0.010705057216685127
EMG6_mean,17.0,85.0,-5.357843137254902,0.05882352941176471,0.03651275137624986
EMG7_mean,9.0,70.0,-8.700980392156861,-0.8186274509803921,0.045011252813203305
Accl0_mean,49.0,81.0,0.8168849166666668,0.8415958088235296,0.11862814188395585
Accl1_mean,70.0,102.0,-0.3464331519607842,-0.3238716911764705,0.11862814188395585
Accl2_mean,70.0,100.0,0.4231125196078431,0.46239280882352946,0.12878219554888723
Gyr0_mean,52.0,79.0,0.2748161764705882,0.4739583333333333,0.14673311184939092
Gyr1_mean,65.0,85.0,-1.6418504901960784,-1.164828431372549,0.2085640457733481
Gyr2_mean,95.0,104.0,-0.08241421568627451,0.08026960784313725,0.4806201550387597
Orien0_mean,76.0,90.0,70.5392156862745,71.18137254901961,0.30749354005167956
Orien1_mean,54.0,88.0,31.77450980392157,34.61274509803921,0.10963455149501661
Orien2_mean,102.0,109.0,113.88725490196079,115.81372549019606,0.6104651162790697
EMG0_min,13.0,101.0,-73.25,-31.0,0.01959759602822054
EMG1_min,15.0,64.0,-115.5,-71.75,0.06511627906976744
EMG2_min,115.0,131.0,-38.75,-24.5,0.2667578659370725
EMG3_min,106.0,130.0,-14.0,-10.0,0.16899224806201552
EMG4_min,39.0,112.0,-25.25,-13.0,0.03142677561282213
EMG5_min,55.0,114.0,-74.0,-32.75,0.04780361757105943
EMG6_min,64.0,116.0,-69.5,-35.75,0.059236507240017555
EMG7_min,19.0,61.0,-115.0,-66.75,0.08202632053362177
Accl0_min,79.0,110.0,0.7612300000000001,0.788086,0.12354651162790697
Accl1_min,64.0,126.0,-0.46875,-0.36291475,0.04368155530946228
Accl2_min,96.0,123.0,0.38439975,0.4349365,0.14673311184939092
Gyr0_min,44.0,129.0,-9.265625,-1.703125,0.021633315305570576
Gyr1_min,89.0,102.0,-19.78125,-17.296875,0.3322259136212624
Gyr2_min,92.0,124.0,-15.984375,-7.0,0.11862814188395585
Orien0_min,89.0,115.0,70.0,71.25,0.15360321561871948
Orien1_min,58.0,95.0,31.0,34.0,0.09791921664626684
Orien2_min,102.0,108.0,112.0,114.0,0.7032115171650055
EMG0_max,58.0,113.0,38.75,75.25,0.05398671096345514
EMG1_max,60.0,125.0,61.0,118.25,0.03993422598073761
EMG2_max,0.0,16.0,20.75,42.25,0.2667578659370725
EMG3_max,3.0,45.0,8.0,15.0,0.08202632053362177
EMG4_max,27.0,110.0,15.0,33.25,0.02307124400147656
EMG5_max,30.0,94.0,51.75,92.25,0.041144901610017895
EMG6_max,10.0,44.0,26.5,55.25,0.10963455149501661
EMG7_max,60.0,117.0,57.0,123.0,0.0507885592087677
Accl0_max,25.0,56.0,0.8400877499999999,0.864502,0.12354651162790697
Accl1_max,50.0,77.0,-0.313477,-0.291382,0.14673311184939092
Accl2_max,39.0,79.0,0.499512,0.5396730000000001,0.08791832104367554
Gyr0_max,38.0,67.0,10.28125,14.15625,0.13436692506459946
Gyr1_max,39.0,58.0,5.1875,6.671875,0.22093023255813954
Gyr2_max,30.0,90.0,5.625,15.0,0.046384546956411234
Orien0_max,70.0,90.0,72.0,72.25,0.2085640457733481
Orien1_max,34.0,67.0,35.0,38.0,0.11399908800729595
Orien2_max,98.0,106.0,114.75,116.25,0.5383290267011197
EMG0_stdev,77.0,109.0,18.900975670701875,24.664463149061323,0.11862814188395585
EMG1_stdev,92.0,110.0,30.9801803363085,37.030922043548955,0.23459812321501428
EMG2_stdev,0.0,11.0,9.291515600911344,14.714121842772634,0.39405684754521964
EMG3_stdev,13.0,46.0,4.78522473233919,6.645738373113666,0.11399908800729595
EMG4_stdev,40.0,72.0,7.625074613411643,9.528784519066791,0.11862814188395585
EMG5_stdev,29.0,60.0,18.48002191121782,28.563663379356996,0.12354651162790697
EMG6_stdev,15.0,29.0,15.341802609069768,19.59247679742251,0.30749354005167956
EMG7_stdev,81.0,116.0,32.880001890827565,53.50658685425321,0.10551248923341947
Accl0_stdev,16.0,39.0,0.013686712188083186,0.017521551322428802,0.17764857881136953
Accl1_stdev,1.0,66.0,0.009550177162341352,0.025574942454213573,0.03993422598073761
Accl2_stdev,24.0,44.0,0.02117016487771314,0.027229309547027094,0.2085640457733481
Gyr0_stdev,24.0,59.0,2.380462907493297,3.024300495150541,0.10551248923341947
Gyr1_stdev,23.0,37.0,4.196995946910291,5.246051684144943,0.30749354005167956
Gyr2_stdev,3.0,58.0,1.9636619598143832,4.450629457794709,0.05398671096345514
Orien0_stdev,9.0,83.0,0.2376354103144016,0.6422997895125326,0.030490956072351423
Orien1_stdev,24.0,57.0,0.9928424839564273,1.604466521565589,0.11399908800729595
Orien2_stdev,44.0,68.0,0.563050261661801,0.7822791939005396,0.16899224806201552
EMG0_energy,77.0,109.0,17880.25,30723.25,0.11862814188395585
EMG1_energy,90.0,111.0,48077.0,72042.25,0.19732205778717404
EMG2_energy,0.0,11.0,4341.25,10887.25,0.39405684754521964
EMG3_energy,13.0,45.0,1182.5,2226.25,0.11862814188395585
EMG4_energy,38.0,70.0,2906.75,4686.5,0.11862814188395585
EMG5_energy,28.0,59.0,17166.75,41423.25,0.12354651162790697
EMG6_energy,14.0,29.0,11940.75,20330.0,0.2858527131782946
EMG7_energy,81.0,115.0,54477.25,143639.25,0.10963455149501661
Accl0_energy,49.0,79.0,34.04305339000326,36.12909372145501,0.12878219554888723
Accl1_energy,28.0,64.0,5.358617472046752,6.166188872055249,0.10161324114812488
Accl2_energy,70.0,100.0,9.176278642196502,10.926874501194245,0.12878219554888723
Gyr0_energy,23.0,59.0,281.5126953125,465.83984375,0.10161324114812488
Gyr1_energy,23.0,36.0,967.6728515625,1481.283203125,0.3322259136212624
Gyr2_energy,3.0,56.0,194.439453125,979.791015625,0.05742176284811943
Orien0_energy,76.0,89.0,253789.0,258385.0,0.3322259136212624
Orien1_energy,51.0,89.0,51571.75,61234.25,0.09441462929835022
Orien2_energy,102.0,109.0,661502.75,684068.0,0.6104651162790697
