Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,3.0,125.0,-7.171568627450981,2.8235294117647056,0.0034663137329047715
EMG1_mean,6.0,120.0,-6.759803921568629,2.8823529411764706,0.006403774856757668
EMG2_mean,11.0,103.0,-6.073529411764706,1.5441176470588234,0.017087605234641992
EMG3_mean,1.0,120.0,-4.171568627450981,0.7892156862745099,0.004521963824289404
EMG4_mean,0.0,105.0,-4.230392156862747,0.27941176470588236,0.010238408658768466
EMG5_mean,4.0,60.0,-9.049019607843137,-1.446078431372549,0.05235958112335101
EMG6_mean,1.0,127.0,-11.529411764705884,5.0931372549019605,0.0021363608618690136
EMG7_mean,2.0,124.0,-13.264705882352942,4.323529411764706,0.0034663137329047715
Accl0_mean,27.0,86.0,0.7994289656862745,0.8435489460784316,0.04780361757105943
Accl1_mean,53.0,98.0,-0.3700381862745098,-0.328778406862745,0.0741489720256151
Accl2_mean,42.0,97.0,0.3948615931372549,0.45673207352941186,0.05398671096345514
Gyr0_mean,24.0,82.0,0.00030637254901960675,0.4834558823529412,0.049270792274339774
Gyr1_mean,9.0,31.0,-3.3299632352941178,-2.4638480392156863,0.1870576339737108
Gyr2_mean,27.0,50.0,-1.6317401960784312,-0.8728553921568627,0.17764857881136953
Orien0_mean,42.0,72.0,68.16666666666666,70.24019607843137,0.12878219554888723
Orien1_mean,47.0,98.0,31.52450980392157,35.23529411764706,0.06112104949314252
Orien2_mean,122.0,130.0,117.63725490196079,120.95588235294117,0.5383290267011197
EMG0_min,11.0,53.0,-75.0,-44.75,0.08202632053362177
EMG1_min,9.0,89.0,-122.5,-59.0,0.025361278591252746
EMG2_min,4.0,101.0,-117.75,-53.0,0.014238253440911246
EMG3_min,0.0,45.0,-88.5,-21.0,0.0741489720256151
EMG4_min,31.0,82.0,-27.0,-19.0,0.06112104949314252
EMG5_min,9.0,62.0,-105.0,-73.0,0.05742176284811943
EMG6_min,19.0,71.0,-101.5,-65.0,0.059236507240017555
EMG7_min,5.0,50.0,-128.0,-77.0,0.0741489720256151
Accl0_min,0.0,72.0,0.4902342500000001,0.75378425,0.03238823404481257
Accl1_min,14.0,99.0,-0.5985105000000001,-0.41052275,0.021633315305570576
Accl2_min,53.0,103.0,0.33300775,0.40075649999999996,0.06307949536403708
Gyr0_min,38.0,96.0,-9.640625,-4.9375,0.049270792274339774
Gyr1_min,11.0,68.0,-51.1875,-25.671875,0.0507885592087677
Gyr2_min,7.0,105.0,-54.078125,-12.078125,0.013702920679664863
Orien0_min,62.0,88.0,68.0,70.0,0.15360321561871948
Orien1_min,30.0,100.0,29.0,34.0,0.034392400917130694
Orien2_min,115.0,130.0,115.0,119.0,0.2858527131782946
EMG0_max,39.0,133.0,35.0,120.25,0.015911872705018357
EMG1_max,36.0,87.0,54.75,77.0,0.06112104949314252
EMG2_max,74.0,129.0,77.0,127.0,0.05398671096345514
EMG3_max,54.0,130.0,17.0,40.25,0.02869223799456357
EMG4_max,43.0,112.0,18.0,35.0,0.035437430786267994
EMG5_max,72.0,133.0,81.0,127.0,0.045011252813203305
EMG6_max,48.0,82.0,56.75,83.25,0.10963455149501661
EMG7_max,68.0,123.0,65.5,127.0,0.05398671096345514
Accl0_max,34.0,120.0,0.8454590000000001,0.9166259999999999,0.020939142831684934
Accl1_max,22.0,93.0,-0.3432615,-0.27868675000000004,0.03337639965546942
Accl2_max,70.0,130.0,0.5285647499999999,0.6993405,0.046384546956411234
Gyr0_max,16.0,93.0,6.15625,19.671875,0.027827469687934803
Gyr1_max,7.0,103.0,2.859375,12.4375,0.01478462399104931
Gyr2_max,6.0,98.0,2.53125,17.046875,0.017087605234641992
Orien0_max,35.0,83.0,69.0,72.0,0.06723619680430311
Orien1_max,91.0,118.0,40.0,44.0,0.14673311184939092
Orien2_max,115.0,127.0,117.75,122.0,0.36076326774001194
EMG0_stdev,58.0,127.0,16.442699786238094,34.15003828415498,0.035437430786267994
EMG1_stdev,45.0,117.0,24.70045003719092,43.74245541049864,0.03238823404481257
EMG2_stdev,74.0,133.0,31.98080074699851,53.267137626510774,0.04780361757105943
EMG3_stdev,77.0,133.0,8.28307501907579,19.107210942977968,0.05235958112335101
