Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,38.0,97.0,-1.7009803921568627,0.3872549019607844,0.037500000000000006
EMG1_mean,34.0,80.0,-1.9411764705882355,-0.13725490196078433,0.05651595744680851
EMG2_mean,72.0,109.0,-0.7450980392156863,0.17647058823529413,0.07730263157894737
EMG3_mean,97.0,121.0,-0.4117647058823529,0.12745098039215685,0.13375
EMG4_mean,55.0,97.0,-0.8676470588235294,-0.36764705882352944,0.06468023255813954
EMG5_mean,48.0,118.0,-0.9607843137254902,-0.014705882352941176,0.026848591549295774
EMG6_mean,36.0,102.0,-1.0980392156862746,-0.3725490196078432,0.030317164179104475
EMG7_mean,59.0,111.0,-0.8823529411764706,0.19117647058823528,0.04658018867924528
Accl0_mean,26.0,49.0,-0.8367441372549017,-0.8046875049019608,0.140625
Accl1_mean,26.0,30.0,0.4092754509803922,0.4148954950980392,0.79375
Accl2_mean,77.0,97.0,0.43400305392156874,0.4743843823529411,0.16517857142857142
Gyr0_mean,73.0,96.0,-1.6155024509803921,-0.8697916666666666,0.140625
Gyr1_mean,23.0,43.0,-0.21017156862745096,1.9938725490196076,0.16517857142857142
Gyr2_mean,99.0,112.0,-3.1207107843137254,-1.9776348039215685,0.26339285714285715
Orien0_mean,17.0,33.0,109.44607843137256,110.66666666666666,0.2113970588235294
Orien1_mean,67.0,93.0,140.62254901960785,143.18137254901958,0.12152777777777779
Orien2_mean,3.0,7.0,37.91176470588235,42.40686274509803,0.79375
EMG0_min,100.0,131.0,-28.25,-9.5,0.09765625
EMG1_min,52.0,120.0,-50.25,-19.25,0.028532608695652176
EMG2_min,15.0,99.0,-36.25,-15.0,0.017279411764705883
EMG3_min,83.0,130.0,-10.0,-4.0,0.0546875
EMG4_min,36.0,100.0,-27.5,-8.0,0.03221153846153846
EMG5_min,41.0,125.0,-18.25,-5.0,0.017279411764705883
EMG6_min,113.0,130.0,-7.0,-4.0,0.19791666666666666
EMG7_min,68.0,128.0,-20.0,-7.0,0.03637295081967214
Accl0_min,1.0,80.0,-1.072635,-0.86853,0.020312499999999997
Accl1_min,44.0,60.0,0.296387,0.34924325,0.2113970588235294
Accl2_min,77.0,104.0,0.350952,0.41735825,0.11607142857142858
Gyr0_min,76.0,117.0,-24.296875,-12.21875,0.06696428571428571
Gyr1_min,60.0,76.0,-10.140625,-7.3125,0.2113970588235294
Gyr2_min,102.0,122.0,-33.015625,-13.1875,0.16517857142857142
Orien0_min,29.0,44.0,109.0,110.0,0.2265625
Orien1_min,105.0,129.0,129.75,136.25,0.13375
Orien2_min,4.0,8.0,37.25,40.25,0.79375
EMG0_max,0.0,80.0,6.25,39.25,0.019675925925925923
EMG1_max,4.0,63.0,8.75,39.0,0.037500000000000006
EMG2_max,40.0,118.0,15.0,37.0,0.020965189873417722
EMG3_max,42.0,67.0,8.75,11.0,0.12740384615384615
EMG4_max,33.0,57.0,6.75,13.0,0.13375
EMG5_max,18.0,60.0,4.75,11.0,0.06468023255813954
EMG6_max,11.0,39.0,4.0,7.0,0.11099137931034483
EMG7_max,10.0,63.0,7.0,18.0,0.045138888888888895
Accl0_max,3.0,15.0,-0.7347410000000001,-0.67504875,0.2860576923076923
Accl1_max,0.0,26.0,0.5197757499999999,0.6240235000000001,0.12152777777777779
Accl2_max,29.0,71.0,0.5063479999999999,0.56811525,0.06468023255813954
Gyr0_max,16.0,72.0,3.609375,9.453125,0.04111842105263158
Gyr1_max,15.0,47.0,17.109375,35.3125,0.09375
Gyr2_max,8.0,74.0,2.640625,11.1875,0.030317164179104475
Orien0_max,3.0,19.0,111.0,113.0,0.2113970588235294
Orien1_max,42.0,69.0,143.75,147.0,0.11607142857142858
Orien2_max,2.0,7.0,39.75,45.0,0.65625
EMG0_stdev,0.0,9.0,3.221632541058119,7.192502480579497,0.38125
EMG1_stdev,10.0,38.0,6.328408130573631,12.079002158067972,0.11099137931034483
EMG2_stdev,65.0,77.0,7.122027689570182,8.038888968138881,0.2860576923076923
EMG3_stdev,17.0,42.0,2.773743654883459,3.767455891989647,0.12740384615384615
EMG4_stdev,34.0,61.0,3.0345449803392937,5.293984554564241,0.11607142857142858
EMG5_stdev,11.0,57.0,2.0551090661455667,4.151157258089468,0.05651595744680851
EMG6_stdev,6.0,16.0,1.9343581221982316,2.3799812595281717,0.34375
EMG7_stdev,4.0,32.0,3.15025335588963,5.304760854223745,0.11099137931034483
Accl0_stdev,19.0,29.0,0.04287933737630291,0.05658102842876532,0.34375
Accl1_stdev,20.0,27.0,0.04115776595452069,0.06303783636466373,0.484375
Accl2_stdev,11.0,42.0,0.01995703979034239,0.04102965289706059,0.09765625
Gyr0_stdev,18.0,51.0,3.9142988343609484,5.732573149137492,0.0900735294117647
Gyr1_stdev,13.0,44.0,6.138193332476926,9.751849838220107,0.09765625
Gyr2_stdev,7.0,34.0,4.732100774026337,11.414964879244621,0.11607142857142858
Orien0_stdev,25.0,70.0,0.6325395220533018,1.4308209891635952,0.05842391304347826
Orien1_stdev,19.0,38.0,2.695581603641181,4.57817638602796,0.175
Orien2_stdev,14.0,80.0,0.5298767778011012,1.5000354368597586,0.030317164179104475
EMG0_energy,0.0,9.0,485.5,2660.0,0.38125
EMG1_energy,10.0,37.0,2150.75,7277.0,0.11607142857142858
EMG2_energy,64.0,76.0,2546.25,3236.0,0.2860576923076923
EMG3_energy,12.0,40.0,385.5,713.0,0.11099137931034483
EMG4_energy,34.0,61.0,470.5,1447.25,0.11607142857142858
EMG5_energy,9.0,56.0,221.5,862.0,0.0546875
EMG6_energy,5.0,18.0,201.75,339.25,0.26339285714285715
EMG7_energy,3.0,31.0,505.75,1443.75,0.11099137931034483
Accl0_energy,73.0,101.0,33.205190059029,35.907672950863,0.11099137931034483
Accl1_energy,18.0,22.0,8.625378282410002,8.931250960366249,0.79375
Accl2_energy,77.0,97.0,9.6658202873085,11.561608777091747,0.16517857142857142
Gyr0_energy,17.0,49.0,807.171875,1776.9853515625,0.09375
Gyr1_energy,12.0,38.0,1885.3544921875,4785.7685546875,0.12152777777777779
Gyr2_energy,12.0,34.0,1587.3994140625,7173.779296875,0.1480978260869565
Orien0_energy,17.0,33.0,611079.25,624624.0,0.2113970588235294
Orien1_energy,66.0,93.0,1009463.25,1046245.25,0.11607142857142858
Orien2_energy,3.0,7.0,73361.0,91855.25,0.79375
