Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,114.0,-2.372549019607843,1.2745098039215685,0.01217105263157895
EMG1_mean,7.0,82.0,-4.235294117647059,-0.11274509803921567,0.023026315789473686
EMG2_mean,5.0,95.0,-2.156862745098039,-0.1519607843137255,0.014079670329670328
EMG3_mean,25.0,59.0,-1.2009803921568627,-0.7843137254901961,0.08660714285714285
EMG4_mean,2.0,58.0,-3.588235294117647,-0.8431372549019608,0.04111842105263158
EMG5_mean,51.0,124.0,-0.9215686274509804,0.2647058823529412,0.024493243243243243
EMG6_mean,36.0,110.0,-1.0980392156862746,-0.1911764705882353,0.02375
EMG7_mean,41.0,121.0,-1.107843137254902,0.7598039215686274,0.019675925925925923
Accl0_mean,58.0,101.0,-0.7928753921568628,-0.7103989656862744,0.0625
Accl1_mean,99.0,123.0,0.5396920294117648,0.6206509019607844,0.13375
Accl2_mean,5.0,31.0,0.29023053921568626,0.35499245098039217,0.12152777777777779
Gyr0_mean,51.0,87.0,-2.3799019607843137,-1.1531862745098038,0.08023648648648649
Gyr1_mean,34.0,50.0,0.9512867647058824,2.3998161764705883,0.2113970588235294
Gyr2_mean,7.0,49.0,-14.271132352941176,-9.222732843137255,0.06468023255813954
Orien0_mean,103.0,130.0,116.93137254901961,120.37254901960783,0.11607142857142858
Orien1_mean,31.0,73.0,133.7794117647059,141.22058823529414,0.06468023255813954
Orien2_mean,124.0,127.0,147.71078431372547,162.47549019607843,1.0
EMG0_min,49.0,76.0,-46.25,-35.0,0.11607142857142858
EMG1_min,7.0,26.0,-104.5,-65.0,0.175
EMG2_min,10.0,109.0,-40.5,-13.0,0.010000000000000002
EMG3_min,21.0,79.0,-16.0,-10.0,0.03866525423728813
EMG4_min,28.0,56.0,-32.25,-21.0,0.11099137931034483
EMG5_min,53.0,96.0,-15.0,-8.0,0.0625
EMG6_min,87.0,118.0,-10.0,-6.0,0.09765625
EMG7_min,84.0,124.0,-17.0,-8.75,0.06935975609756098
Accl0_min,47.0,98.0,-0.9147945000000001,-0.8369139999999999,0.04807692307692307
Accl1_min,58.0,118.0,0.342163,0.48852525,0.03637295081967214
Accl2_min,19.0,60.0,0.21081550000000004,0.30773900000000004,0.06696428571428571
Gyr0_min,37.0,64.0,-35.78125,-27.109375,0.11607142857142858
Gyr1_min,20.0,85.0,-21.953125,-6.8125,0.03125
Gyr2_min,5.0,34.0,-120.84375,-83.359375,0.10625000000000001
Orien0_min,67.0,128.0,112.0,119.0,0.035282258064516125
Orien1_min,5.0,34.0,104.0,113.0,0.10625000000000001
Orien2_min,124.0,127.0,136.0,161.0,1.0
EMG0_max,42.0,102.0,26.0,46.0,0.03637295081967214
EMG1_max,112.0,125.0,68.75,91.75,0.26339285714285715
EMG2_max,62.0,131.0,21.0,60.75,0.027678571428571427
EMG3_max,34.0,68.0,7.75,11.0,0.08660714285714285
EMG4_max,41.0,119.0,7.75,45.0,0.020965189873417722
