Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,21.0,103.0,-2.3235294117647056,0.5833333333333333,0.018448795180722892
EMG1_mean,22.0,123.0,-2.2990196078431375,2.2107843137254903,0.009191176470588237
EMG2_mean,12.0,61.0,-1.8431372549019605,-0.857843137254902,0.051250000000000004
EMG3_mean,24.0,99.0,-1.2156862745098038,-0.38725490196078427,0.023026315789473686
EMG4_mean,32.0,80.0,-1.2401960784313726,-0.6274509803921569,0.05293367346938775
EMG5_mean,35.0,121.0,-1.1176470588235294,0.10294117647058824,0.016163793103448273
EMG6_mean,48.0,120.0,-1.0049019607843137,-0.03431372549019608,0.02525684931506849
EMG7_mean,95.0,113.0,-0.31862745098039214,0.3529411764705882,0.18585526315789475
Accl0_mean,55.0,98.0,-0.7965040098039213,-0.717512549019608,0.0625
Accl1_mean,42.0,52.0,0.45080333823529417,0.46267279901960795,0.34375
Accl2_mean,76.0,111.0,0.4319924950980392,0.5335430294117647,0.08333333333333333
Gyr0_mean,6.0,111.0,-5.083333333333332,-0.4424019607843137,0.00766509433962264
Gyr1_mean,12.0,39.0,-1.3866421568627452,1.600796568627451,0.11607142857142858
Gyr2_mean,9.0,55.0,-13.624686274509804,-8.42279411764706,0.05651595744680851
Orien0_mean,14.0,44.0,109.21078431372551,111.84803921568627,0.10181451612903225
Orien1_mean,32.0,64.0,133.90196078431373,140.37254901960785,0.09375
Orien2_mean,118.0,121.0,96.1372549019608,117.9607843137255,1.0
EMG0_min,57.0,113.0,-45.0,-21.75,0.04111842105263158
EMG1_min,15.0,115.0,-83.25,-22.75,0.009591584158415843
EMG2_min,40.0,93.0,-24.5,-16.0,0.045138888888888895
EMG3_min,81.0,121.0,-10.0,-7.0,0.06935975609756098
EMG4_min,64.0,117.0,-19.0,-5.0,0.045138888888888895
EMG5_min,34.0,129.0,-20.0,-4.0,0.01171875
EMG6_min,30.0,90.0,-21.25,-10.0,0.03637295081967214
EMG7_min,70.0,107.0,-20.0,-12.0,0.07730263157894737
Accl0_min,53.0,96.0,-0.9091795,-0.83776875,0.0625
Accl1_min,32.0,70.0,0.280762,0.37182624999999997,0.07451923076923077
Accl2_min,46.0,115.0,0.28564475,0.45886225,0.027678571428571427
Gyr0_min,0.0,76.0,-90.625,-24.0,0.02232142857142857
Gyr1_min,27.0,58.0,-19.453125,-10.171875,0.09765625
Gyr2_min,14.0,67.0,-110.4535,-63.0625,0.045138888888888895
Orien0_min,7.0,31.0,105.75,109.0,0.13375
Orien1_min,11.0,81.0,105.75,123.0,0.026848591549295774
Orien2_min,119.0,122.0,93.75,116.0,1.0
EMG0_max,25.0,54.0,21.0,30.0,0.10625000000000001
EMG1_max,56.0,92.0,36.0,53.25,0.08023648648648649
EMG2_max,1.0,88.0,4.0,26.25,0.015625
EMG3_max,0.0,89.0,3.0,13.0,0.01458333333333333
EMG4_max,0.0,71.0,2.0,17.0,0.026041666666666664
EMG5_max,65.0,111.0,11.0,25.0,0.05651595744680851
EMG6_max,46.0,114.0,7.0,21.0,0.028532608695652176
EMG7_max,23.0,75.0,10.75,21.25,0.04658018867924528
Accl0_max,48.0,119.0,-0.5452885,-0.265381,0.026041666666666664
Accl1_max,65.0,120.0,0.770752,0.9306645,0.04241071428571429
Accl2_max,30.0,99.0,0.5063479999999999,0.605957,0.027678571428571427
Gyr0_max,75.0,123.0,9.65625,29.0,0.05293367346938775
