Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,22.0,83.0,-2.2745098039215685,-0.3137254901960784,0.035282258064516125
EMG1_mean,16.0,87.0,-2.862745098039216,-0.004901960784313725,0.026041666666666664
EMG2_mean,53.0,115.0,-0.9656862745098039,0.43627450980392163,0.03422619047619048
EMG3_mean,16.0,102.0,-1.2549019607843137,-0.36764705882352944,0.016163793103448273
EMG4_mean,31.0,106.0,-1.2549019607843137,-0.1715686274509804,0.023026315789473686
EMG5_mean,16.0,102.0,-1.5,-0.36764705882352944,0.016163793103448273
EMG6_mean,12.0,113.0,-1.6078431372549018,-0.1176470588235294,0.009191176470588237
EMG7_mean,6.0,48.0,-2.9068627450980395,-1.0147058823529411,0.06468023255813954
Accl0_mean,48.0,112.0,-0.8064323774509803,-0.6682416274509803,0.03221153846153846
Accl1_mean,62.0,126.0,0.47852520588235287,0.6383798529411765,0.03221153846153846
Accl2_mean,56.0,99.0,0.3889447401960785,0.4748630882352941,0.0625
Gyr0_mean,116.0,131.0,0.16053921568627452,2.2683823529411766,0.2265625
Gyr1_mean,0.0,20.0,-7.261029411764705,-0.3085171568627451,0.16517857142857142
Gyr2_mean,85.0,117.0,-5.160845588235295,-0.5995710784313726,0.09375
Orien0_mean,80.0,105.0,114.30882352941177,117.41666666666667,0.12740384615384615
Orien1_mean,19.0,71.0,130.06372549019608,141.17647058823533,0.04658018867924528
Orien2_mean,28.0,111.0,59.40686274509804,85.16176470588235,0.017857142857142856
EMG0_min,59.0,96.0,-44.25,-29.0,0.07730263157894737
EMG1_min,71.0,122.0,-43.0,-16.75,0.04807692307692307
EMG2_min,66.0,106.0,-20.0,-13.75,0.06935975609756098
EMG3_min,32.0,87.0,-15.0,-10.0,0.04241071428571429
EMG4_min,59.0,109.0,-21.0,-6.75,0.049632352941176475
EMG5_min,65.0,115.0,-13.0,-6.0,0.049632352941176475
EMG6_min,35.0,90.0,-20.25,-10.0,0.04241071428571429
EMG7_min,2.0,33.0,-79.75,-33.75,0.09765625
Accl0_min,66.0,113.0,-0.8879392500000001,-0.7644040000000001,0.0546875
Accl1_min,25.0,107.0,0.26342775,0.46167,0.018448795180722892
Accl2_min,1.0,46.0,-0.020873749999999996,0.288086,0.05842391304347826
Gyr0_min,26.0,55.0,-40.890625,-31.421875,0.10625000000000001
Gyr1_min,0.0,3.0,-98.109375,-68.390625,1.0
Gyr2_min,46.0,88.0,-79.453125,-46.109375,0.06468023255813954
Orien0_min,26.0,75.0,108.0,112.0,0.051250000000000004
Orien1_min,90.0,124.0,125.0,134.25,0.08660714285714285
Orien2_min,19.0,112.0,49.75,80.0,0.012632978723404256
EMG0_max,43.0,91.0,26.75,44.0,0.05293367346938775
EMG1_max,8.0,26.0,12.5,25.0,0.18585526315789475
EMG2_max,20.0,51.0,11.0,17.0,0.09765625
EMG3_max,27.0,80.0,7.0,11.0,0.045138888888888895
EMG4_max,37.0,85.0,7.0,24.25,0.05293367346938775
EMG5_max,1.0,38.0,2.0,7.0,0.07730263157894737
EMG6_max,41.0,91.0,7.0,14.0,0.049632352941176475
EMG7_max,86.0,118.0,24.75,50.0,0.09375
Accl0_max,20.0,56.0,-0.66235325,-0.5100095,0.08023648648648649
Accl1_max,46.0,100.0,0.7159422500000001,0.8469239999999999,0.04375
Accl2_max,66.0,119.0,0.5628660000000001,0.67517125,0.045138888888888895
Gyr0_max,125.0,131.0,29.5,51.75,0.5580357142857143
Gyr1_max,99.0,125.0,59.875,82.484375,0.12152777777777779
Gyr2_max,128.0,131.0,67.265625,99.249625,1.0
Orien0_max,105.0,124.0,120.0,122.0,0.175
Orien1_max,22.0,70.0,136.0,147.0,0.05293367346938775
Orien2_max,91.0,114.0,71.75,97.5,0.140625
EMG0_stdev,50.0,82.0,11.98236550246815,15.370224161760307,0.09375
EMG1_stdev,14.0,43.0,7.710809474869872,12.827987706307423,0.10625000000000001
EMG2_stdev,31.0,55.0,5.482859660246275,6.824948868060661,0.13375
EMG3_stdev,38.0,84.0,3.5986920777780504,4.55975146994242,0.05651595744680851
EMG4_stdev,40.0,57.0,3.434773512281667,4.479910376065987,0.19791666666666666
EMG5_stdev,12.0,45.0,2.0890703295414625,3.3396847205721683,0.0900735294117647
EMG6_stdev,52.0,98.0,3.773840383132156,6.65166883453702,0.05651595744680851
EMG7_stdev,111.0,120.0,13.293126048097788,20.1355965364804,0.38125
Accl0_stdev,18.0,47.0,0.040080310229972264,0.07339629598963034,0.10625000000000001
Accl1_stdev,37.0,91.0,0.07291454245268454,0.11868916212236838,0.04375
Accl2_stdev,122.0,130.0,0.09563696717537355,0.1376975254262174,0.4270833333333333
Gyr0_stdev,115.0,131.0,11.669548167662766,18.618513844344953,0.2113970588235294
Gyr1_stdev,128.0,131.0,33.21744708120155,42.797001979326495,1.0
Gyr2_stdev,105.0,129.0,27.10585400426873,37.67199676027925,0.13375
Orien0_stdev,111.0,129.0,2.6225135063118685,4.058215299728536,0.18585526315789475
Orien1_stdev,14.0,45.0,2.0552911194752403,5.2716871549757105,0.09765625
Orien2_stdev,127.0,130.0,5.5684847601305085,23.336444210306485,1.0
EMG0_energy,51.0,81.0,7463.0,11797.75,0.10181451612903225
EMG1_energy,13.0,44.0,2856.5,8573.75,0.09765625
EMG2_energy,29.0,53.0,1544.25,2354.75,0.13375
EMG3_energy,36.0,82.0,648.25,1061.5,0.05651595744680851
EMG4_energy,41.0,58.0,680.5,1055.25,0.19791666666666666
EMG5_energy,11.0,50.0,249.5,673.75,0.071875
EMG6_energy,58.0,97.0,845.5,2243.25,0.071875
EMG7_energy,111.0,120.0,9021.5,20599.25,0.38125
Accl0_energy,19.0,75.0,22.932492597141504,33.273731627674756,0.04111842105263158
Accl1_energy,65.0,126.0,12.382432369942503,21.079082876828004,0.035282258064516125
Accl2_energy,60.0,102.0,8.212744309902497,12.076416277076252,0.06468023255813954
