Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,24.0,82.0,-2.2745098039215685,-0.3333333333333333,0.03866525423728813
EMG1_mean,6.0,129.0,-4.333333333333333,4.259803921568628,0.0020161290322580627
EMG2_mean,33.0,128.0,-1.3725490196078431,1.284313725490196,0.01171875
EMG3_mean,53.0,105.0,-0.8480392156862745,-0.24509803921568626,0.04658018867924528
EMG4_mean,61.0,104.0,-0.8235294117647058,-0.19607843137254904,0.0625
EMG5_mean,9.0,110.0,-1.7794117647058822,-0.21568627450980396,0.009191176470588237
EMG6_mean,9.0,99.0,-1.7598039215686274,-0.4117647058823529,0.014079670329670328
EMG7_mean,45.0,104.0,-1.0588235294117647,-0.0784313725490196,0.037500000000000006
Accl0_mean,52.0,108.0,-0.8033232107843137,-0.6771766862745098,0.04111842105263158
Accl1_mean,54.0,116.0,0.46340525980392155,0.5886685343137256,0.03422619047619048
Accl2_mean,68.0,94.0,0.40676940196078426,0.4693411568627451,0.12152777777777779
Gyr0_mean,16.0,52.0,-4.010110294117647,-2.3379289215686274,0.08023648648648649
Gyr1_mean,97.0,115.0,6.52389705882353,8.137867647058824,0.18585526315789475
Gyr2_mean,19.0,63.0,-12.038605392156864,-7.64093137254902,0.06041666666666666
Orien0_mean,50.0,90.0,112.30882352941177,115.16176470588238,0.06935975609756098
Orien1_mean,25.0,80.0,131.52450980392157,141.97549019607845,0.04241071428571429
Orien2_mean,35.0,67.0,60.28431372549019,63.61274509803921,0.09375
EMG0_min,62.0,124.0,-43.25,-16.0,0.03422619047619048
EMG1_min,16.0,73.0,-79.25,-42.0,0.03987068965517242
EMG2_min,9.0,87.0,-42.25,-17.0,0.020965189873417722
EMG3_min,15.0,109.0,-18.25,-8.0,0.01217105263157895
EMG4_min,76.0,124.0,-16.0,-5.0,0.05293367346938775
EMG5_min,36.0,73.0,-19.0,-12.0,0.07730263157894737
EMG6_min,4.0,70.0,-34.0,-13.0,0.030317164179104475
EMG7_min,57.0,106.0,-23.0,-12.75,0.051250000000000004
Accl0_min,69.0,111.0,-0.883301,-0.7822265,0.06468023255813954
Accl1_min,74.0,122.0,0.3776855,0.501099,0.05293367346938775
Accl2_min,74.0,106.0,0.340698,0.4228520000000001,0.09375
Gyr0_min,32.0,104.0,-38.203125,-16.109375,0.02525684931506849
Gyr1_min,66.0,130.0,-9.453125,-0.984375,0.03221153846153846
Gyr2_min,23.0,90.0,-102.17175,-43.515625,0.029411764705882353
Orien0_min,56.0,90.0,111.0,114.0,0.08660714285714285
Orien1_min,7.0,28.0,104.75,112.0,0.15625
Orien2_min,41.0,69.0,59.0,63.0,0.11099137931034483
EMG0_max,3.0,48.0,11.0,28.0,0.05842391304347826
EMG1_max,75.0,115.0,43.0,72.0,0.06935975609756098
EMG2_max,14.0,105.0,9.0,31.0,0.013586956521739128
EMG3_max,30.0,83.0,7.0,12.0,0.045138888888888895
EMG4_max,19.0,75.0,4.75,18.25,0.04111842105263158
EMG5_max,17.0,98.0,4.0,19.0,0.01905487804878049
EMG6_max,41.0,98.0,7.0,14.0,0.03987068965517242
EMG7_max,50.0,77.0,15.0,22.0,0.11607142857142858
Accl0_max,109.0,127.0,-0.34960975,-0.20666475,0.18585526315789475
Accl1_max,82.0,117.0,0.80859375,0.9169922500000001,0.08333333333333333
Accl2_max,91.0,106.0,0.588867,0.616699,0.2265625
Gyr0_max,1.0,46.0,1.796875,6.765625,0.05842391304347826
Gyr1_max,60.0,115.0,40.984375,68.171875,0.04241071428571429
Gyr2_max,5.0,38.0,2.046875,6.1875,0.0900735294117647
Orien0_max,54.0,80.0,116.75,118.0,0.12152777777777779
Orien1_max,28.0,75.0,138.0,147.25,0.0546875
Orien2_max,39.0,45.0,63.0,64.0,0.5580357142857143
EMG0_stdev,12.0,38.0,7.762747174949025,10.847865422238442,0.12152777777777779
EMG1_stdev,108.0,119.0,22.211499469114692,29.235670559014086,0.3125
EMG2_stdev,19.0,108.0,5.0045829583162105,10.979701237202645,0.01458333333333333
EMG3_stdev,24.0,91.0,3.1045743072449956,4.831659022506072,0.029411764705882353
EMG4_stdev,7.0,74.0,1.7446985944955975,6.772844003716209,0.029411764705882353
EMG5_stdev,30.0,105.0,2.702717341464286,7.210902452067583,0.023026315789473686
EMG6_stdev,42.0,112.0,3.3827694785537457,8.25268617185906,0.026848591549295774
EMG7_stdev,36.0,72.0,5.535725334754343,8.004996564552435,0.08023648648648649
Accl0_stdev,79.0,115.0,0.11064344948319886,0.17892039121179565,0.08023648648648649
Accl1_stdev,42.0,103.0,0.07745351659449483,0.13205759207420892,0.035282258064516125
Accl2_stdev,46.0,93.0,0.04204364210103422,0.06558631833671481,0.0546875
Gyr0_stdev,48.0,93.0,5.60173979176679,8.977096001551583,0.05842391304347826
Gyr1_stdev,72.0,114.0,13.083483345590148,19.05300554424843,0.06468023255813954
Gyr2_stdev,43.0,100.0,14.228198165229836,25.69444934542178,0.03987068965517242
Orien0_stdev,39.0,76.0,0.7365687778284868,1.5209892384210022,0.07730263157894737
Orien1_stdev,73.0,113.0,7.486569313662883,12.336917761530863,0.06935975609756098
Orien2_stdev,2.0,32.0,0.3433486126153812,0.7620630378575418,0.10181451612903225
EMG0_energy,12.0,39.0,3091.25,6100.5,0.11607142857142858
EMG1_energy,108.0,119.0,25444.5,42928.5,0.3125
EMG2_energy,19.0,105.0,1333.0,6006.5,0.016163793103448273
EMG3_energy,24.0,91.0,521.5,1187.25,0.029411764705882353
EMG4_energy,8.0,73.0,187.75,2300.75,0.03125
EMG5_energy,35.0,105.0,442.75,2601.75,0.026848591549295774
EMG6_energy,40.0,112.0,584.0,3509.75,0.02525684931506849
EMG7_energy,34.0,72.0,1543.75,3258.25,0.07451923076923077
Accl0_energy,25.0,79.0,24.12527294146825,33.518030089851244,0.04375
Accl1_energy,48.0,115.0,11.255213183257995,18.0735901622775,0.029411764705882353
Accl2_energy,67.0,94.0,8.603636376980752,11.32910296944475,0.11607142857142858
Gyr0_energy,53.0,93.0,1853.90625,4756.53125,0.06935975609756098
Gyr1_energy,78.0,114.0,10853.6767578125,21541.548828125,0.08023648648648649
Gyr2_energy,47.0,101.0,13122.0078125,40298.896484375,0.04375
Orien0_energy,50.0,89.0,643358.75,675921.75,0.071875
Orien1_energy,25.0,79.0,885607.25,1030846.75,0.04375
Orien2_energy,35.0,67.0,185407.5,206405.25,0.09375
