Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,7.0,98.0,-3.593137254901961,0.44117647058823534,0.013586956521739128
EMG1_mean,5.0,106.0,-4.5,0.9558823529411764,0.009191176470588237
EMG2_mean,35.0,111.0,-1.303921568627451,0.21078431372549022,0.02232142857142857
EMG3_mean,37.0,101.0,-1.0441176470588238,-0.3725490196078432,0.03221153846153846
EMG4_mean,53.0,107.0,-0.9019607843137256,-0.1519607843137255,0.04375
EMG5_mean,49.0,123.0,-0.9264705882352942,0.2254901960784314,0.02375
EMG6_mean,41.0,128.0,-1.0588235294117647,0.838235294117647,0.015625
EMG7_mean,12.0,65.0,-2.117647058823529,-0.857843137254902,0.045138888888888895
Accl0_mean,12.0,38.0,-0.8558373578431375,-0.8231177107843138,0.12152777777777779
Accl1_mean,37.0,74.0,0.43217198529411766,0.49764712745098044,0.07730263157894737
Accl2_mean,2.0,12.0,0.2757425490196079,0.31350533823529414,0.34375
Gyr0_mean,63.0,113.0,-2.010110294117647,-0.26746323529411764,0.049632352941176475
Gyr1_mean,66.0,102.0,3.1090686274509802,7.106004901960785,0.08023648648648649
Gyr2_mean,29.0,102.0,-10.611519607843137,-2.938725490196078,0.024493243243243243
Orien0_mean,98.0,123.0,116.47549019607843,119.14705882352942,0.12740384615384615
Orien1_mean,97.0,118.0,143.828431372549,147.63235294117646,0.15625
Orien2_mean,82.0,94.0,66.3529411764706,70.69117647058825,0.2860576923076923
EMG0_min,10.0,83.0,-76.0,-33.0,0.024493243243243243
EMG1_min,0.0,81.0,-125.0,-38.75,0.01905487804878049
EMG2_min,52.0,127.0,-23.0,-8.0,0.023026315789473686
EMG3_min,100.0,125.0,-9.0,-7.0,0.12740384615384615
EMG4_min,76.0,125.0,-16.0,-4.75,0.051250000000000004
EMG5_min,28.0,75.0,-21.0,-11.75,0.0546875
EMG6_min,38.0,107.0,-18.25,-8.0,0.027678571428571427
EMG7_min,70.0,120.0,-20.0,-9.0,0.049632352941176475
Accl0_min,28.0,71.0,-0.9492185,-0.8779295,0.0625
Accl1_min,53.0,92.0,0.324585,0.421997,0.071875
Accl2_min,8.0,39.0,0.16723675,0.256714,0.09765625
Gyr0_min,85.0,122.0,-21.890625,-10.953125,0.07730263157894737
Gyr1_min,31.0,127.0,-16.703125,-1.40625,0.01127577319587629
Gyr2_min,41.0,96.0,-82.09375,-38.1875,0.04241071428571429
Orien0_min,104.0,127.0,115.75,118.0,0.140625
Orien1_min,55.0,131.0,118.0,138.0,0.02232142857142857
Orien2_min,86.0,98.0,66.0,69.0,0.2860576923076923
EMG0_max,37.0,105.0,24.75,47.0,0.028532608695652176
EMG1_max,42.0,104.0,30.0,63.25,0.03422619047619048
EMG2_max,7.0,116.0,8.0,36.25,0.006249999999999999
EMG3_max,4.0,120.0,4.0,17.0,0.004006410256410256
EMG4_max,21.0,58.0,5.0,13.0,0.07730263157894737
EMG5_max,72.0,98.0,12.0,19.0,0.12152777777777779
EMG6_max,49.0,117.0,8.0,21.0,0.028532608695652176
EMG7_max,5.0,98.0,7.0,29.5,0.012632978723404256
Accl0_max,0.0,65.0,-0.7788080000000001,-0.4829100000000001,0.03125
Accl1_max,21.0,79.0,0.60876475,0.8045654999999999,0.03866525423728813
Accl2_max,1.0,38.0,0.36792025,0.5151365,0.07730263157894737
Gyr0_max,37.0,89.0,6.421875,11.5625,0.04658018867924528
Gyr1_max,51.0,96.0,36.1875,58.890625,0.05842391304347826
Gyr2_max,32.0,94.0,5.375,15.046875,0.03422619047619048
Orien0_max,97.0,104.0,119.0,120.0,0.484375
Orien1_max,78.0,116.0,148.0,154.25,0.07451923076923077
Orien2_max,78.0,92.0,67.0,72.0,0.24375000000000002
EMG0_stdev,70.0,100.0,13.968533504732918,18.886637060891722,0.10181451612903225
EMG1_stdev,55.0,112.0,14.117972019275463,23.60034039123289,0.03987068965517242
EMG2_stdev,6.0,69.0,3.574880080541057,7.382002959586226,0.033203125
EMG3_stdev,16.0,57.0,2.7574483454202507,3.9898264579644387,0.06696428571428571
EMG4_stdev,13.0,47.0,1.9547403678468795,4.055739073530797,0.08660714285714285
EMG5_stdev,68.0,107.0,4.716921550820828,7.371450179795061,0.071875
EMG6_stdev,64.0,91.0,4.320011838006253,5.889855532448253,0.11607142857142858
EMG7_stdev,7.0,57.0,3.3817934462573334,6.648617702907437,0.049632352941176475
Accl0_stdev,3.0,84.0,0.01582212940526208,0.12212241971936093,0.01905487804878049
Accl1_stdev,3.0,88.0,0.023025785858832692,0.11783354440579533,0.01671511627906977
Accl2_stdev,8.0,104.0,0.017207644920955927,0.07202360893588511,0.01127577319587629
Gyr0_stdev,4.0,38.0,3.109949574521199,4.971599058314385,0.08660714285714285
Gyr1_stdev,26.0,96.0,8.311897112507085,16.24492060110894,0.026848591549295774
Gyr2_stdev,26.0,85.0,8.990558831265199,23.162921028472606,0.037500000000000006
Orien0_stdev,2.0,27.0,0.27425476762975437,0.6677347937415371,0.12740384615384615
Orien1_stdev,11.0,95.0,1.7262099312012427,9.899400531569515,0.017279411764705883
Orien2_stdev,7.0,44.0,0.48337659996164556,0.9481635948698716,0.07730263157894737
EMG0_energy,70.0,101.0,10012.0,18456.5,0.09765625
EMG1_energy,54.0,112.0,10001.0,28222.75,0.03866525423728813
EMG2_energy,6.0,67.0,692.75,2691.5,0.035282258064516125
EMG3_energy,15.0,56.0,408.0,849.25,0.06696428571428571
EMG4_energy,10.0,47.0,193.0,849.25,0.07730263157894737
EMG5_energy,66.0,107.0,1109.0,2728.25,0.06696428571428571
EMG6_energy,66.0,91.0,972.5,1771.25,0.12740384615384615
EMG7_energy,7.0,55.0,610.75,2273.5,0.05293367346938775
Accl0_energy,91.0,117.0,34.885325728450496,38.107921284622485,0.12152777777777779
Accl1_energy,39.0,71.0,10.202893093304255,12.978823962383501,0.09375
Accl2_energy,2.0,13.0,4.135326624416498,5.211028568341251,0.3125
Gyr0_energy,2.0,37.0,480.0498046875,1438.1123046875,0.08333333333333333
Gyr1_energy,28.0,94.0,3881.5693359375,14883.3984375,0.030317164179104475
Gyr2_energy,25.0,85.0,4470.17578125,30210.759765625,0.03637295081967214
Orien0_energy,98.0,123.0,691918.75,724021.0,0.12740384615384615
Orien1_energy,97.0,118.0,1057570.75,1115620.75,0.15625
Orien2_energy,82.0,94.0,224595.0,254881.75,0.2860576923076923
