Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,22.0,111.0,-2.284313725490196,1.2058823529411764,0.022222222222222227
EMG1_mean,9.0,120.0,-3.784313725490197,1.857843137254902,0.008503401360544215
EMG2_mean,8.0,79.0,-2.0049019607843137,-0.5441176470588236,0.03968253968253968
EMG3_mean,28.0,82.0,-1.1617647058823528,-0.6078431372549019,0.06666666666666667
EMG4_mean,22.0,93.0,-1.5147058823529411,-0.4705882352941176,0.03968253968253968
EMG5_mean,19.0,113.0,-1.4166666666666665,-0.16666666666666669,0.01854636591478696
EMG6_mean,33.0,107.0,-1.1372549019607845,-0.28921568627450983,0.036190476190476197
EMG7_mean,38.0,109.0,-1.196078431372549,0.09803921568627452,0.03968253968253968
Accl0_mean,123.0,130.0,-0.5852050882352942,-0.5202134264705882,0.7380952380952381
Accl1_mean,82.0,121.0,0.5112113137254902,0.6086115098039214,0.10952380952380952
Accl2_mean,126.0,131.0,0.6168667598039215,0.689575181372549,1.0
Gyr0_mean,5.0,109.0,-5.390931372549019,-0.501531862745098,0.012244897959183673
Gyr1_mean,9.0,38.0,-1.7677696078431373,1.5364583333333333,0.16190476190476188
Gyr2_mean,77.0,120.0,-6.253370098039216,-0.22242647058823523,0.09523809523809523
Orien0_mean,7.0,41.0,107.82352941176471,111.59803921568627,0.13197278911564628
Orien1_mean,2.0,8.0,120.45588235294116,124.25980392156862,0.8503401360544217
Orien2_mean,40.0,65.0,61.068627450980394,63.47549019607843,0.19413919413919412
EMG0_min,89.0,121.0,-31.25,-18.75,0.14285714285714285
EMG1_min,4.0,93.0,-110.25,-33.75,0.022222222222222227
EMG2_min,1.0,129.0,-67.75,-8.0,0.0011074197120708768
EMG3_min,56.0,126.0,-12.0,-6.75,0.04091213950368879
EMG4_min,22.0,124.0,-33.5,-5.0,0.013407304669440593
EMG5_min,16.0,121.0,-25.25,-5.0,0.011680143755615454
EMG6_min,43.0,124.0,-17.0,-5.0,0.02903600464576074
EMG7_min,42.0,122.0,-30.0,-9.0,0.029982363315696654
Accl0_min,124.0,131.0,-0.6699215000000001,-0.5646975000000001,0.7380952380952381
Accl1_min,78.0,126.0,0.38879375,0.5338134999999999,0.08066083576287657
Accl2_min,117.0,131.0,0.47033674999999997,0.6146240000000001,0.3714285714285714
Gyr0_min,3.0,123.0,-79.734375,-10.046875,0.0043290043290043325
Gyr1_min,9.0,76.0,-33.8125,-7.3125,0.04481792717086834
Gyr2_min,80.0,125.0,-52.65625,-10.75,0.08902691511387162
Orien0_min,16.0,30.0,107.0,109.0,0.3714285714285714
Orien1_min,20.0,74.0,110.0,122.0,0.06666666666666667
Orien2_min,47.0,62.0,60.0,62.0,0.34523809523809523
EMG0_max,11.0,82.0,17.5,41.0,0.03968253968253968
EMG1_max,34.0,119.0,26.0,76.0,0.025470653377630124
EMG2_max,1.0,22.0,4.0,12.0,0.23809523809523808
EMG3_max,2.0,20.0,3.0,6.25,0.2832080200501253
EMG4_max,1.0,59.0,2.0,13.0,0.058918482647296204
EMG5_max,5.0,97.0,3.0,19.0,0.01996927803379416
EMG6_max,2.0,64.0,3.0,10.0,0.05215419501133787
EMG7_max,2.0,88.0,4.75,26.0,0.024630541871921187
Accl0_max,52.0,109.0,-0.5290525,-0.345581,0.06075533661740558
Accl1_max,6.0,107.0,0.548584,0.88659675,0.014005602240896357
Accl2_max,122.0,129.0,0.687988,0.75927725,0.7380952380952381
Gyr0_max,24.0,89.0,4.703125,11.5625,0.047619047619047616
Gyr1_max,6.0,67.0,5.921875,44.015625,0.05376344086021505
Gyr2_max,0.0,77.0,1.015625,11.328125,0.03296703296703296
Orien0_max,0.0,75.0,108.75,118.0,0.03508771929824561
Orien1_max,1.0,6.0,121.5,126.5,1.0
Orien2_max,41.0,77.0,63.0,67.25,0.12226512226512228
EMG0_stdev,17.0,47.0,8.44034991305621,11.811737939473591,0.1551459293394777
EMG1_stdev,45.0,114.0,12.942240235703578,25.885168132709296,0.042176870748299324
EMG2_stdev,0.0,95.0,2.7764743024253415,9.711248013404862,0.017857142857142856
EMG3_stdev,3.0,38.0,2.3307543307918737,3.6222547912853047,0.12698412698412698
EMG4_stdev,11.0,60.0,1.8563752215360303,5.049654755210573,0.07809523809523809
EMG5_stdev,3.0,84.0,1.5508651620984444,5.461313680087157,0.02903600464576074
EMG6_stdev,5.0,49.0,1.8792318815300648,3.7416725004623776,0.09206349206349207
EMG7_stdev,6.0,40.0,3.1962005425224693,5.960175048317232,0.13197278911564628
Accl0_stdev,4.0,49.0,0.018786021320567135,0.07847646329913938,0.08902691511387162
Accl1_stdev,0.0,78.0,0.010752174213230388,0.1090537120134436,0.03194695599758891
Accl2_stdev,2.0,96.0,0.011827524171173942,0.06799988900777336,0.01854636591478696
Gyr0_stdev,2.0,125.0,2.9349757341924843,16.847363171740657,0.0030721966205837148
Gyr1_stdev,3.0,35.0,4.468587424501132,8.961383296341342,0.14285714285714285
Gyr2_stdev,1.0,40.0,2.706755369281649,13.99781059616088,0.10952380952380952
Orien0_stdev,8.0,120.0,0.3688869492330209,3.3167566546437657,0.008006742520016858
Orien1_stdev,0.0,36.0,0.6558096671711829,4.347928356886015,0.12226512226512228
Orien2_stdev,0.0,111.0,0.10715391492266295,2.040904161328225,0.008503401360544215
EMG0_energy,19.0,48.0,3815.25,7101.5,0.16190476190476188
EMG1_energy,49.0,114.0,9169.25,33658.25,0.047619047619047616
EMG2_energy,0.0,96.0,396.25,4914.75,0.017182130584192434
EMG3_energy,3.0,41.0,296.5,719.75,0.11355311355311354
EMG4_energy,11.0,60.0,197.0,1372.25,0.07809523809523809
EMG5_energy,2.0,84.0,136.0,1590.5,0.028112449799196783
EMG6_energy,4.0,50.0,200.25,764.75,0.08611955420466058
