Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,9.0,105.0,-3.2401960784313726,0.6715686274509803,0.014205698514489811
EMG1_mean,27.0,113.0,-2.1666666666666665,1.441176470588235,0.020363833831115938
EMG2_mean,34.0,98.0,-1.3431372549019607,-0.11274509803921567,0.040581465778316166
EMG3_mean,8.0,62.0,-1.4656862745098038,-0.7647058823529411,0.05511811023622047
EMG4_mean,49.0,110.0,-0.9509803921568627,-0.09803921568627452,0.0444500889001778
EMG5_mean,29.0,105.0,-1.2401960784313726,-0.3333333333333333,0.028121484814398197
EMG6_mean,15.0,115.0,-1.568627450980392,-0.09803921568627452,0.01208388555390972
EMG7_mean,20.0,122.0,-1.9019607843137252,0.926470588235294,0.011084779451112298
Accl0_mean,42.0,89.0,-0.8199200343137254,-0.7468620686274509,0.0688976377952756
Accl1_mean,29.0,90.0,0.4128704999999999,0.5204048529411764,0.0444500889001778
Accl2_mean,55.0,89.0,0.3851414068627452,0.45822804901960773,0.10911136107986502
Gyr0_mean,54.0,115.0,-2.2726715686274517,0.07230392156862746,0.0444500889001778
Gyr1_mean,27.0,72.0,0.06219362745098039,3.6681985294117654,0.07360492981855529
Gyr2_mean,0.0,79.0,-16.795343137254903,-5.5036764705882355,0.025590551181102362
Orien0_mean,25.0,92.0,110.28921568627453,115.49019607843138,0.03705419175544233
Orien1_mean,37.0,89.0,136.2450980392157,142.72549019607843,0.05868370227306492
Orien2_mean,90.0,106.0,69.51470588235294,74.65196078431373,0.26632700324224173
EMG0_min,68.0,107.0,-39.0,-24.0,0.09055118110236221
EMG1_min,51.0,106.0,-51.0,-26.75,0.05343082114735659
EMG2_min,82.0,119.0,-18.0,-10.75,0.09738914214670534
EMG3_min,20.0,129.0,-16.25,-4.75,0.007874015748031496
EMG4_min,65.0,131.0,-18.25,-3.0,0.03819485250910799
EMG5_min,24.0,107.0,-22.25,-7.0,0.02249718785151856
EMG6_min,10.0,97.0,-27.25,-9.0,0.01968503937007874
EMG7_min,58.0,114.0,-23.0,-11.0,0.05180273518441774
Accl0_min,50.0,94.0,-0.91272,-0.842773,0.07611548556430446
Accl1_min,40.0,79.0,0.286377,0.390381,0.09055118110236221
Accl2_min,50.0,106.0,0.29028299999999996,0.41955575000000006,0.05180273518441774
Gyr0_min,50.0,114.0,-32.734375,-12.8125,0.040581465778316166
Gyr1_min,41.0,108.0,-12.921875,-4.171875,0.03705419175544233
Gyr2_min,17.0,81.0,-106.9215,-51.390625,0.040581465778316166
Orien0_min,23.0,96.0,108.0,114.0,0.030857629282826135
Orien1_min,18.0,116.0,109.0,132.25,0.013123359580052495
Orien2_min,91.0,111.0,67.0,74.25,0.20809898762654666
EMG0_max,9.0,72.0,15.75,36.0,0.041830708661417325
EMG1_max,36.0,83.0,27.75,47.0,0.0688976377952756
EMG2_max,18.0,112.0,11.0,33.25,0.015333609614587653
EMG3_max,5.0,80.0,4.75,11.0,0.029009531703273934
EMG4_max,5.0,64.0,2.75,14.25,0.047244094488188976
EMG5_max,4.0,77.0,2.75,13.0,0.030857629282826135
EMG6_max,9.0,121.0,4.0,22.5,0.0066197477527698435
EMG7_max,11.0,60.0,7.75,18.0,0.06456692913385827
Accl0_max,24.0,113.0,-0.641113,-0.32385225,0.018372703412073487
Accl1_max,42.0,118.0,0.69763175,0.9251705,0.028121484814398197
Accl2_max,26.0,69.0,0.49938974999999997,0.56506325,0.07874015748031496
Gyr0_max,12.0,113.0,3.296875,19.28125,0.011579434923575731
