Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,11.0,121.0,-2.882352941176471,1.6764705882352942,0.005912162162162164
EMG1_mean,58.0,129.0,-1.0049019607843137,4.259803921568628,0.026041666666666664
EMG2_mean,14.0,98.0,-1.8235294117647056,-0.1176470588235294,0.017279411764705883
EMG3_mean,0.0,114.0,-2.25,-0.0196078431372549,0.0046195652173913054
EMG4_mean,0.0,131.0,-4.818627450980393,3.980392156862745,0.0
EMG5_mean,91.0,131.0,-0.5098039215686274,3.098039215686275,0.06935975609756098
EMG6_mean,5.0,129.0,-2.068627450980392,1.1323529411764706,0.0017500000000000016
EMG7_mean,13.0,129.0,-2.117647058823529,3.1568627450980395,0.004006410256410256
Accl0_mean,39.0,95.0,-0.8229836813725492,-0.7323620490196079,0.04111842105263158
Accl1_mean,40.0,87.0,0.4374521029411765,0.5193038676470589,0.0546875
Accl2_mean,67.0,103.0,0.40531415196078435,0.4858063431372548,0.08023648648648649
Gyr0_mean,8.0,76.0,-4.6920955882352935,-1.4494485294117647,0.028532608695652176
Gyr1_mean,14.0,75.0,-1.3186274509803924,3.8106617647058822,0.035282258064516125
Gyr2_mean,83.0,131.0,-5.241727941176471,4.636335784313726,0.05293367346938775
Orien0_mean,55.0,85.0,112.66666666666664,114.85294117647058,0.10181451612903225
Orien1_mean,35.0,94.0,135.3578431372549,143.32843137254903,0.037500000000000006
Orien2_mean,26.0,38.0,58.803921568627445,60.84803921568628,0.2860576923076923
EMG0_min,26.0,53.0,-62.0,-45.0,0.11607142857142858
EMG1_min,68.0,109.0,-44.0,-25.0,0.06696428571428571
EMG2_min,7.0,100.0,-44.0,-15.0,0.012632978723404256
EMG3_min,0.0,96.0,-36.75,-9.0,0.01127577319587629
EMG4_min,8.0,49.0,-49.5,-22.0,0.06696428571428571
EMG5_min,1.0,21.0,-64.5,-23.0,0.16517857142857142
EMG6_min,0.0,94.0,-58.75,-9.0,0.01217105263157895
EMG7_min,14.0,60.0,-51.25,-22.0,0.05651595744680851
Accl0_min,0.0,28.0,-1.074095,-0.94482425,0.11099137931034483
Accl1_min,19.0,60.0,0.24206525,0.35131825,0.06696428571428571
Accl2_min,5.0,31.0,0.1520995,0.24084450000000002,0.12152777777777779
Gyr0_min,8.0,49.0,-53.1875,-32.828125,0.06696428571428571
Gyr1_min,6.0,24.0,-50.25,-20.6875,0.18585526315789475
Gyr2_min,28.0,97.0,-92.359375,-37.203125,0.027678571428571427
Orien0_min,60.0,81.0,111.0,113.0,0.15625
Orien1_min,93.0,111.0,126.75,131.25,0.18585526315789475
Orien2_min,25.0,31.0,55.5,57.25,0.5580357142857143
EMG0_max,72.0,95.0,35.75,44.0,0.140625
EMG1_max,47.0,115.0,32.75,72.0,0.028532608695652176
EMG2_max,14.0,125.0,9.0,41.5,0.005580357142857144
EMG3_max,22.0,131.0,6.75,30.0,0.006249999999999999
EMG4_max,88.0,128.0,27.0,73.25,0.06935975609756098
EMG5_max,119.0,130.0,28.75,93.75,0.3125
EMG6_max,80.0,114.0,12.0,21.0,0.08660714285714285
EMG7_max,63.0,127.0,18.0,69.0,0.03221153846153846
Accl0_max,17.0,38.0,-0.6745602500000001,-0.5751955,0.15625
Accl1_max,17.0,60.0,0.60510275,0.76232925,0.0625
Accl2_max,40.0,85.0,0.5161135,0.585938,0.05842391304347826
Gyr0_max,98.0,122.0,13.9375,28.28125,0.13375
Gyr1_max,20.0,118.0,23.4375,71.53125,0.010416666666666664
Gyr2_max,117.0,126.0,27.609375,62.921875,0.38125
Orien0_max,31.0,65.0,115.0,117.0,0.08660714285714285
Orien1_max,87.0,111.0,149.0,153.0,0.13375
Orien2_max,21.0,54.0,59.75,64.25,0.0900735294117647
EMG0_stdev,89.0,117.0,16.824065261324787,21.539814729317676,0.11099137931034483
EMG1_stdev,40.0,103.0,12.189320246756981,21.238233188242724,0.033203125
EMG2_stdev,25.0,126.0,5.281823821051808,13.621193188663014,0.009191176470588237
EMG3_stdev,34.0,131.0,3.3477599962468627,8.853057966944437,0.010841836734693876
EMG4_stdev,102.0,126.0,10.38678124221288,18.146674774487668,0.13375
EMG5_stdev,118.0,130.0,9.879806247963968,24.019408648047623,0.2860576923076923
