Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,131.0,-2.71078431372549,6.813725490196079,0.005047445992327885
EMG1_mean,11.0,131.0,-3.553921568627451,6.877450980392156,0.0035790980672870407
EMG2_mean,1.0,130.0,-2.730392156862745,2.5735294117647065,0.0006056935190793437
EMG3_mean,1.0,116.0,-2.034313725490196,-0.00980392156862745,0.00543035568829758
EMG4_mean,15.0,109.0,-1.7843137254901962,-0.1323529411764706,0.015333609614587653
EMG5_mean,21.0,123.0,-1.3676470588235294,0.14215686274509803,0.011084779451112298
EMG6_mean,2.0,130.0,-2.700980392156863,1.4166666666666667,0.0009155832265152919
EMG7_mean,4.0,118.0,-3.661764705882353,0.5588235294117647,0.005819924683327625
Accl0_mean,3.0,36.0,-0.8943086470588234,-0.8256045392156863,0.11347846225104213
Accl1_mean,3.0,24.0,0.3294821421568627,0.4019799656862745,0.1968503937007874
Accl2_mean,21.0,46.0,0.3288693382352941,0.37454045588235296,0.16050878255602663
Gyr0_mean,26.0,62.0,-3.394301470588235,-2.0180759803921573,0.10108533730580975
Gyr1_mean,101.0,126.0,7.0036764705882355,9.676164215686274,0.16050878255602663
Gyr2_mean,3.0,45.0,-15.652580882352943,-9.506127450980392,0.08148690715986083
Orien0_mean,43.0,56.0,111.61764705882352,112.76960784313727,0.3318335208098988
Orien1_mean,108.0,130.0,146.04411764705884,152.71078431372553,0.18657993837726805
Orien2_mean,36.0,53.0,60.544117647058826,62.31372549019608,0.24934383202099736
EMG0_min,6.0,106.0,-83.5,-24.0,0.01208388555390972
EMG1_min,16.0,79.0,-77.25,-40.0,0.041830708661417325
EMG2_min,11.0,109.0,-40.0,-13.0,0.013123359580052495
EMG3_min,6.0,112.0,-23.5,-8.0,0.00919861652807418
EMG4_min,43.0,119.0,-23.25,-5.0,0.028121484814398197
EMG5_min,42.0,127.0,-18.0,-4.75,0.02105841420985168
EMG6_min,9.0,39.0,-28.5,-18.0,0.12827025654051308
EMG7_min,35.0,80.0,-33.0,-18.0,0.07360492981855529
Accl0_min,13.0,33.0,-0.9788815,-0.93688975,0.20809898762654666
Accl1_min,7.0,45.0,0.20324674999999998,0.297363,0.09388249545729861
Accl2_min,30.0,59.0,0.23876975,0.3050535,0.13385826771653545
Gyr0_min,53.0,104.0,-32.53125,-16.171875,0.06056935190793458
Gyr1_min,95.0,129.0,-5.984375,-1.140625,0.10911136107986502
Gyr2_min,12.0,83.0,-114.2815,-49.375,0.032808398950131226
