Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,17.0,120.0,-2.480392156862745,1.6519607843137254,0.008413461538461536
EMG1_mean,48.0,126.0,-1.357843137254902,3.0294117647058822,0.020965189873417722
EMG2_mean,39.0,125.0,-1.1813725490196079,0.6764705882352942,0.016163793103448273
EMG3_mean,12.0,118.0,-1.3970588235294117,0.0392156862745098,0.007301401869158876
EMG4_mean,4.0,130.0,-3.049019607843137,3.901960784313726,0.001230314960629919
EMG5_mean,15.0,129.0,-1.5392156862745097,1.4803921568627452,0.0046195652173913054
EMG6_mean,82.0,111.0,-0.5882352941176471,-0.1715686274509804,0.10625000000000001
EMG7_mean,21.0,105.0,-1.887254901960784,-0.05392156862745098,0.017279411764705883
Accl0_mean,19.0,62.0,-0.8478621274509807,-0.7860634215686274,0.0625
Accl1_mean,42.0,101.0,0.4451904705882353,0.5449146813725491,0.037500000000000006
Accl2_mean,10.0,28.0,0.3061116519607843,0.34251008333333344,0.18585526315789475
Gyr0_mean,40.0,106.0,-2.640012254901961,-0.6430759803921569,0.030317164179104475
Gyr1_mean,38.0,120.0,1.3792892156862746,8.760416666666668,0.018448795180722892
Gyr2_mean,58.0,96.0,-8.388786764705882,-3.369791666666667,0.07451923076923077
Orien0_mean,104.0,118.0,117.24019607843135,118.6470588235294,0.24375000000000002
Orien1_mean,64.0,114.0,140.41176470588232,146.8823529411765,0.049632352941176475
Orien2_mean,95.0,104.0,70.89705882352942,73.50980392156863,0.38125
EMG0_min,14.0,79.0,-69.25,-35.0,0.03125
EMG1_min,12.0,116.0,-86.25,-22.0,0.008035714285714285
EMG2_min,22.0,67.0,-33.25,-20.0,0.05842391304347826
EMG3_min,46.0,94.0,-13.0,-9.0,0.05293367346938775
EMG4_min,4.0,97.0,-56.5,-9.0,0.012632978723404256
EMG5_min,22.0,69.0,-23.0,-12.0,0.0546875
EMG6_min,38.0,79.0,-19.25,-11.0,0.06696428571428571
EMG7_min,23.0,91.0,-38.0,-16.0,0.028532608695652176
Accl0_min,45.0,94.0,-0.91723625,-0.842529,0.051250000000000004
Accl1_min,70.0,113.0,0.36938475,0.47155725000000004,0.0625
Accl2_min,23.0,50.0,0.22705100000000006,0.29187050000000003,0.11607142857142858
Gyr0_min,69.0,117.0,-25.71875,-12.21875,0.05293367346938775
Gyr1_min,63.0,111.0,-9.59375,-3.921875,0.05293367346938775
Gyr2_min,92.0,108.0,-42.15625,-26.53125,0.2113970588235294
Orien0_min,115.0,122.0,117.0,118.0,0.484375
Orien1_min,68.0,126.0,119.75,136.0,0.03866525423728813
Orien2_min,98.0,105.0,69.0,71.25,0.484375
EMG0_max,20.0,112.0,20.0,54.25,0.013104838709677422
EMG1_max,35.0,130.0,26.75,110.25,0.01171875
EMG2_max,70.0,117.0,22.0,37.0,0.0546875
EMG3_max,26.0,122.0,7.0,19.25,0.01127577319587629
EMG4_max,57.0,131.0,12.0,121.75,0.02375
EMG5_max,43.0,126.0,8.0,47.5,0.017857142857142856
EMG6_max,53.0,92.0,9.0,14.0,0.071875
EMG7_max,39.0,64.0,13.75,19.0,0.12740384615384615
Accl0_max,2.0,60.0,-0.7551267500000001,-0.496948,0.03866525423728813
Accl1_max,25.0,54.0,0.6199950000000001,0.73803725,0.10625000000000001
Accl2_max,0.0,55.0,0.34155325,0.54528825,0.04241071428571429
Gyr0_max,32.0,106.0,6.046875,16.09375,0.02375
Gyr1_max,28.0,83.0,28.0625,52.203125,0.04241071428571429
Gyr2_max,31.0,57.0,5.296875,8.15625,0.12152777777777779
Orien0_max,91.0,111.0,119.0,121.0,0.16517857142857142
Orien1_max,45.0,108.0,144.0,153.0,0.033203125
Orien2_max,94.0,101.0,72.0,76.25,0.484375
EMG0_stdev,30.0,98.0,9.845292053582774,18.487993681487556,0.028532608695652176
EMG1_stdev,17.0,116.0,8.070417776925847,26.542102836742593,0.010000000000000002
EMG2_stdev,100.0,115.0,9.94994607534367,11.727618999404944,0.2265625
EMG3_stdev,36.0,116.0,3.47276938937801,5.7219710455040955,0.019675925925925923
EMG4_stdev,70.0,131.0,6.251161823532068,24.836530417486184,0.035282258064516125
EMG5_stdev,60.0,116.0,4.27521828393137,9.711706243702727,0.04111842105263158
EMG6_stdev,66.0,79.0,4.380771461656299,5.043633935107124,0.26339285714285715
EMG7_stdev,50.0,87.0,6.332156913944545,9.338732422720842,0.07730263157894737
Accl0_stdev,6.0,82.0,0.020920994929921558,0.11760742879990778,0.02232142857142857
Accl1_stdev,15.0,72.0,0.031439323753104674,0.10630751920378417,0.03987068965517242
Accl2_stdev,0.0,111.0,0.01124588374519843,0.08036780951785923,0.005580357142857144
Gyr0_stdev,3.0,61.0,3.0455159122054782,6.276428541665246,0.03866525423728813
Gyr1_stdev,9.0,97.0,5.79022757676955,16.283980757246418,0.015098314606741575
Gyr2_stdev,23.0,39.0,8.277099512487762,13.157362135350574,0.2113970588235294
Orien0_stdev,10.0,66.0,0.4578111211865639,1.2656063819644312,0.04111842105263158
Orien1_stdev,15.0,91.0,2.141193123336582,9.640606360027618,0.02232142857142857
Orien2_stdev,22.0,89.0,0.6569966228233833,1.6041001072468326,0.029411764705882353
EMG0_energy,29.0,98.0,4857.25,17347.5,0.027678571428571427
EMG1_energy,16.0,116.0,3259.5,35468.75,0.009591584158415843
EMG2_energy,100.0,115.0,4992.0,6898.25,0.2265625
EMG3_energy,38.0,116.0,697.75,1661.75,0.020965189873417722
EMG4_energy,70.0,131.0,1967.5,31574.75,0.035282258064516125
EMG5_energy,59.0,116.0,921.25,4834.0,0.03987068965517242
EMG6_energy,65.0,77.0,969.5,1278.5,0.2860576923076923
EMG7_energy,51.0,88.0,2094.0,4542.5,0.07730263157894737
Accl0_energy,59.0,111.0,31.72763558754826,37.255353216372995,0.04658018867924528
Accl1_energy,44.0,98.0,10.724035941235002,15.317765731266,0.04375
Accl2_energy,11.0,26.0,5.03431871946775,6.0452578894925,0.2265625
Gyr0_energy,4.0,62.0,526.25390625,2331.095703125,0.03866525423728813
Gyr1_energy,9.0,102.0,1781.107421875,17199.794921875,0.012632978723404256
Gyr2_energy,23.0,42.0,3996.4736328125,12032.32421875,0.175
Orien0_energy,104.0,118.0,701185.25,718023.0,0.24375000000000002
Orien1_energy,63.0,115.0,1007131.0,1105099.25,0.04658018867924528
Orien2_energy,95.0,104.0,256369.25,275714.0,0.38125
