Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,29.0,126.0,-2.0735294117647056,2.931372549019608,0.010841836734693876
EMG1_mean,39.0,101.0,-1.7745098039215685,0.49999999999999994,0.03422619047619048
EMG2_mean,43.0,119.0,-1.0980392156862746,0.553921568627451,0.02232142857142857
EMG3_mean,18.0,126.0,-1.2401960784313726,0.43627450980392163,0.0065940366972477085
EMG4_mean,8.0,55.0,-2.3970588235294117,-0.8774509803921569,0.0546875
EMG5_mean,7.0,108.0,-2.0147058823529407,-0.26960784313725494,0.009191176470588237
EMG6_mean,5.0,116.0,-2.1372549019607843,-0.09803921568627452,0.005580357142857144
EMG7_mean,8.0,126.0,-2.446078431372549,1.7990196078431373,0.003413865546218489
Accl0_mean,44.0,83.0,-0.8127848578431371,-0.7553879117647057,0.071875
Accl1_mean,59.0,105.0,0.47426230392156865,0.5586990588235294,0.05651595744680851
Accl2_mean,49.0,68.0,0.3768525441176471,0.4089283921568627,0.175
Gyr0_mean,10.0,70.0,-4.46109068627451,-1.641237745098039,0.03637295081967214
Gyr1_mean,93.0,103.0,5.783088235294118,7.178921568627451,0.34375
Gyr2_mean,33.0,89.0,-10.361519607843137,-4.529411764705882,0.04111842105263158
Orien0_mean,79.0,105.0,114.24509803921572,117.44117647058822,0.12152777777777779
Orien1_mean,47.0,87.0,137.59313725490196,142.59803921568624,0.06935975609756098
Orien2_mean,97.0,107.0,71.5,75.61764705882354,0.34375
EMG0_min,13.0,122.0,-71.0,-18.0,0.006249999999999999
EMG1_min,63.0,105.0,-45.0,-27.75,0.06468023255813954
EMG2_min,17.0,88.0,-35.0,-17.0,0.026041666666666664
EMG3_min,9.0,127.0,-20.25,-6.0,0.003413865546218489
EMG4_min,20.0,88.0,-35.0,-11.0,0.028532608695652176
EMG5_min,13.0,106.0,-29.75,-7.0,0.012632978723404256
EMG6_min,43.0,67.0,-17.0,-13.0,0.13375
EMG7_min,34.0,65.0,-34.0,-21.0,0.09765625
Accl0_min,38.0,82.0,-0.9332275,-0.8679199999999999,0.06041666666666666
Accl1_min,66.0,92.0,0.364502,0.42260725,0.12152777777777779
Accl2_min,62.0,79.0,0.307983,0.36157225,0.19791666666666666
Gyr0_min,16.0,61.0,-46.078125,-30.125,0.05842391304347826
Gyr1_min,50.0,97.0,-11.578125,-5.671875,0.0546875
Gyr2_min,51.0,110.0,-77.578125,-23.109375,0.037500000000000006
Orien0_min,83.0,113.0,113.0,117.0,0.10181451612903225
Orien1_min,37.0,82.0,113.75,123.25,0.05842391304347826
Orien2_min,93.0,109.0,68.5,72.25,0.2113970588235294
EMG0_max,12.0,68.0,18.0,34.0,0.04111842105263158
EMG1_max,21.0,91.0,23.0,51.5,0.026848591549295774
EMG2_max,54.0,120.0,17.75,38.0,0.030317164179104475
