Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,50.0,88.0,-1.2794117647058822,-0.03431372549019608,0.07451923076923077
EMG1_mean,20.0,110.0,-2.4901960784313726,1.2647058823529411,0.014079670329670328
EMG2_mean,24.0,126.0,-1.6176470588235292,0.9411764705882354,0.008798543689320391
EMG3_mean,19.0,97.0,-1.2352941176470589,-0.4068627450980392,0.020965189873417722
EMG4_mean,19.0,75.0,-1.6372549019607843,-0.7009803921568628,0.04111842105263158
EMG5_mean,22.0,77.0,-1.338235294117647,-0.6078431372549019,0.04241071428571429
EMG6_mean,42.0,97.0,-1.0588235294117647,-0.4313725490196079,0.04241071428571429
EMG7_mean,33.0,107.0,-1.4362745098039218,0.0392156862745098,0.02375
Accl0_mean,11.0,31.0,-0.8570532794117646,-0.8303893137254901,0.16517857142857142
Accl1_mean,0.0,8.0,0.25896613235294125,0.33914719803921567,0.4270833333333333
Accl2_mean,83.0,106.0,0.4436179313725489,0.48778099999999996,0.140625
Gyr0_mean,9.0,28.0,-4.565563725490195,-3.1311274509803924,0.175
Gyr1_mean,68.0,117.0,3.272671568627451,8.418198529411764,0.051250000000000004
Gyr2_mean,51.0,92.0,-9.070159313725489,-3.9901960784313726,0.06696428571428571
Orien0_mean,0.0,6.0,103.20588235294117,107.58823529411765,0.5580357142857143
Orien1_mean,99.0,113.0,144.2156862745098,146.73039215686273,0.24375000000000002
Orien2_mean,49.0,80.0,62.04901960784314,66.19117647058823,0.09765625
EMG0_min,116.0,128.0,-21.0,-11.75,0.2860576923076923
EMG1_min,75.0,128.0,-41.25,-11.75,0.045138888888888895
EMG2_min,42.0,109.0,-24.0,-13.0,0.029411764705882353
EMG3_min,19.0,131.0,-17.0,-4.0,0.005254424778761063
EMG4_min,72.0,126.0,-17.0,-4.0,0.04375
EMG5_min,104.0,131.0,-8.0,-3.25,0.11607142857142858
EMG6_min,111.0,130.0,-7.0,-4.0,0.175
EMG7_min,123.0,131.0,-9.0,-5.25,0.4270833333333333
Accl0_min,2.0,64.0,-1.0656775,-0.88977075,0.03422619047619048
Accl1_min,3.0,27.0,0.19030775,0.26586925,0.13375
Accl2_min,76.0,114.0,0.34436075,0.44433575000000003,0.07451923076923077
Gyr0_min,8.0,71.0,-53.90625,-25.03125,0.033203125
Gyr1_min,51.0,121.0,-11.46875,-2.4375,0.026848591549295774
Gyr2_min,40.0,105.0,-82.8125,-28.828125,0.03125
Orien0_min,0.0,6.0,100.5,105.25,0.5580357142857143
Orien1_min,59.0,112.0,118.75,132.0,0.045138888888888895
Orien2_min,43.0,80.0,59.0,65.0,0.07730263157894737
EMG0_max,4.0,23.0,11.0,21.0,0.175
EMG1_max,10.0,43.0,13.0,31.0,0.0900735294117647
EMG2_max,27.0,49.0,13.0,16.25,0.1480978260869565
EMG3_max,2.0,28.0,3.0,7.0,0.12152777777777779
EMG4_max,4.0,71.0,2.0,16.25,0.029411764705882353
EMG5_max,0.0,5.0,2.0,3.0,0.65625
EMG6_max,0.0,22.0,1.75,5.0,0.1480978260869565
EMG7_max,0.0,17.0,2.75,9.25,0.19791666666666666
Accl0_max,11.0,88.0,-0.6860355,-0.4193115,0.021634615384615384
Accl1_max,7.0,48.0,0.5543210000000001,0.72448775,0.06696428571428571
Accl2_max,59.0,124.0,0.55065925,0.6942135,0.03125
Gyr0_max,11.0,87.0,3.234375,11.515625,0.02232142857142857
Gyr1_max,47.0,118.0,34.8125,69.46875,0.026041666666666664
Gyr2_max,22.0,88.0,4.671875,13.046875,0.030317164179104475
Orien0_max,1.0,18.0,109.75,113.0,0.19791666666666666
Orien1_max,79.0,91.0,148.0,150.0,0.2860576923076923
Orien2_max,55.0,88.0,64.75,70.25,0.0900735294117647
EMG0_stdev,1.0,16.0,4.396926652529861,8.383147005370446,0.2265625
EMG1_stdev,9.0,41.0,5.909320771443298,12.511140386296235,0.09375
EMG2_stdev,32.0,58.0,5.519371496053899,6.931214966340143,0.12152777777777779
EMG3_stdev,0.0,20.0,1.913326923561215,2.9676683563449373,0.16517857142857142
EMG4_stdev,0.0,43.0,1.1738918068937538,3.7444967892757264,0.0625
EMG5_stdev,0.0,9.0,1.0833238169990267,1.9836207000769253,0.38125
EMG6_stdev,0.0,9.0,1.5210421846145774,2.011582611697841,0.38125
EMG7_stdev,0.0,12.0,1.423534654100425,3.931092194341885,0.2860576923076923
Accl0_stdev,34.0,76.0,0.05896485373721805,0.10798459858221418,0.06468023255813954
Accl1_stdev,35.0,65.0,0.06966209695865302,0.09729136709437386,0.10181451612903225
Accl2_stdev,30.0,87.0,0.030362609747946117,0.06140912942701694,0.03987068965517242
Gyr0_stdev,74.0,117.0,7.0527732830047825,12.115634577684425,0.0625
Gyr1_stdev,42.0,113.0,9.451998408172127,18.757244550697536,0.026041666666666664
Gyr2_stdev,28.0,87.0,9.66929014268729,23.540800632206235,0.037500000000000006
Orien0_stdev,79.0,100.0,1.5440570922330532,2.1308655698015238,0.15625
Orien1_stdev,42.0,78.0,4.866243724275918,7.820114055506707,0.08023648648648649
Orien2_stdev,29.0,87.0,0.7329714449927278,1.5805796287655318,0.03866525423728813
EMG0_energy,1.0,14.0,1043.5,3500.25,0.26339285714285715
EMG1_energy,9.0,41.0,1800.25,7890.0,0.09375
EMG2_energy,34.0,62.0,1645.5,2529.0,0.11099137931034483
EMG3_energy,0.0,20.0,202.0,473.5,0.16517857142857142
EMG4_energy,0.0,46.0,118.25,830.5,0.05651595744680851
EMG5_energy,0.0,17.0,71.25,293.5,0.19791666666666666
EMG6_energy,0.0,10.0,118.0,251.5,0.34375
EMG7_energy,0.0,12.0,91.25,775.75,0.2860576923076923
Accl0_energy,100.0,116.0,35.7733407645575,37.95018815927624,0.2113970588235294
Accl1_energy,0.0,5.0,3.5526046053550013,6.148330726030155,0.65625
Accl2_energy,83.0,105.0,10.169692051312,12.295368074990495,0.1480978260869565
Gyr0_energy,80.0,116.0,2971.3583984375,7979.0634765625,0.08023648648648649
Gyr1_energy,42.0,114.0,5003.3349609375,21151.3330078125,0.02525684931506849
Gyr2_energy,30.0,86.0,5641.4970703125,30503.9326171875,0.04111842105263158
Orien0_energy,0.0,6.0,543239.5,590450.5,0.5580357142857143
Orien1_energy,99.0,112.0,1064185.5,1100446.25,0.26339285714285715
Orien2_energy,49.0,80.0,196421.0,223586.25,0.09765625
