Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,16.0,77.0,-2.553921568627451,-0.4460784313725491,0.035282258064516125
EMG1_mean,36.0,96.0,-1.877450980392157,0.28921568627450983,0.03637295081967214
EMG2_mean,13.0,106.0,-1.8235294117647056,0.14215686274509803,0.012632978723404256
EMG3_mean,5.0,113.0,-1.6176470588235294,-0.10784313725490197,0.0065940366972477085
EMG4_mean,20.0,117.0,-1.5539215686274508,0.661764705882353,0.010841836734693876
EMG5_mean,20.0,115.0,-1.4117647058823528,-0.12745098039215688,0.01171875
EMG6_mean,16.0,100.0,-1.5392156862745097,-0.4068627450980392,0.017279411764705883
EMG7_mean,46.0,100.0,-1.0441176470588238,-0.2352941176470588,0.04375
Accl0_mean,100.0,114.0,-0.7167227058823531,-0.6529278039215685,0.24375000000000002
Accl1_mean,68.0,96.0,0.48999505392156867,0.5375449852941175,0.11099137931034483
Accl2_mean,115.0,122.0,0.545881637254902,0.5801978382352941,0.484375
Gyr0_mean,118.0,122.0,0.2800245098039216,0.6954656862745098,0.79375
Gyr1_mean,9.0,18.0,-1.6118259803921569,-0.6942401960784313,0.38125
Gyr2_mean,117.0,124.0,-0.9469975490196078,0.5606617647058825,0.484375
Orien0_mean,25.0,36.0,110.25490196078431,111.0343137254902,0.3125
Orien1_mean,17.0,28.0,128.60294117647058,133.76470588235293,0.3125
Orien2_mean,27.0,32.0,59.26960784313726,59.90686274509804,0.65625
EMG0_min,105.0,126.0,-25.5,-13.5,0.15625
EMG1_min,96.0,131.0,-33.0,-5.5,0.08333333333333333
EMG2_min,94.0,130.0,-16.0,-6.75,0.08023648648648649
EMG3_min,4.0,37.0,-29.5,-14.0,0.0900735294117647
EMG4_min,13.0,64.0,-44.25,-18.0,0.04807692307692307
EMG5_min,19.0,91.0,-24.25,-9.0,0.02525684931506849
EMG6_min,18.0,49.0,-26.0,-15.75,0.09765625
EMG7_min,52.0,60.0,-24.25,-22.0,0.4270833333333333
Accl0_min,118.0,122.0,-0.7510985,-0.6995847500000001,0.79375
Accl1_min,97.0,119.0,0.42907725,0.48962425000000004,0.1480978260869565
Accl2_min,121.0,128.0,0.49279799999999996,0.5400389999999999,0.484375
Gyr0_min,122.0,130.0,-10.609375,-3.09375,0.4270833333333333
Gyr1_min,18.0,54.0,-23.265625,-10.59375,0.08023648648648649
Gyr2_min,127.0,131.0,-10.5,-6.390625,0.79375
Orien0_min,38.0,41.0,110.0,110.0,1.0
Orien1_min,95.0,117.0,127.0,133.0,0.1480978260869565
Orien2_min,38.0,43.0,59.0,59.25,0.65625
EMG0_max,2.0,15.0,10.75,20.0,0.26339285714285715
EMG1_max,0.0,44.0,5.5,31.25,0.06041666666666666
EMG2_max,8.0,26.0,8.0,13.0,0.18585526315789475
EMG3_max,43.0,100.0,8.75,14.0,0.03987068965517242
EMG4_max,87.0,102.0,25.75,35.25,0.2265625
EMG5_max,86.0,120.0,15.0,30.25,0.08660714285714285
EMG6_max,67.0,109.0,10.75,19.0,0.06468023255813954
EMG7_max,53.0,114.0,15.75,43.5,0.035282258064516125
Accl0_max,9.0,35.0,-0.69580075,-0.5833742499999999,0.12152777777777779
Accl1_max,2.0,35.0,0.5285647499999999,0.6641849999999999,0.0900735294117647
