Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,32.0,92.0,-1.897058823529412,0.05882352941176471,0.03637295081967214
EMG1_mean,14.0,109.0,-2.931372549019607,1.2401960784313726,0.01171875
EMG2_mean,6.0,117.0,-2.1225490196078427,0.5098039215686274,0.005580357142857144
EMG3_mean,2.0,120.0,-1.818627450980392,0.1176470588235294,0.003413865546218489
EMG4_mean,25.0,76.0,-1.4117647058823528,-0.6764705882352942,0.04807692307692307
EMG5_mean,12.0,89.0,-1.568627450980392,-0.5245098039215687,0.021634615384615384
EMG6_mean,27.0,94.0,-1.2941176470588236,-0.5098039215686274,0.029411764705882353
EMG7_mean,24.0,90.0,-1.7843137254901962,-0.35294117647058826,0.030317164179104475
Accl0_mean,49.0,85.0,-0.8063054803921568,-0.7537027598039215,0.08023648648648649
Accl1_mean,46.0,71.0,0.4548292205882353,0.49411907843137254,0.12740384615384615
Accl2_mean,72.0,107.0,0.4234643137254902,0.49308745098039214,0.08333333333333333
Gyr0_mean,85.0,108.0,-1.1798406862745099,-0.5851715686274509,0.140625
Gyr1_mean,46.0,81.0,2.1326593137254903,4.090686274509804,0.08333333333333333
Gyr2_mean,104.0,113.0,-2.6455269607843137,-1.7481617647058822,0.38125
Orien0_mean,35.0,70.0,110.88235294117646,113.62745098039215,0.08333333333333333
Orien1_mean,43.0,76.0,137.07843137254903,141.4019607843137,0.0900735294117647
Orien2_mean,10.0,13.0,43.877450980392155,47.475490196078425,1.0
EMG0_min,12.0,120.0,-74.25,-19.75,0.0065940366972477085
EMG1_min,2.0,49.0,-117.0,-51.0,0.0546875
EMG2_min,0.0,85.0,-70.75,-17.0,0.01671511627906977
EMG3_min,5.0,113.0,-26.0,-7.75,0.0065940366972477085
EMG4_min,32.0,56.0,-31.0,-21.0,0.13375
EMG5_min,49.0,108.0,-16.0,-7.0,0.037500000000000006
EMG6_min,21.0,104.0,-25.25,-8.0,0.017857142857142856
EMG7_min,4.0,109.0,-75.25,-11.75,0.00766509433962264
Accl0_min,76.0,104.0,-0.8734132499999999,-0.81958025,0.11099137931034483
Accl1_min,80.0,107.0,0.390869,0.45520025,0.11607142857142858
Accl2_min,70.0,110.0,0.3328855,0.430664,0.06935975609756098
Gyr0_min,93.0,106.0,-19.8125,-15.84375,0.26339285714285715
Gyr1_min,23.0,98.0,-20.890625,-5.578125,0.023026315789473686
Gyr2_min,105.0,120.0,-31.1875,-15.109375,0.2265625
