Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,114.0,-2.372549019607843,1.2549019607843137,0.015625
EMG1_mean,7.0,83.0,-4.235294117647059,-0.11274509803921567,0.02840909090909091
EMG2_mean,5.0,96.0,-2.156862745098039,-0.1519607843137255,0.017408288043478264
EMG3_mean,25.0,119.0,-1.2009803921568627,0.10294117647058824,0.015625
EMG4_mean,2.0,123.0,-3.588235294117647,1.7303921568627452,0.003522028688524588
EMG5_mean,50.0,125.0,-0.9264705882352942,0.2647058823529412,0.029296875
EMG6_mean,38.0,111.0,-1.0980392156862746,-0.1911764705882353,0.03114442567567567
EMG7_mean,41.0,122.0,-1.107843137254902,0.7598039215686274,0.02429496951219512
Accl0_mean,58.0,102.0,-0.7928753921568628,-0.7103989656862744,0.0763888888888889
Accl1_mean,99.0,124.0,0.5396920294117648,0.6206509019607844,0.16075721153846154
Accl2_mean,5.0,32.0,0.29023053921568626,0.35499245098039217,0.146484375
Gyr0_mean,51.0,94.0,-2.3799019607843137,-1.003063725490196,0.07901278409090909
Gyr1_mean,34.0,54.0,0.9512867647058824,2.5661764705882355,0.20833333333333334
Gyr2_mean,7.0,50.0,-14.271132352941176,-9.222732843137255,0.07901278409090909
Orien0_mean,103.0,131.0,116.93137254901961,120.37254901960783,0.1400862068965517
Orien1_mean,31.0,74.0,133.7794117647059,141.22058823529414,0.07901278409090909
Orien2_mean,124.0,128.0,147.71078431372547,162.47549019607843,1.0
EMG0_min,25.0,78.0,-63.0,-35.0,0.05714699074074074
EMG1_min,7.0,28.0,-104.5,-65.0,0.19708806818181818
EMG2_min,10.0,108.0,-40.5,-13.0,0.01341540404040404
EMG3_min,21.0,75.0,-16.0,-10.0,0.05539772727272728
EMG4_min,26.0,59.0,-33.0,-20.75,0.11374080882352941
EMG5_min,54.0,104.0,-15.0,-8.0,0.0628063725490196
EMG6_min,83.0,121.0,-10.25,-6.0,0.09415064102564102
EMG7_min,86.0,124.0,-17.0,-9.0,0.09415064102564102
Accl0_min,47.0,100.0,-0.9147945000000001,-0.8353269999999999,0.05714699074074074
Accl1_min,58.0,119.0,0.342163,0.48852525,0.04473286290322581
Accl2_min,19.0,61.0,0.21081550000000004,0.30773900000000004,0.08175872093023256
