Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,13.0,129.0,-2.0294117647058822,6.436274509803921,0.003768759674271486
EMG1_mean,39.0,128.0,-1.6764705882352942,4.6617647058823515,0.014348206474190724
EMG2_mean,97.0,129.0,-0.29901960784313725,9.784313725490195,0.09353376282510141
EMG3_mean,40.0,123.0,-1.2745098039215683,1.5539215686274508,0.017622797150356206
EMG4_mean,47.0,125.0,-1.4117647058823528,1.5392156862745097,0.020731585766969002
EMG5_mean,69.0,95.0,-0.5784313725490196,0.14705882352941177,0.12131816856226306
EMG6_mean,21.0,128.0,-2.8382352941176467,5.700980392156862,0.006707494896471276
EMG7_mean,3.0,129.0,-4.553921568627452,12.313725490196077,0.0009920019840039662
Accl0_mean,25.0,62.0,0.6750392990196079,0.715671931372549,0.07708246995441359
Accl1_mean,48.0,81.0,-0.40443330392156857,-0.3647149509803922,0.08985641500694766
Accl2_mean,106.0,116.0,0.6146311764705883,0.6527004019607843,0.34359341445955616
Gyr0_mean,46.0,105.0,0.42769607843137253,1.3866421568627452,0.037270341207349074
Gyr1_mean,11.0,116.0,-3.990196078431372,-0.1838235294117647,0.007428316743425941
Gyr2_mean,10.0,88.0,-2.1495098039215685,0.023897058823529414,0.020731585766969002
Orien0_mean,71.0,88.0,72.84803921568626,73.9656862745098,0.19772528433945757
Orien1_mean,69.0,110.0,44.3578431372549,48.08823529411765,0.0667416572928384
Orien2_mean,5.0,11.0,95.63725490196079,99.94607843137254,0.5579302587176603
EMG0_min,2.0,27.0,-58.5,-30.75,0.12719563900666261
EMG1_min,7.0,19.0,-66.5,-47.75,0.2858873410054512
EMG2_min,10.0,59.0,-57.25,-25.0,0.051023622047244095
EMG3_min,1.0,8.0,-73.25,-51.75,0.484251968503937
EMG4_min,1.0,5.0,-67.25,-61.5,0.7937007874015748
EMG5_min,4.0,73.0,-94.75,-35.75,0.027446569178852645
EMG6_min,3.0,32.0,-91.0,-48.75,0.10603674540682413
EMG7_min,3.0,15.0,-112.0,-53.75,0.2858873410054512
Accl0_min,13.0,56.0,0.5159915,0.6134032500000001,0.06227630637079455
Accl1_min,17.0,70.0,-0.5894777499999999,-0.490234,0.04491105278506854
Accl2_min,107.0,122.0,0.5426027499999999,0.5877685,0.2263779527559055
Gyr0_min,35.0,122.0,-11.15625,-2.671875,0.015390121689334284
Gyr1_min,22.0,97.0,-41.765625,-20.953125,0.022793203481143803
Gyr2_min,12.0,38.0,-40.609375,-26.328125,0.12131816856226306
Orien0_min,72.0,78.0,72.0,73.0,0.5579302587176603
Orien1_min,89.0,117.0,43.0,47.0,0.11077925604127072
Orien2_min,5.0,11.0,94.25,99.0,0.5579302587176603
