Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,5.0,35.0,-2.7941176470588234,-1.3725490196078431,0.1016002032004064
EMG1_mean,23.0,83.0,-2.034313725490196,-0.5245098039215687,0.03614302310571834
EMG2_mean,27.0,39.0,-1.6127450980392155,-1.4068627450980393,0.2858873410054512
EMG3_mean,9.0,108.0,-2.1078431372549016,0.28921568627450983,0.009763779527559057
EMG4_mean,21.0,117.0,-2.313725490196078,0.7892156862745098,0.011039857131260657
EMG5_mean,41.0,83.0,-1.8480392156862746,-0.0784313725490196,0.06445705914667643
EMG6_mean,54.0,78.0,-1.392156862745098,-0.48039215686274506,0.1335433070866142
EMG7_mean,38.0,68.0,-1.426470588235294,-0.7990196078431372,0.1016002032004064
Accl0_mean,42.0,63.0,0.6888093137254903,0.721203362745098,0.1560486757337151
Accl1_mean,26.0,33.0,-0.4551595196078432,-0.4334070147058824,0.484251968503937
Accl2_mean,39.0,81.0,0.5512838823529411,0.5799919460784313,0.06445705914667643
Gyr0_mean,88.0,116.0,0.9819240196078431,1.7340686274509804,0.11077925604127072
Gyr1_mean,16.0,85.0,-3.451593137254902,-1.1375612745098038,0.027446569178852645
Gyr2_mean,37.0,98.0,-0.8146446078431373,0.10294117647058823,0.03505207010414021
Orien0_mean,24.0,29.0,70.47058823529412,70.828431372549,0.6561679790026246
Orien1_mean,65.0,88.0,43.40196078431373,46.1764705882353,0.14041994750656167
Orien2_mean,83.0,97.0,153.87254901960785,154.95588235294116,0.24356955380577425
EMG0_min,23.0,54.0,-32.0,-22.0,0.09744094488188976
EMG1_min,42.0,107.0,-33.0,-15.75,0.031018849916487713
EMG2_min,34.0,84.0,-38.0,-20.0,0.04940558900725645
EMG3_min,67.0,116.0,-23.0,-11.0,0.051023622047244095
EMG4_min,21.0,67.0,-45.5,-28.0,0.05629083598592729
EMG5_min,5.0,55.0,-94.0,-45.75,0.04940558900725645
EMG6_min,70.0,111.0,-28.0,-17.0,0.0667416572928384
EMG7_min,55.0,116.0,-22.0,-10.75,0.03505207010414021
Accl0_min,37.0,84.0,0.5715330000000001,0.657227,0.054461942257217844
Accl1_min,24.0,62.0,-0.56957975,-0.5002445,0.07429840500706643
Accl2_min,27.0,97.0,0.453369,0.52087425,0.026616391260951534
Gyr0_min,62.0,126.0,-7.453125,-2.046875,0.03198061780738946
Gyr1_min,32.0,116.0,-36.453125,-13.65625,0.017044928207503477
Gyr2_min,29.0,114.0,-29.125,-8.796875,0.016480498077275224
Orien0_min,22.0,26.0,69.75,70.0,0.7937007874015748
Orien1_min,57.0,107.0,40.0,45.0,0.04940558900725645
Orien2_min,82.0,95.0,152.0,154.0,0.26321709786276715
EMG0_max,24.0,96.0,13.0,30.0,0.025024269226620648
EMG1_max,61.0,87.0,23.0,32.0,0.12131816856226306
EMG2_max,9.0,77.0,9.0,25.0,0.028300810224808855
EMG3_max,2.0,61.0,6.0,18.25,0.037270341207349074
EMG4_max,24.0,104.0,17.75,40.0,0.019442014192670363
EMG5_max,63.0,124.0,44.0,93.25,0.03505207010414021
EMG6_max,8.0,40.0,15.0,23.25,0.09353376282510141
EMG7_max,7.0,60.0,8.0,20.0,0.04491105278506854
Accl0_max,24.0,100.0,0.7535405,0.8261719999999999,0.022088148072400043
Accl1_max,16.0,36.0,-0.426392,-0.361694,0.1649793775778028
Accl2_max,23.0,80.0,0.60522475,0.6812745,0.039641596524572366
Gyr0_max,23.0,96.0,9.640625,22.328125,0.024260480953394337
Gyr1_max,13.0,93.0,5.5,23.125,0.019442014192670363
Gyr2_max,41.0,80.0,7.90625,14.0,0.0716535433070866
Orien0_max,22.0,25.0,70.75,71.0,1.0
Orien1_max,69.0,103.0,48.0,52.0,0.08638920134983127
Orien2_max,85.0,88.0,155.0,155.0,1.0
EMG0_stdev,52.0,115.0,7.598833129880264,12.147634159537876,0.03297244094488189
EMG1_stdev,46.0,77.0,7.930130221241688,10.854455206556834,0.09744094488188976
EMG2_stdev,26.0,86.0,5.955163676405077,10.923894948824445,0.03614302310571834
EMG3_stdev,11.0,66.0,4.501806414216457,7.901417940112788,0.042182227221597306
EMG4_stdev,57.0,99.0,10.50154712957201,14.107233775033837,0.06445705914667643
EMG5_stdev,86.0,127.0,21.004521446008027,34.165182922184584,0.0667416572928384
EMG6_stdev,8.0,42.0,6.327057781334133,9.703066661731416,0.08638920134983127
EMG7_stdev,8.0,65.0,4.206604674571694,7.794021532375334,0.039641596524572366
Accl0_stdev,14.0,107.0,0.014485146045505885,0.045476697549330966,0.012397386496900652
Accl1_stdev,6.0,83.0,0.012200325811436524,0.033360708695286644,0.021401171007470222
Accl2_stdev,10.0,95.0,0.014151933256933294,0.038492608534380184,0.016480498077275224
Gyr0_stdev,18.0,94.0,2.4689065627441904,4.788573541261224,0.022088148072400043
Gyr1_stdev,17.0,106.0,4.064829543562888,12.087378764904361,0.014348206474190724
Gyr2_stdev,11.0,102.0,2.4820004031869463,7.635194165712665,0.013351591920575149
Orien0_stdev,63.0,91.0,0.4009791936316521,0.49308949989019296,0.11077925604127072
Orien1_stdev,20.0,111.0,0.6677910129574461,2.816450405626765,0.013351591920575149
Orien2_stdev,12.0,93.0,0.2282265577358012,0.7472826590715322,0.018820818129441138
EMG0_energy,58.0,114.0,3292.75,7574.25,0.040889625638900404
EMG1_energy,45.0,77.0,3164.75,6038.75,0.09353376282510141
EMG2_energy,30.0,85.0,1885.0,6068.5,0.042182227221597306
EMG3_energy,16.0,64.0,1233.25,3122.5,0.0527076972521292
EMG4_energy,59.0,97.0,5798.5,9943.0,0.07429840500706643
EMG5_energy,86.0,127.0,22132.75,58948.25,0.0667416572928384
EMG6_energy,8.0,42.0,2061.75,4817.0,0.08638920134983127
EMG7_energy,10.0,63.0,949.75,3062.0,0.04491105278506854
Accl0_energy,42.0,63.0,24.227360133415498,26.566601398140005,0.1560486757337151
Accl1_energy,97.0,104.0,9.604658341731747,10.60001509777125,0.484251968503937
Accl2_energy,38.0,80.0,15.544128551937247,17.159673493893003,0.06445705914667643
Gyr0_energy,23.0,96.0,362.0029296875,1299.0703125,0.024260480953394337
Gyr1_energy,16.0,107.0,879.56640625,7976.77734375,0.013351591920575149
Gyr2_energy,10.0,102.0,308.662109375,2958.7158203125,0.01286935907205148
Orien0_energy,24.0,29.0,253284.5,255857.25,0.6561679790026246
Orien1_energy,65.0,88.0,96220.0,108797.0,0.14041994750656167
Orien2_energy,83.0,97.0,1207529.5,1224579.75,0.24356955380577425
