Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,7.0,104.0,-2.4215686274509807,0.12254901960784315,0.010605817130001608
EMG1_mean,45.0,94.0,-1.4705882352941178,-0.09313725490196079,0.051023622047244095
EMG2_mean,22.0,61.0,-1.7647058823529411,-1.0196078431372548,0.0716535433070866
EMG3_mean,21.0,57.0,-1.7696078431372548,-1.0147058823529411,0.08001702489891466
EMG4_mean,0.0,90.0,-4.941176470588234,-0.39215686274509803,0.01384442329324219
EMG5_mean,9.0,126.0,-4.544117647058824,3.431372549019607,0.003469905244895233
EMG6_mean,10.0,122.0,-3.931372549019607,1.3088235294117645,0.005017071981046618
EMG7_mean,37.0,62.0,-1.4754901960784315,-0.8823529411764706,0.12719563900666261
Accl0_mean,36.0,43.0,0.6855469362745099,0.689553681372549,0.484251968503937
Accl1_mean,20.0,23.0,-0.4651190049019608,-0.4577804166666667,1.0
Accl2_mean,70.0,79.0,0.5733211372549021,0.5787712303921569,0.3811023622047244
Gyr0_mean,49.0,77.0,0.47089460784313725,0.8560049019607843,0.11077925604127072
Gyr1_mean,52.0,96.0,-1.844669117647059,-0.7527573529411764,0.06019247594050743
Gyr2_mean,47.0,91.0,-0.6311274509803921,0.050551470588235295,0.06019247594050743
Orien0_mean,20.0,25.0,69.95588235294117,70.73529411764706,0.6561679790026246
Orien1_mean,87.0,93.0,46.12745098039217,46.67647058823528,0.5579302587176603
Orien2_mean,104.0,107.0,155.67647058823528,156.14215686274508,1.0
EMG0_min,10.0,46.0,-39.25,-23.0,0.08001702489891466
EMG1_min,56.0,116.0,-27.0,-13.0,0.03614302310571834
EMG2_min,14.0,119.0,-53.5,-11.75,0.007428316743425941
EMG3_min,58.0,99.0,-26.0,-15.0,0.0667416572928384
EMG4_min,0.0,44.0,-76.25,-34.75,0.06019247594050743
EMG5_min,15.0,73.0,-77.75,-35.75,0.038435873481916454
EMG6_min,49.0,126.0,-35.25,-11.0,0.021401171007470222
EMG7_min,33.0,120.0,-31.0,-10.0,0.015390121689334284
Accl0_min,71.0,82.0,0.6291505,0.6503905000000001,0.3123359580052493
Accl1_min,52.0,65.0,-0.51464825,-0.494629,0.26321709786276715
Accl2_min,33.0,66.0,0.456787,0.4919435,0.08985641500694766
Gyr0_min,58.0,114.0,-7.765625,-3.25,0.040889625638900404
Gyr1_min,31.0,92.0,-36.953125,-22.265625,0.03505207010414021
Gyr2_min,102.0,118.0,-11.328125,-8.109375,0.2112088930060213
Orien0_min,14.0,29.0,68.75,70.0,0.2263779527559055
Orien1_min,86.0,89.0,43.0,43.0,1.0
Orien2_min,101.0,107.0,154.75,155.25,0.5579302587176603
