Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,20.0,103.0,-1.6519607843137256,0.08333333333333334,0.017622797150356206
EMG1_mean,50.0,124.0,-1.3137254901960784,2.181372549019608,0.023517060367454067
EMG2_mean,31.0,112.0,-1.553921568627451,0.41666666666666663,0.018820818129441138
EMG3_mean,47.0,98.0,-1.196078431372549,-0.1715686274509804,0.04784978800726832
EMG4_mean,28.0,120.0,-2.083333333333334,1.0588235294117647,0.01286935907205148
EMG5_mean,19.0,120.0,-3.0049019607843137,2.0784313725490193,0.008954763007565234
EMG6_mean,24.0,126.0,-2.651960784313726,3.475490196078431,0.008562036541548815
EMG7_mean,40.0,118.0,-1.3823529411764706,0.4215686274509804,0.020731585766969002
Accl0_mean,14.0,40.0,0.6437198235294118,0.6880194313725491,0.12131816856226306
Accl1_mean,0.0,10.0,-0.5389595392156863,-0.5080111519607844,0.34359341445955616
Accl2_mean,8.0,43.0,0.5228486862745099,0.5571432647058824,0.0831146106736658
Gyr0_mean,19.0,61.0,-0.12285539215686275,0.6933210784313726,0.06445705914667643
Gyr1_mean,7.0,94.0,-4.365502450980392,-0.7959558823529411,0.015390121689334284
Gyr2_mean,2.0,15.0,-2.6801470588235294,-1.5597426470588236,0.26321709786276715
Orien0_mean,2.0,8.0,66.96078431372548,67.88725490196079,0.5579302587176603
Orien1_mean,95.0,119.0,46.69607843137254,50.07843137254902,0.1335433070866142
Orien2_mean,123.0,129.0,166.16176470588235,167.80882352941177,0.5579302587176603
EMG0_min,78.0,117.0,-18.0,-12.0,0.0716535433070866
EMG1_min,51.0,107.0,-29.0,-15.0,0.040889625638900404
EMG2_min,86.0,108.0,-20.0,-14.0,0.14789455665867854
EMG3_min,104.0,115.0,-14.25,-11.0,0.3123359580052493
EMG4_min,31.0,128.0,-39.0,-9.0,0.010605817130001608
EMG5_min,62.0,93.0,-43.0,-26.0,0.09744094488188976
EMG6_min,11.0,78.0,-67.75,-26.0,0.029180176007410838
EMG7_min,59.0,99.0,-21.25,-13.0,0.06913769925100827
Accl0_min,6.0,47.0,0.43664575,0.59716825,0.0667416572928384
Accl1_min,5.0,14.0,-0.66906725,-0.60082975,0.3811023622047244
Accl2_min,5.0,41.0,0.389038,0.463501,0.08001702489891466
Gyr0_min,43.0,106.0,-10.140625,-4.0,0.03297244094488189
Gyr1_min,12.0,72.0,-48.75,-26.9375,0.03614302310571834
Gyr2_min,8.0,37.0,-45.109375,-26.5625,0.10603674540682413
Orien0_min,5.0,9.0,66.0,67.25,0.7937007874015748
Orien1_min,54.0,112.0,40.0,46.0,0.038435873481916454
Orien2_min,127.0,130.0,164.75,166.75,1.0
EMG0_max,26.0,91.0,13.0,29.0,0.031018849916487713
EMG1_max,88.0,102.0,32.0,40.25,0.24356955380577425
EMG2_max,48.0,77.0,16.0,25.0,0.10603674540682413
EMG3_max,38.0,50.0,13.0,16.25,0.2858873410054512
EMG4_max,16.0,34.0,14.0,19.25,0.18566100290095316
EMG5_max,33.0,62.0,26.5,44.0,0.10603674540682413
EMG6_max,76.0,111.0,35.0,64.75,0.0831146106736658
EMG7_max,35.0,72.0,13.0,24.0,0.07708246995441359
Accl0_max,35.0,112.0,0.76574675,0.84741225,0.021401171007470222
Accl1_max,2.0,35.0,-0.46142575,-0.36511225,0.08985641500694766
Accl2_max,26.0,94.0,0.6124269999999999,0.7183837500000001,0.028300810224808855
Gyr0_max,13.0,65.0,7.21875,17.0,0.04635269647897787
Gyr1_max,104.0,129.0,29.5,48.09375,0.12719563900666261
Gyr2_max,93.0,116.0,16.234375,32.6875,0.14041994750656167
Orien0_max,2.0,5.0,68.0,68.25,1.0
Orien1_max,107.0,128.0,52.75,61.0,0.1560486757337151
Orien2_max,121.0,124.0,167.5,168.25,1.0
EMG0_stdev,14.0,50.0,4.831926591021839,7.375633943793255,0.08001702489891466
EMG1_stdev,58.0,100.0,9.336479949069856,13.905320888084525,0.06445705914667643
EMG2_stdev,34.0,62.0,6.396866922521957,8.361028664495056,0.11077925604127072
EMG3_stdev,18.0,36.0,4.921481189354306,5.892481396296873,0.18566100290095316
EMG4_stdev,11.0,32.0,5.585272384664073,7.971369526312406,0.1560486757337151
EMG5_stdev,41.0,63.0,11.863389624096177,16.763713392251162,0.14789455665867854
EMG6_stdev,93.0,105.0,18.052928685379573,22.022425496965838,0.2858873410054512
EMG7_stdev,38.0,59.0,5.900088273572076,7.302677070506972,0.1560486757337151
Accl0_stdev,103.0,127.0,0.041649974083139134,0.07294819836545681,0.1335433070866142
Accl1_stdev,97.0,110.0,0.03931816318131066,0.045654350552861336,0.26321709786276715
Accl2_stdev,97.0,118.0,0.03868772293534753,0.05187814144854508,0.1560486757337151
Gyr0_stdev,10.0,64.0,2.192573955232768,3.8559116561548943,0.04352183249821045
Gyr1_stdev,98.0,124.0,10.42222721144237,15.936322801508634,0.12131816856226306
Gyr2_stdev,106.0,124.0,8.174748972261984,13.785691978352434,0.18566100290095316
Orien0_stdev,61.0,95.0,0.3965453954861816,0.494079655354572,0.08638920134983127
Orien1_stdev,104.0,130.0,2.4622976310975684,4.126146029015755,0.12131816856226306
Orien2_stdev,56.0,103.0,0.5048781642974013,0.8279288198803798,0.054461942257217844
EMG0_energy,14.0,48.0,1175.5,2717.0,0.08638920134983127
