Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,14.0,109.0,-2.019607843137255,0.29411764705882354,0.01148293963254593
EMG1_mean,67.0,120.0,-0.7941176470588235,1.4950980392156863,0.04491105278506854
EMG2_mean,57.0,126.0,-1.0784313725490196,3.014705882352942,0.027446569178852645
EMG3_mean,17.0,106.0,-1.8725490196078431,0.1715686274509804,0.014348206474190724
EMG4_mean,39.0,102.0,-1.7450980392156865,0.1519607843137255,0.03297244094488189
EMG5_mean,24.0,127.0,-2.769607843137255,4.083333333333332,0.008176862507571167
EMG6_mean,20.0,123.0,-2.8872549019607843,1.568627450980392,0.008176862507571167
EMG7_mean,13.0,116.0,-2.269607843137255,0.3627450980392157,0.008176862507571167
Accl0_mean,98.0,118.0,0.7568670784313725,0.7735379754901961,0.1649793775778028
Accl1_mean,103.0,119.0,-0.3141012549019607,-0.28076408333333336,0.2112088930060213
Accl2_mean,58.0,101.0,0.566535519607843,0.5988363578431372,0.06227630637079455
Gyr0_mean,13.0,64.0,-0.2748161764705882,0.7205882352941176,0.04784978800726832
Gyr1_mean,15.0,30.0,-3.5137867647058827,-2.7175245098039214,0.2263779527559055
Gyr2_mean,63.0,114.0,-0.36642156862745096,0.4028799019607843,0.04784978800726832
Orien0_mean,104.0,114.0,74.89705882352942,76.36764705882354,0.34359341445955616
Orien1_mean,8.0,19.0,37.78921568627451,39.47058823529412,0.3123359580052493
Orien2_mean,2.0,10.0,91.06862745098039,98.9362745098039,0.42694663167104113
EMG0_min,21.0,94.0,-32.25,-16.0,0.024260480953394337
EMG1_min,79.0,108.0,-21.0,-15.0,0.10603674540682413
EMG2_min,27.0,63.0,-42.5,-24.0,0.08001702489891466
EMG3_min,32.0,94.0,-34.0,-16.75,0.03399575053118361
EMG4_min,57.0,90.0,-30.25,-21.0,0.08985641500694766
EMG5_min,18.0,69.0,-72.0,-38.75,0.04784978800726832
EMG6_min,34.0,81.0,-48.0,-25.0,0.054461942257217844
EMG7_min,21.0,92.0,-42.75,-14.0,0.025809273840769902
Accl0_min,85.0,110.0,0.65625025,0.70910625,0.12719563900666261
Accl1_min,106.0,129.0,-0.407715,-0.3182375,0.14041994750656167
Accl2_min,41.0,107.0,0.46374499999999996,0.5429689999999999,0.030085791514866615
Gyr0_min,25.0,92.0,-14.90625,-5.0,0.029180176007410838
Gyr1_min,37.0,92.0,-35.3125,-21.921875,0.042182227221597306
Gyr2_min,108.0,126.0,-10.375,-4.6875,0.18566100290095316
Orien0_min,110.0,125.0,74.0,76.0,0.2263779527559055
Orien1_min,21.0,33.0,37.0,38.0,0.2858873410054512
Orien2_min,3.0,10.0,89.0,98.25,0.484251968503937
EMG0_max,61.0,117.0,21.0,39.0,0.040889625638900404
EMG1_max,34.0,77.0,15.0,30.0,0.06227630637079455
EMG2_max,88.0,119.0,28.0,51.25,0.09744094488188976
EMG3_max,24.0,57.0,11.0,18.0,0.08985641500694766
EMG4_max,14.0,79.0,14.0,31.0,0.031018849916487713
EMG5_max,57.0,106.0,39.75,73.0,0.051023622047244095
EMG6_max,58.0,94.0,29.0,44.5,0.08001702489891466
EMG7_max,55.0,94.0,19.0,38.0,0.0716535433070866
Accl0_max,67.0,103.0,0.7928467499999999,0.8273922499999999,0.08001702489891466
Accl1_max,87.0,124.0,-0.28540025,-0.18298325,0.07708246995441359
Accl2_max,43.0,107.0,0.62793,0.7720947499999999,0.03198061780738946
Gyr0_max,16.0,67.0,7.75,17.15625,0.04784978800726832
Gyr1_max,8.0,66.0,4.421875,15.375,0.038435873481916454
Gyr2_max,8.0,61.0,4.34375,10.390625,0.04491105278506854
Orien0_max,93.0,119.0,75.0,78.25,0.12131816856226306
Orien1_max,14.0,29.0,41.0,43.0,0.2263779527559055
Orien2_max,2.0,10.0,91.75,99.25,0.42694663167104113
EMG0_stdev,57.0,104.0,7.779921478896213,10.85777663622951,0.054461942257217844
EMG1_stdev,29.0,47.0,6.26928168394523,8.085570482246144,0.18566100290095316
EMG2_stdev,94.0,115.0,12.740819395341198,18.14314449694691,0.1560486757337151
EMG3_stdev,52.0,69.0,6.938443761244382,8.101572728207117,0.19772528433945757
EMG4_stdev,32.0,51.0,7.775501730906326,9.93409779352244,0.1748031496062992
