Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,26.0,116.0,-1.5784313725490193,0.5588235294117647,0.01384442329324219
EMG1_mean,20.0,86.0,-2.1960784313725488,-0.42647058823529416,0.030085791514866615
EMG2_mean,10.0,89.0,-2.2745098039215685,-0.48529411764705876,0.020078740157480315
EMG3_mean,22.0,55.0,-1.735294117647059,-1.0588235294117647,0.08985641500694766
EMG4_mean,8.0,98.0,-2.8970588235294117,-0.03431372549019608,0.01384442329324219
EMG5_mean,7.0,125.0,-5.117647058823528,3.186274509803922,0.003176073579037917
EMG6_mean,34.0,124.0,-2.2450980392156863,2.063725490196078,0.01384442329324219
EMG7_mean,24.0,105.0,-1.803921568627451,-0.10784313725490195,0.018820818129441138
Accl0_mean,112.0,124.0,0.7678821176470589,0.7830762450980393,0.2858873410054512
Accl1_mean,113.0,125.0,-0.2965470392156863,-0.2678940735294118,0.2858873410054512
Accl2_mean,58.0,88.0,0.5661357696078431,0.5848819852941176,0.1016002032004064
Gyr0_mean,15.0,68.0,-0.20435049019607843,0.7527573529411765,0.04491105278506854
Gyr1_mean,32.0,67.0,-2.6942401960784315,-1.5530024509803921,0.0831146106736658
Gyr2_mean,29.0,94.0,-1.1259191176470589,0.06004901960784314,0.031018849916487713
Orien0_mean,110.0,119.0,75.31372549019609,77.09313725490196,0.3811023622047244
Orien1_mean,6.0,11.0,37.05392156862746,38.36274509803922,0.6561679790026246
Orien2_mean,18.0,23.0,106.17647058823529,115.5392156862745,0.6561679790026246
EMG0_min,12.0,85.0,-37.25,-17.75,0.024260480953394337
EMG1_min,40.0,104.0,-34.0,-16.0,0.03198061780738946
EMG2_min,4.0,28.0,-76.25,-41.0,0.1335433070866142
EMG3_min,6.0,101.0,-54.75,-15.0,0.01148293963254593
EMG4_min,50.0,79.0,-31.25,-23.0,0.10603674540682413
EMG5_min,9.0,44.0,-88.5,-51.75,0.0831146106736658
EMG6_min,33.0,72.0,-48.25,-27.75,0.0716535433070866
EMG7_min,25.0,87.0,-36.25,-14.0,0.03399575053118361
Accl0_min,88.0,128.0,0.6629635,0.76733425,0.06913769925100827
Accl1_min,115.0,130.0,-0.374634,-0.3131105,0.2263779527559055
Accl2_min,51.0,107.0,0.47814975,0.54187025,0.040889625638900404
Gyr0_min,26.0,83.0,-14.125,-5.59375,0.039641596524572366
Gyr1_min,102.0,128.0,-19.78125,-8.4375,0.12131816856226306
Gyr2_min,53.0,127.0,-21.9375,-4.234375,0.023517060367454067
Orien0_min,120.0,126.0,75.0,76.0,0.5579302587176603
Orien1_min,11.0,34.0,36.0,38.0,0.14041994750656167
Orien2_min,19.0,23.0,105.25,113.75,0.7937007874015748
EMG0_max,39.0,123.0,15.0,51.25,0.017044928207503477
EMG1_max,19.0,81.0,10.0,31.0,0.03399575053118361
EMG2_max,76.0,119.0,24.75,55.75,0.06227630637079455
EMG3_max,17.0,89.0,10.0,24.0,0.025024269226620648
EMG4_max,10.0,55.0,11.0,25.0,0.058199246833276284
EMG5_max,62.0,115.0,43.75,81.0,0.04491105278506854
EMG6_max,76.0,100.0,35.0,49.25,0.1335433070866142
EMG7_max,52.0,109.0,18.0,55.0,0.039641596524572366
Accl0_max,58.0,82.0,0.78588875,0.8078615,0.1335433070866142
Accl1_max,100.0,115.0,-0.255127,-0.22326675,0.2263779527559055
Accl2_max,15.0,91.0,0.5924075,0.70678725,0.022088148072400043
Gyr0_max,9.0,29.0,4.734375,10.390625,0.1649793775778028
Gyr1_max,1.0,28.0,2.21875,7.03125,0.1158605174353206
Gyr2_max,6.0,38.0,3.953125,7.71875,0.09353376282510141
Orien0_max,111.0,118.0,76.0,77.25,0.484251968503937
Orien1_max,2.0,11.0,37.75,41.0,0.3811023622047244
Orien2_max,18.0,23.0,106.75,116.25,0.6561679790026246
EMG0_stdev,59.0,121.0,7.848878381121935,14.456533440702623,0.03399575053118361
EMG1_stdev,24.0,60.0,5.92044679102457,9.773306427007842,0.08001702489891466
