Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,3.0,126.0,-3.0735294117647056,1.4509803921568625,0.002240143369175627
EMG1_mean,12.0,118.0,-2.431372549019608,1.0588235294117645,0.008900756564307968
EMG2_mean,17.0,114.0,-1.9901960784313721,0.6715686274509804,0.01336248785228377
EMG3_mean,79.0,129.0,-0.5882352941176471,7.759803921568627,0.06224712107065049
EMG4_mean,2.0,129.0,-4.137254901960784,13.882352941176471,0.0009300595238095238
EMG5_mean,3.0,100.0,-6.593137254901961,0.2549019607843137,0.01336248785228377
EMG6_mean,4.0,116.0,-4.495098039215686,1.088235294117647,0.006321112515802781
EMG7_mean,0.0,127.0,-12.51960784313726,2.926470588235295,0.0009300595238095238
Accl0_mean,100.0,121.0,0.7583366862745098,0.7784471813725491,0.19660894660894662
Accl1_mean,70.0,84.0,-0.38407631372549017,-0.35604316176470585,0.30687830687830686
Accl2_mean,7.0,19.0,0.5187821421568627,0.5367479607843139,0.3601953601953602
Gyr0_mean,39.0,90.0,0.3183210784313725,0.9895833333333333,0.06028693528693529
Gyr1_mean,42.0,111.0,-2.0441176470588234,-0.31495098039215685,0.03458049886621316
Gyr2_mean,22.0,66.0,-1.348651960784314,-0.3137254901960784,0.07583774250440917
Orien0_mean,45.0,68.0,71.63725490196077,72.69117647058823,0.17691798941798942
Orien1_mean,15.0,36.0,38.57843137254902,40.61764705882352,0.19660894660894662
Orien2_mean,87.0,108.0,154.16176470588235,156.99019607843138,0.19660894660894662
EMG0_min,5.0,59.0,-48.75,-21.0,0.054834054834054825
EMG1_min,33.0,69.0,-36.25,-23.0,0.10081510081510081
EMG2_min,22.0,112.0,-47.25,-13.0,0.01744287458573173
EMG3_min,11.0,63.0,-51.0,-24.0,0.05840071877807727
EMG4_min,31.0,83.0,-39.0,-22.0,0.05840071877807727
EMG5_min,28.0,94.0,-64.0,-25.75,0.03790570954750059
EMG6_min,63.0,86.0,-30.0,-23.0,0.17691798941798942
EMG7_min,5.0,17.0,-101.5,-47.5,0.3601953601953602
Accl0_min,50.0,129.0,0.60009775,0.7702635,0.025297619047619048
Accl1_min,33.0,119.0,-0.5411377500000001,-0.367432,0.020069330414158
Accl2_min,11.0,57.0,0.417236,0.48559549999999996,0.07092198581560283
Gyr0_min,104.0,130.0,-4.203125,-1.4375,0.15285126396237508
Gyr1_min,21.0,100.0,-43.046875,-19.84375,0.025297619047619048
Gyr2_min,21.0,89.0,-31.515625,-13.140625,0.03565677478720957
Orien0_min,45.0,71.0,71.0,72.0,0.15285126396237508
Orien1_min,6.0,30.0,34.75,38.0,0.16825396825396824
Orien2_min,92.0,109.0,154.0,156.5,0.24911816578483242
EMG0_max,54.0,109.0,20.0,34.0,0.05314625850340136
EMG1_max,33.0,85.0,14.75,31.0,0.05840071877807727
EMG2_max,51.0,90.0,17.75,29.0,0.09027777777777778
EMG3_max,105.0,129.0,29.0,55.0,0.16825396825396824
EMG4_max,64.0,111.0,27.0,45.25,0.06861772486772487
EMG5_max,36.0,92.0,29.0,61.0,0.05151768309663046
EMG6_max,21.0,78.0,19.0,36.25,0.049945265462506834
EMG7_max,107.0,123.0,51.75,74.25,0.2661064425770308
Accl0_max,80.0,114.0,0.8057860000000001,0.85632325,0.108843537414966
Accl1_max,46.0,80.0,-0.35266125000000004,-0.29772975,0.108843537414966
Accl2_max,0.0,89.0,0.5301515,0.69702175,0.018077601410934743
Gyr0_max,8.0,69.0,4.546875,17.375,0.044162826420890935
Gyr1_max,6.0,95.0,4.046875,23.921875,0.018077601410934743
Gyr2_max,3.0,57.0,2.859375,10.015625,0.054834054834054825
Orien0_max,47.0,73.0,72.0,73.25,0.15285126396237508
Orien1_max,6.0,54.0,39.0,46.0,0.06640751538710722
Orien2_max,88.0,105.0,155.0,157.0,0.24911816578483242
EMG0_stdev,69.0,119.0,8.475305774740733,13.729225055746973,0.06224712107065049
EMG1_stdev,65.0,104.0,9.874009797135313,14.455333232747538,0.09027777777777778
EMG2_stdev,58.0,85.0,7.8944832980913375,10.391573161483652,0.1459750566893424
EMG3_stdev,94.0,122.0,10.392964625788128,14.91576267857312,0.13957307060755336
EMG4_stdev,74.0,96.0,11.771682547892615,13.895907647388693,0.1863354037267081
EMG5_stdev,40.0,69.0,11.591442110971387,17.602516582668287,0.13359788359788358
EMG6_stdev,39.0,74.0,9.235125263269806,13.574955408501813,0.10471781305114637
EMG7_stdev,116.0,124.0,23.04576066664236,32.08015720808746,0.5379188712522045
Accl0_stdev,1.0,96.0,0.008174727249106532,0.03881181442718121,0.014467592592592594
Accl1_stdev,0.0,94.0,0.0070609923545863745,0.0374419459424457,0.015037593984962403
