Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,8.0,128.0,-2.284313725490196,1.7352941176470587,0.0026029804125723937
EMG1_mean,10.0,122.0,-2.480392156862745,1.681372549019608,0.005017071981046618
EMG2_mean,24.0,127.0,-1.7647058823529411,3.769607843137255,0.008176862507571167
EMG3_mean,7.0,113.0,-2.3627450980392157,0.5098039215686274,0.007064537493560969
EMG4_mean,4.0,68.0,-3.367647058823529,-0.8970588235294119,0.03198061780738946
EMG5_mean,12.0,27.0,-3.8921568627450984,-2.406862745098039,0.2263779527559055
EMG6_mean,3.0,99.0,-4.843137254901961,0.27941176470588236,0.011039857131260657
EMG7_mean,1.0,125.0,-6.421568627450982,2.411764705882353,0.0015118110236220486
Accl0_mean,13.0,53.0,0.6425421862745099,0.700432269607843,0.06913769925100827
Accl1_mean,30.0,60.0,-0.4467845294117647,-0.3921042352941177,0.1016002032004064
Accl2_mean,105.0,115.0,0.6095879950980392,0.645313955882353,0.34359341445955616
Gyr0_mean,31.0,86.0,0.24662990196078433,0.9589460784313726,0.042182227221597306
Gyr1_mean,45.0,106.0,-1.9966299019607843,-0.5487132352941178,0.03505207010414021
Gyr2_mean,48.0,126.0,-0.6173406862745099,1.5376838235294117,0.020731585766969002
Orien0_mean,63.0,82.0,72.05392156862746,73.85294117647058,0.1748031496062992
Orien1_mean,73.0,118.0,44.5,50.02450980392157,0.058199246833276284
Orien2_mean,48.0,63.0,142.3235294117647,146.32352941176475,0.2263779527559055
EMG0_min,0.0,31.0,-77.0,-27.75,0.09744094488188976
EMG1_min,5.0,16.0,-70.25,-50.0,0.3123359580052493
EMG2_min,15.0,61.0,-53.0,-24.75,0.05629083598592729
EMG3_min,14.0,86.0,-46.0,-17.75,0.025024269226620648
EMG4_min,30.0,83.0,-39.25,-22.0,0.04491105278506854
EMG5_min,22.0,87.0,-68.0,-31.0,0.031018849916487713
EMG6_min,4.0,19.0,-89.5,-59.75,0.2263779527559055
EMG7_min,0.0,6.0,-126.25,-88.5,0.5579302587176603
Accl0_min,26.0,69.0,0.5628665,0.6276855,0.06227630637079455
Accl1_min,25.0,65.0,-0.5625,-0.494629,0.06913769925100827
Accl2_min,28.0,117.0,0.45397975000000007,0.56323275,0.014348206474190724
Gyr0_min,15.0,31.0,-22.65625,-12.03125,0.2112088930060213
Gyr1_min,40.0,90.0,-35.140625,-22.75,0.04940558900725645
Gyr2_min,26.0,121.0,-30.109375,-7.296875,0.01148293963254593
Orien0_min,68.0,78.0,72.0,73.0,0.34359341445955616
Orien1_min,76.0,121.0,41.0,48.0,0.058199246833276284
Orien2_min,47.0,65.0,139.75,146.25,0.18566100290095316
EMG0_max,115.0,129.0,36.0,76.25,0.24356955380577425
EMG1_max,101.0,126.0,37.75,74.75,0.12719563900666261
EMG2_max,45.0,125.0,16.0,75.25,0.019442014192670363
EMG3_max,67.0,110.0,20.0,32.25,0.06227630637079455
EMG4_max,26.0,72.0,18.75,30.0,0.05629083598592729
EMG5_max,49.0,114.0,34.0,79.5,0.031018849916487713
EMG6_max,75.0,106.0,35.0,56.75,0.09744094488188976
EMG7_max,106.0,129.0,51.0,117.25,0.14041994750656167
Accl0_max,10.0,95.0,0.7259519999999999,0.82177725,0.016480498077275224
Accl1_max,55.0,85.0,-0.33667,-0.28588875,0.1016002032004064
Accl2_max,83.0,98.0,0.68603475,0.73645,0.2263779527559055
Gyr0_max,55.0,90.0,14.96875,21.4375,0.0831146106736658
Gyr1_max,80.0,117.0,18.234375,41.234375,0.07708246995441359
Gyr2_max,72.0,110.0,13.21875,26.578125,0.07429840500706643
Orien0_max,62.0,80.0,73.0,74.0,0.18566100290095316
Orien1_max,41.0,105.0,45.0,52.25,0.03198061780738946
Orien2_max,46.0,62.0,142.75,147.0,0.2112088930060213
EMG0_stdev,124.0,127.0,16.282350582049133,18.999308185725532,1.0
EMG1_stdev,114.0,129.0,18.460830923120547,28.42893528352564,0.2263779527559055
EMG2_stdev,69.0,116.0,9.038899450351765,18.68067306751223,0.054461942257217844
EMG3_stdev,73.0,114.0,8.351952855838494,12.511650253749279,0.0667416572928384
EMG4_stdev,44.0,89.0,9.284645800053411,13.4674388830302,0.058199246833276284
EMG5_stdev,45.0,101.0,13.026760194772542,24.042738809516532,0.040889625638900404
EMG6_stdev,96.0,120.0,18.4796188067266,26.706707625050562,0.1335433070866142
EMG7_stdev,115.0,127.0,22.410027360788682,38.25600054495273,0.2858873410054512
Accl0_stdev,28.0,76.0,0.019487493366609362,0.029365590665390982,0.0527076972521292
Accl1_stdev,58.0,85.0,0.023911959493074394,0.0336918181911247,0.1158605174353206
Accl2_stdev,25.0,81.0,0.021280069559349767,0.03366856699000345,0.040889625638900404
Gyr0_stdev,60.0,100.0,3.7366591504394804,5.235065553803041,0.06913769925100827
Gyr1_stdev,34.0,100.0,6.150637091412226,10.818673159275894,0.030085791514866615
Gyr2_stdev,70.0,103.0,5.248959464041769,7.779142736608758,0.08985641500694766
Orien0_stdev,30.0,106.0,0.2376354103144017,0.5601961847276675,0.022088148072400043
Orien1_stdev,11.0,36.0,0.5817459020364374,1.011765257221654,0.12719563900666261
Orien2_stdev,5.0,114.0,0.0,1.0452488829185345,0.006012884753042233
EMG0_energy,123.0,126.0,13370.25,18212.0,1.0
EMG1_energy,113.0,128.0,17200.5,40565.0,0.2263779527559055
EMG2_energy,70.0,115.0,4224.75,17487.5,0.058199246833276284
EMG3_energy,72.0,113.0,3668.5,8042.0,0.0667416572928384
EMG4_energy,51.0,89.0,4932.25,9607.5,0.07429840500706643
EMG5_energy,46.0,102.0,8798.25,29359.75,0.040889625638900404
EMG6_energy,96.0,120.0,18076.25,35663.75,0.1335433070866142
EMG7_energy,114.0,126.0,25481.5,71262.5,0.2858873410054512
Accl0_energy,11.0,53.0,21.0733353175285,25.07155137176925,0.06445705914667643
Accl1_energy,71.0,100.0,7.902583138210002,10.2351140502175,0.10603674540682413
Accl2_energy,106.0,115.0,19.121466382813004,21.262668842072248,0.3811023622047244
Gyr0_energy,61.0,98.0,738.29296875,1414.7470703125,0.07708246995441359
Gyr1_energy,32.0,99.0,1993.4560546875,6000.65234375,0.029180176007410838
Gyr2_energy,70.0,101.0,1411.888671875,2940.1513671875,0.09744094488188976
Orien0_energy,63.0,82.0,264785.75,278173.5,0.1748031496062992
Orien1_energy,72.0,118.0,101048.75,127866.25,0.05629083598592729
Orien2_energy,48.0,63.0,1033098.0,1091961.5,0.2263779527559055
