Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,4.0,78.0,-2.965686274509804,-0.4901960784313725,0.023517060367454067
EMG1_mean,58.0,76.0,-1.156862745098039,-0.6470588235294118,0.18566100290095316
EMG2_mean,46.0,71.0,-1.2401960784313726,-0.7794117647058824,0.12719563900666261
EMG3_mean,10.0,126.0,-2.0098039215686274,1.8823529411764703,0.003768759674271486
EMG4_mean,6.0,124.0,-3.215686274509804,1.4950980392156863,0.003176073579037917
EMG5_mean,2.0,120.0,-6.691176470588236,1.941176470588235,0.003176073579037917
EMG6_mean,0.0,121.0,-8.176470588235295,1.2598039215686274,0.002323480056796178
EMG7_mean,5.0,64.0,-3.431372549019607,-0.8774509803921569,0.037270341207349074
Accl0_mean,44.0,59.0,0.6905876960784313,0.7140036519607844,0.2263779527559055
Accl1_mean,33.0,48.0,-0.4355469264705882,-0.40130975980392153,0.2263779527559055
Accl2_mean,89.0,96.0,0.5851835245098039,0.5942071715686276,0.484251968503937
Gyr0_mean,17.0,50.0,-0.19025735294117646,0.5428921568627452,0.08985641500694766
Gyr1_mean,33.0,104.0,-2.668811274509804,-0.5683210784313726,0.025809273840769902
Gyr2_mean,45.0,115.0,-0.6645220588235294,0.44638480392156865,0.026616391260951534
Orien0_mean,39.0,58.0,71.0343137254902,72.0,0.1748031496062992
Orien1_mean,71.0,91.0,44.450980392156865,46.33333333333333,0.1649793775778028
Orien2_mean,49.0,56.0,142.94607843137254,144.9264705882353,0.484251968503937
EMG0_min,66.0,130.0,-20.0,-6.25,0.03198061780738946
EMG1_min,74.0,125.0,-22.25,-8.75,0.04784978800726832
EMG2_min,22.0,99.0,-48.0,-17.0,0.021401171007470222
EMG3_min,27.0,76.0,-37.0,-20.0,0.051023622047244095
EMG4_min,26.0,67.0,-41.25,-28.0,0.0667416572928384
EMG5_min,30.0,76.0,-63.0,-35.0,0.05629083598592729
EMG6_min,21.0,54.0,-59.25,-33.75,0.08985641500694766
EMG7_min,56.0,111.0,-22.0,-12.0,0.042182227221597306
Accl0_min,23.0,57.0,0.549194,0.6137699999999999,0.08638920134983127
Accl1_min,44.0,70.0,-0.5290525,-0.49060075000000003,0.12131816856226306
Accl2_min,58.0,104.0,0.4870605,0.532227,0.05629083598592729
Gyr0_min,37.0,64.0,-11.125,-6.96875,0.1158605174353206
Gyr1_min,10.0,104.0,-51.0,-18.9375,0.011935350186489849
Gyr2_min,25.0,110.0,-30.390625,-9.375,0.016480498077275224
Orien0_min,59.0,64.0,71.0,72.0,0.6561679790026246
Orien1_min,80.0,109.0,42.0,45.25,0.10603674540682413
Orien2_min,54.0,57.0,143.0,143.25,1.0
EMG0_max,12.0,33.0,10.75,15.0,0.1560486757337151
EMG1_max,4.0,39.0,7.0,17.0,0.0831146106736658
EMG2_max,26.0,105.0,11.0,36.0,0.020078740157480315
EMG3_max,73.0,105.0,21.75,29.25,0.09353376282510141
EMG4_max,71.0,123.0,30.0,55.25,0.04635269647897787
EMG5_max,76.0,102.0,48.75,67.5,0.12131816856226306
EMG6_max,101.0,122.0,49.75,87.25,0.1560486757337151
EMG7_max,41.0,86.0,14.0,31.0,0.058199246833276284
Accl0_max,12.0,61.0,0.73022425,0.7910159999999999,0.051023622047244095
Accl1_max,29.0,60.0,-0.37207025000000005,-0.32873575,0.09744094488188976
Accl2_max,72.0,104.0,0.6635745,0.7615962500000001,0.09353376282510141
Gyr0_max,29.0,94.0,10.140625,22.0,0.031018849916487713
Gyr1_max,24.0,100.0,6.75,28.671875,0.022088148072400043
Gyr2_max,10.0,93.0,4.78125,16.203125,0.017622797150356206
Orien0_max,50.0,58.0,72.0,72.25,0.42694663167104113
Orien1_max,59.0,109.0,47.0,53.25,0.04940558900725645
Orien2_max,50.0,61.0,144.0,146.25,0.3123359580052493
EMG0_stdev,7.0,39.0,3.7303924208704387,6.864357237602203,0.09353376282510141
EMG1_stdev,15.0,37.0,4.791377153189577,7.2199930610433505,0.14789455665867854
EMG2_stdev,20.0,108.0,5.171924030771779,15.196133587089214,0.014863310625497657
EMG3_stdev,67.0,100.0,7.915252933024186,11.13248779016415,0.08985641500694766
EMG4_stdev,70.0,111.0,11.431395443998237,15.259297577054044,0.0667416572928384
EMG5_stdev,65.0,95.0,16.873802889462794,22.77108847270363,0.1016002032004064
EMG6_stdev,84.0,110.0,15.325916697413785,23.348532280974098,0.12131816856226306
EMG7_stdev,34.0,64.0,5.464384933167251,7.71867138129768,0.1016002032004064
Accl0_stdev,23.0,103.0,0.018541204974346658,0.04245238051919502,0.019442014192670363
Accl1_stdev,34.0,72.0,0.01765818672908115,0.027660499108860703,0.07429840500706643
Accl2_stdev,24.0,114.0,0.020372681862242815,0.047220221927452295,0.01384442329324219
Gyr0_stdev,25.0,73.0,2.6675413868594484,4.148384160174316,0.0527076972521292
Gyr1_stdev,19.0,114.0,4.241088375547623,13.465937075684518,0.01148293963254593
Gyr2_stdev,22.0,106.0,2.917371487927726,8.281821552401023,0.017044928207503477
Orien0_stdev,13.0,92.0,0.0,0.493089499890193,0.020078740157480315
Orien1_stdev,1.0,97.0,0.4074308114283134,2.367190221588335,0.011039857131260657
Orien2_stdev,22.0,88.0,0.31912841994224656,0.703056335711025,0.030085791514866615
EMG0_energy,6.0,43.0,710.5,2487.75,0.07708246995441359
EMG1_energy,16.0,37.0,1224.25,2673.0,0.1560486757337151
EMG2_energy,19.0,105.0,1367.75,11330.5,0.01592904335233958
EMG3_energy,66.0,101.0,3164.5,6432.5,0.0831146106736658
EMG4_energy,71.0,110.0,6724.75,11733.75,0.0716535433070866
EMG5_energy,64.0,99.0,14721.75,28264.75,0.0831146106736658
EMG6_energy,83.0,111.0,11755.25,30497.25,0.11077925604127072
EMG7_energy,34.0,67.0,1534.25,3370.5,0.08985641500694766
