Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,110.0,-1.946078431372549,0.3088235294117647,0.01148293963254593
EMG1_mean,21.0,54.0,-2.1960784313725488,-1.25,0.08985641500694766
EMG2_mean,3.0,43.0,-2.735294117647059,-1.2941176470588236,0.06913769925100827
EMG3_mean,0.0,51.0,-3.0294117647058822,-1.1519607843137254,0.04784978800726832
EMG4_mean,17.0,76.0,-2.357843137254902,-0.7156862745098039,0.037270341207349074
EMG5_mean,10.0,98.0,-4.210784313725491,0.20098039215686278,0.014863310625497657
EMG6_mean,11.0,108.0,-3.7892156862745097,0.6568627450980392,0.010605817130001608
EMG7_mean,9.0,121.0,-2.691176470588235,0.8725490196078431,0.005017071981046618
Accl0_mean,18.0,65.0,0.6611280147058823,0.7218951127450979,0.054461942257217844
Accl1_mean,127.0,130.0,-0.2660941029411765,-0.20487222696078422,1.0
Accl2_mean,118.0,124.0,0.6583539117647058,0.7196738823529412,0.5579302587176603
Gyr0_mean,127.0,130.0,6.155637254901961,8.901654411764705,1.0
Gyr1_mean,48.0,114.0,-1.8952205882352942,-0.21844362745098037,0.030085791514866615
Gyr2_mean,119.0,129.0,0.5655637254901961,3.6026348039215685,0.34359341445955616
Orien0_mean,127.0,130.0,78.93627450980392,81.29901960784314,1.0
Orien1_mean,67.0,112.0,43.56862745098039,48.60294117647059,0.058199246833276284
Orien2_mean,33.0,36.0,138.08823529411765,138.23039215686273,1.0
EMG0_min,25.0,118.0,-32.0,-12.0,0.012397386496900652
EMG1_min,49.0,120.0,-30.0,-11.0,0.025809273840769902
EMG2_min,6.0,67.0,-72.5,-24.0,0.03505207010414021
EMG3_min,4.0,61.0,-57.25,-24.0,0.039641596524572366
EMG4_min,15.0,89.0,-49.25,-21.0,0.023517060367454067
EMG5_min,3.0,78.0,-97.25,-33.75,0.022793203481143803
EMG6_min,0.0,17.0,-124.75,-62.5,0.19772528433945757
EMG7_min,26.0,71.0,-35.25,-18.0,0.058199246833276284
Accl0_min,34.0,62.0,0.56909175,0.61645525,0.11077925604127072
Accl1_min,43.0,95.0,-0.5319825,-0.4274905,0.04635269647897787
Accl2_min,90.0,119.0,0.51306175,0.5729982499999999,0.10603674540682413
Gyr0_min,5.0,60.0,-31.109375,-7.546875,0.042182227221597306
Gyr1_min,19.0,106.0,-43.78125,-17.015625,0.015390121689334284
Gyr2_min,6.0,69.0,-47.4375,-17.46875,0.03297244094488189
Orien0_min,111.0,126.0,74.0,76.0,0.2263779527559055
Orien1_min,51.0,96.0,40.0,44.0,0.058199246833276284
Orien2_min,30.0,33.0,132.5,137.0,1.0
EMG0_max,2.0,64.0,5.0,23.0,0.03399575053118361
EMG1_max,12.0,31.0,9.0,14.0,0.1748031496062992
EMG2_max,33.0,93.0,14.0,29.25,0.03614302310571834
EMG3_max,33.0,101.0,12.0,28.0,0.028300810224808855
EMG4_max,27.0,70.0,18.75,29.25,0.06227630637079455
EMG5_max,31.0,116.0,24.75,81.5,0.016480498077275224
EMG6_max,55.0,122.0,28.75,87.25,0.029180176007410838
EMG7_max,12.0,108.0,8.75,52.25,0.011039857131260657
Accl0_max,34.0,88.0,0.763916,0.81506325,0.04352183249821045
Accl1_max,126.0,130.0,-0.14172374999999998,-0.065185575,0.7937007874015748
Accl2_max,102.0,119.0,0.75317375,0.84350575,0.19772528433945757
Gyr0_max,126.0,130.0,53.984375,64.703125,0.7937007874015748
Gyr1_max,110.0,122.0,32.625,44.625,0.2858873410054512
Gyr2_max,119.0,127.0,40.5,54.90625,0.42694663167104113
Orien0_max,127.0,130.0,83.0,85.0,1.0
Orien1_max,81.0,100.0,49.0,51.0,0.1748031496062992
Orien2_max,33.0,44.0,139.75,142.25,0.3123359580052493
EMG0_stdev,5.0,45.0,3.5597552169473476,7.070528318466313,0.06913769925100827
EMG1_stdev,11.0,33.0,4.301067283315037,6.663733807992114,0.14789455665867854
EMG2_stdev,54.0,105.0,7.711844395056623,14.805937426048875,0.04784978800726832
EMG3_stdev,42.0,93.0,6.390258990219429,10.389001914125668,0.04784978800726832
EMG4_stdev,24.0,53.0,7.062772197427744,10.06472657838183,0.10603674540682413
EMG5_stdev,36.0,104.0,10.45984225266871,24.195107585845935,0.028300810224808855
EMG6_stdev,83.0,129.0,15.25175256476367,34.86694875657228,0.05629083598592729
EMG7_stdev,44.0,98.0,6.28512763306988,13.590463470880607,0.04352183249821045
Accl0_stdev,94.0,116.0,0.03719956713342219,0.05114151817897636,0.14789455665867854
Accl1_stdev,127.0,130.0,0.09619664074239369,0.1115568940128115,1.0
Accl2_stdev,111.0,130.0,0.04530091476096043,0.0753397459211131,0.1748031496062992
Gyr0_stdev,127.0,130.0,16.046158003803882,18.428981327151124,1.0
Gyr1_stdev,77.0,122.0,8.553088549309427,15.554320350509204,0.058199246833276284
Gyr2_stdev,119.0,126.0,12.008219061959556,16.404447385012475,0.484251968503937
Orien0_stdev,127.0,130.0,3.4571190975133543,4.503770116546983,1.0
Orien1_stdev,89.0,119.0,1.9417703444561427,3.1546362265722605,0.1016002032004064
Orien2_stdev,117.0,125.0,1.0603151174099132,2.3357187543680915,0.42694663167104113
EMG0_energy,10.0,44.0,823.75,2536.75,0.08638920134983127
EMG1_energy,12.0,32.0,1026.75,2299.75,0.1649793775778028
EMG2_energy,56.0,104.0,3133.25,11051.75,0.0527076972521292
EMG3_energy,53.0,92.0,2531.25,5609.0,0.0716535433070866
EMG4_energy,22.0,55.0,2479.0,5335.0,0.08985641500694766
EMG5_energy,35.0,102.0,5657.5,29275.25,0.029180176007410838
EMG6_energy,84.0,129.0,12297.75,134008.0,0.058199246833276284
EMG7_energy,48.0,97.0,2334.75,9033.5,0.051023622047244095
Accl0_energy,18.0,65.0,22.35501370193875,26.65203202658525,0.054461942257217844
Accl1_energy,0.0,11.0,2.5129321899305115,4.142667959087999,0.3123359580052493
Accl2_energy,118.0,124.0,22.1903375721285,26.590887474476002,0.5579302587176603
Gyr0_energy,127.0,130.0,15733.7578125,20990.1943359375,1.0
Gyr1_energy,71.0,119.0,3628.65234375,12143.6005859375,0.0527076972521292
Gyr2_energy,118.0,126.0,7358.3564453125,13789.0927734375,0.42694663167104113
Orien0_energy,127.0,130.0,318459.75,337872.5,1.0
Orien1_energy,67.0,112.0,97022.0,120626.75,0.058199246833276284
Orien2_energy,33.0,36.0,972552.0,974684.75,1.0
