Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,38.0,125.0,-1.338235294117647,1.0882352941176472,0.019390331890331892
EMG1_mean,4.0,124.0,-3.0441176470588234,1.8186274509803924,0.0032795487340941884
EMG2_mean,0.0,129.0,-5.117647058823529,4.627450980392157,0.00030525030525030417
EMG3_mean,6.0,110.0,-2.455882352941177,0.3529411764705882,0.009826152683295541
EMG4_mean,9.0,128.0,-2.8088235294117645,2.1715686274509807,0.003637566137566135
EMG5_mean,5.0,130.0,-5.78921568627451,4.318627450980392,0.0015747039556563381
EMG6_mean,2.0,128.0,-5.401960784313727,4.544117647058823,0.0012498437695288066
EMG7_mean,11.0,129.0,-2.6715686274509802,3.436274509803922,0.004001600640256103
Accl0_mean,5.0,57.0,0.6237888725490195,0.7076296470588234,0.05840071877807727
Accl1_mean,65.0,109.0,-0.38650333823529415,-0.3003552303921569,0.07583774250440917
Accl2_mean,111.0,125.0,0.6381883725490197,0.7278502058823528,0.30687830687830686
Gyr0_mean,49.0,124.0,0.4990808823529411,3.0150122549019605,0.028717627401837927
Gyr1_mean,0.0,24.0,-6.351409313725492,-2.9954044117647056,0.16825396825396824
Gyr2_mean,15.0,43.0,-1.6825980392156863,-0.6930147058823529,0.13957307060755336
Orien0_mean,102.0,120.0,74.81862745098039,78.30882352941177,0.23391812865497075
Orien1_mean,73.0,124.0,44.74509803921569,51.20098039215686,0.06028693528693529
Orien2_mean,5.0,16.0,96.27941176470591,105.03921568627452,0.39351851851851855
EMG0_min,15.0,49.0,-35.0,-23.0,0.108843537414966
EMG1_min,22.0,79.0,-46.25,-21.0,0.049945265462506834
EMG2_min,0.0,37.0,-99.5,-37.0,0.09711779448621553
EMG3_min,20.0,119.0,-42.25,-11.0,0.0123015873015873
EMG4_min,17.0,86.0,-48.25,-22.0,0.03458049886621316
EMG5_min,13.0,47.0,-80.5,-49.75,0.108843537414966
EMG6_min,6.0,47.0,-84.5,-35.75,0.08408919123204837
EMG7_min,20.0,46.0,-45.25,-25.75,0.15285126396237508
Accl0_min,0.0,11.0,-0.09948725,0.5147705,0.39351851851851855
Accl1_min,3.0,73.0,-0.7054445,-0.484985,0.03353454057679409
Accl2_min,115.0,126.0,0.55615225,0.63183575,0.39351851851851855
Gyr0_min,2.0,68.0,-36.25,-6.5625,0.03790570954750059
Gyr1_min,3.0,29.0,-67.046875,-37.484375,0.15285126396237508
Gyr2_min,15.0,66.0,-35.734375,-17.84375,0.06028693528693529
Orien0_min,90.0,129.0,73.0,77.0,0.09027777777777778
Orien1_min,84.0,127.0,43.0,50.25,0.07846320346320347
Orien2_min,5.0,16.0,95.0,102.25,0.39351851851851855
EMG0_max,81.0,120.0,26.75,43.5,0.09027777777777778
EMG1_max,42.0,116.0,17.0,50.0,0.029629629629629624
EMG2_max,86.0,129.0,28.0,107.0,0.07846320346320347
EMG3_max,62.0,118.0,18.75,37.25,0.05151768309663046
EMG4_max,52.0,124.0,24.75,56.0,0.031528593172428794
EMG5_max,90.0,129.0,58.75,121.0,0.09027777777777778
EMG6_max,84.0,129.0,38.0,103.5,0.0733264320220842
EMG7_max,74.0,125.0,24.0,77.0,0.06028693528693529
Accl0_max,0.0,130.0,0.65832475,1.0347870000000001,0.0
Accl1_max,70.0,119.0,-0.318848,-0.21423350000000002,0.06428571428571428
Accl2_max,118.0,128.0,0.81738275,0.9066160000000001,0.4329004329004329
Gyr0_max,47.0,123.0,13.65625,43.015625,0.02782931354359925
Gyr1_max,24.0,99.0,6.90625,28.5625,0.028717627401837927
Gyr2_max,4.0,90.0,3.21875,15.015625,0.020069330414158
Orien0_max,107.0,120.0,76.0,79.0,0.33163265306122447
Orien1_max,117.0,130.0,55.0,61.75,0.33163265306122447
Orien2_max,5.0,16.0,97.0,106.25,0.39351851851851855
EMG0_stdev,107.0,112.0,11.105507756948985,11.527184307960566,0.8267195767195767
EMG1_stdev,50.0,110.0,8.376061239552712,17.252997823222834,0.04553734061930783
EMG2_stdev,91.0,130.0,12.002624360979913,36.274132844085244,0.09027777777777778
EMG3_stdev,58.0,126.0,7.271252904064293,16.38154645984532,0.03565677478720957
EMG4_stdev,76.0,124.0,11.805284674400792,19.687492969643927,0.06640751538710722
EMG5_stdev,98.0,130.0,22.99020511451058,36.18121247171089,0.11784511784511784
EMG6_stdev,97.0,125.0,19.341290158687716,29.833172417935003,0.13957307060755336
EMG7_stdev,93.0,113.0,12.609504489397315,22.085260652208827,0.20786092214663643
Accl0_stdev,102.0,130.0,0.04074780309905112,0.12076286671980141,0.13957307060755336
