Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,12.0,100.0,-2.0735294117647056,0.00980392156862745,0.018726591760299626
EMG1_mean,22.0,107.0,-2.1519607843137254,0.3382352941176471,0.020764119601328904
EMG2_mean,48.0,115.0,-1.2205882352941175,0.8284313725490196,0.03676470588235294
EMG3_mean,67.0,127.0,-0.8627450980392157,1.9215686274509802,0.04553734061930783
EMG4_mean,39.0,128.0,-1.7450980392156865,3.0343137254901964,0.018077601410934743
EMG5_mean,26.0,118.0,-2.5833333333333335,1.8725490196078431,0.01621437105308073
EMG6_mean,25.0,106.0,-2.6176470588235294,0.6274509803921569,0.023712737127371278
EMG7_mean,15.0,93.0,-2.083333333333333,-0.36764705882352944,0.026120152702431183
Accl0_mean,126.0,130.0,0.808782818627451,0.8322418725490194,1.0
Accl1_mean,113.0,121.0,-0.29495536274509804,-0.27865068137254917,0.5379188712522045
Accl2_mean,0.0,4.0,0.4686303235294116,0.4944732647058825,1.0
Gyr0_mean,29.0,98.0,0.23131127450980393,1.2466299019607843,0.03458049886621316
Gyr1_mean,13.0,60.0,-3.761029411764706,-1.7447916666666667,0.06861772486772487
Gyr2_mean,42.0,102.0,-0.7107843137254902,0.17738970588235295,0.04553734061930783
Orien0_mean,92.0,99.0,74.02941176470588,74.62254901960785,0.6101190476190477
Orien1_mean,0.0,4.0,32.73529411764706,35.34803921568627,1.0
Orien2_mean,42.0,46.0,139.77450980392157,141.42647058823533,1.0
EMG0_min,58.0,116.0,-21.0,-12.75,0.048426150121065374
EMG1_min,57.0,95.0,-27.0,-17.0,0.09361009361009362
EMG2_min,47.0,120.0,-32.25,-11.0,0.030566280566280562
EMG3_min,50.0,114.0,-28.0,-11.75,0.04029304029304029
EMG4_min,49.0,99.0,-32.0,-20.0,0.06224712107065049
EMG5_min,51.0,98.0,-48.25,-24.75,0.06861772486772487
EMG6_min,52.0,93.0,-34.25,-21.75,0.08408919123204837
EMG7_min,59.0,109.0,-22.0,-12.0,0.06224712107065049
Accl0_min,122.0,130.0,0.7269285000000001,0.7717285,0.5379188712522045
Accl1_min,102.0,125.0,-0.4191895,-0.34655775000000005,0.17691798941798942
Accl2_min,2.0,26.0,0.37097199999999997,0.452881,0.16825396825396824
Gyr0_min,55.0,103.0,-8.28125,-4.28125,0.06640751538710722
Gyr1_min,16.0,99.0,-47.265625,-20.625,0.022203325774754343
Gyr2_min,61.0,95.0,-19.8125,-11.90625,0.108843537414966
Orien0_min,91.0,109.0,73.0,74.0,0.23391812865497075
Orien1_min,0.0,5.0,29.75,34.25,0.8267195767195767
Orien2_min,39.0,46.0,137.75,139.25,0.6101190476190477
EMG0_max,35.0,105.0,15.0,32.25,0.03353454057679409
EMG1_max,15.0,58.0,10.0,22.0,0.07846320346320347
EMG2_max,33.0,66.0,14.0,22.0,0.11321195144724557
EMG3_max,57.0,121.0,18.0,40.25,0.04029304029304029
EMG4_max,45.0,116.0,23.0,50.25,0.032517636684303346
EMG5_max,43.0,100.0,32.0,65.25,0.049945265462506834
EMG6_max,22.0,63.0,19.0,31.25,0.08408919123204837
EMG7_max,14.0,65.0,9.75,21.0,0.06028693528693529
Accl0_max,108.0,128.0,0.835938,0.90624975,0.20786092214663643
Accl1_max,98.0,121.0,-0.25610325,-0.20947275,0.17691798941798942
Accl2_max,1.0,12.0,0.5482175,0.5894772500000001,0.39351851851851855
Gyr0_max,13.0,67.0,7.5,17.28125,0.054834054834054825
Gyr1_max,15.0,87.0,5.90625,20.453125,0.031528593172428794
Gyr2_max,7.0,106.0,4.046875,24.25,0.0123015873015873
Orien0_max,100.0,104.0,75.0,75.25,1.0
Orien1_max,0.0,16.0,37.0,41.0,0.2661064425770308
Orien2_max,37.0,48.0,140.75,143.25,0.39351851851851855
EMG0_stdev,25.0,71.0,5.925283635416335,8.677091436915756,0.07092198581560283
EMG1_stdev,35.0,75.0,6.677490372553281,10.73800955877794,0.08710801393728224
EMG2_stdev,29.0,63.0,6.044992844726538,8.595309443372967,0.108843537414966
EMG3_stdev,46.0,86.0,6.743381525654539,9.45258276661998,0.08710801393728224
EMG4_stdev,49.0,110.0,9.555685988674758,15.201457617118876,0.044162826420890935
EMG5_stdev,62.0,78.0,16.229722251627596,19.235327956340736,0.2661064425770308
EMG6_stdev,40.0,68.0,9.32283464739456,12.4306030976908,0.13957307060755336
EMG7_stdev,14.0,60.0,4.592718837586309,7.421662520337395,0.07092198581560283
Accl0_stdev,25.0,91.0,0.01892481279704468,0.03669403994590952,0.03790570954750059
Accl1_stdev,41.0,69.0,0.018872642813295037,0.026846710220915292,0.13957307060755336
Accl2_stdev,36.0,117.0,0.02406961181736915,0.05147141674345737,0.023712737127371278
Gyr0_stdev,18.0,52.0,2.525015199251017,3.562266887923621,0.108843537414966
Gyr1_stdev,34.0,90.0,6.200527244720954,9.366935737828783,0.05151768309663046
Gyr2_stdev,26.0,74.0,3.045714284939096,5.418129835294222,0.06640751538710722
Orien0_stdev,27.0,93.0,0.2376354103144016,0.49308949989019313,0.03790570954750059
Orien1_stdev,72.0,126.0,1.5592771139037416,3.6057169088734757,0.054834054834054825
Orien2_stdev,37.0,117.0,0.41679668169696366,1.1054095968299886,0.02449539486576523
EMG0_energy,23.0,68.0,1766.75,3758.5,0.0733264320220842
EMG1_energy,35.0,73.0,2428.0,5770.25,0.09361009361009362
EMG2_energy,27.0,62.0,1838.0,3771.25,0.10471781305114637
EMG3_energy,49.0,84.0,2436.25,4480.25,0.10471781305114637
EMG4_energy,49.0,112.0,4666.5,12127.0,0.04154265873015873
EMG5_energy,60.0,78.0,13193.25,18847.5,0.23391812865497075
EMG6_energy,39.0,66.0,4375.75,7898.0,0.1459750566893424
EMG7_energy,20.0,61.0,1226.0,2927.5,0.08408919123204837
Accl0_energy,126.0,130.0,33.39042181083725,35.369494169903,1.0
Accl1_energy,7.0,16.0,3.979356779964749,4.449134014469751,0.4801587301587302
Accl2_energy,0.0,4.0,11.3520647444505,12.525262909614504,1.0
Gyr0_energy,17.0,57.0,322.322265625,709.845703125,0.08710801393728224
Gyr1_energy,35.0,86.0,2098.5263671875,4607.23046875,0.06028693528693529
Gyr2_energy,26.0,72.0,485.6328125,1465.9423828125,0.07092198581560283
Orien0_energy,92.0,99.0,279502.5,284006.75,0.6101190476190477
Orien1_energy,0.0,4.0,55410.5,63880.75,1.0
Orien2_energy,42.0,46.0,996424.0,1020102.75,1.0
