Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,60.0,106.0,-0.8088235294117646,0.22058823529411767,0.05629083598592729
EMG1_mean,97.0,125.0,0.024509803921568627,2.4411764705882355,0.11077925604127072
EMG2_mean,83.0,120.0,-0.5735294117647058,1.754901960784314,0.07708246995441359
EMG3_mean,30.0,120.0,-1.5686274509803921,0.9950980392156863,0.01384442329324219
EMG4_mean,12.0,122.0,-2.6666666666666665,1.1813725490196079,0.005674966304887562
EMG5_mean,17.0,110.0,-3.0882352941176476,0.7156862745098039,0.012397386496900652
EMG6_mean,54.0,118.0,-1.4019607843137254,1.176470588235294,0.03198061780738946
EMG7_mean,47.0,110.0,-1.1421568627450982,0.2058823529411765,0.03297244094488189
Accl0_mean,83.0,92.0,0.7427284362745099,0.7488032107843138,0.3811023622047244
Accl1_mean,43.0,53.0,-0.4091629411764706,-0.39729579901960776,0.34359341445955616
Accl2_mean,20.0,23.0,0.5368101960784315,0.5398308039215687,1.0
Gyr0_mean,48.0,92.0,0.45496323529411764,1.0582107843137256,0.06019247594050743
Gyr1_mean,61.0,78.0,-1.7417279411764706,-1.325061274509804,0.19772528433945757
Gyr2_mean,84.0,121.0,-0.07291666666666667,0.8253676470588235,0.07708246995441359
Orien0_mean,32.0,35.0,70.98039215686275,71.00490196078431,1.0
Orien1_mean,42.0,57.0,41.34803921568628,42.13725490196079,0.2263779527559055
Orien2_mean,73.0,82.0,152.77450980392157,153.85294117647058,0.3811023622047244
EMG0_min,30.0,96.0,-29.25,-15.75,0.030085791514866615
EMG1_min,45.0,110.0,-31.25,-14.75,0.031018849916487713
EMG2_min,13.0,123.0,-55.0,-10.0,0.005674966304887562
EMG3_min,18.0,111.0,-43.0,-13.0,0.012397386496900652
EMG4_min,7.0,34.0,-60.0,-37.0,0.1158605174353206
EMG5_min,1.0,77.0,-100.0,-34.75,0.022088148072400043
EMG6_min,65.0,122.0,-29.25,-13.0,0.039641596524572366
EMG7_min,100.0,123.0,-13.0,-9.0,0.14041994750656167
Accl0_min,83.0,104.0,0.6523435,0.69653325,0.1560486757337151
Accl1_min,35.0,88.0,-0.5385742499999999,-0.450684,0.04491105278506854
Accl2_min,49.0,76.0,0.476196,0.50415025,0.1158605174353206
Gyr0_min,57.0,128.0,-7.875,-2.0,0.025809273840769902
Gyr1_min,70.0,109.0,-27.53125,-15.90625,0.0716535433070866
Gyr2_min,80.0,122.0,-15.75,-6.875,0.06445705914667643
Orien0_min,42.0,52.0,71.0,71.0,0.34359341445955616
Orien1_min,50.0,65.0,40.0,41.0,0.2263779527559055
Orien2_min,71.0,84.0,150.75,152.25,0.26321709786276715
EMG0_max,74.0,103.0,24.0,32.0,0.10603674540682413
EMG1_max,69.0,84.0,27.0,31.0,0.2263779527559055
EMG2_max,8.0,101.0,8.75,34.25,0.012397386496900652
EMG3_max,21.0,72.0,11.0,21.25,0.04784978800726832
EMG4_max,78.0,129.0,31.0,64.25,0.04784978800726832
EMG5_max,27.0,119.0,21.75,86.25,0.01286935907205148
EMG6_max,3.0,93.0,13.0,44.0,0.01384442329324219
EMG7_max,8.0,50.0,8.0,18.0,0.06445705914667643
Accl0_max,45.0,70.0,0.7770995,0.79516625,0.12719563900666261
Accl1_max,25.0,42.0,-0.38781775,-0.35693375,0.19772528433945757
Accl2_max,17.0,55.0,0.5980225,0.64135725,0.07429840500706643
Gyr0_max,25.0,63.0,9.890625,16.671875,0.07429840500706643
Gyr1_max,0.0,37.0,1.4375,9.015625,0.07708246995441359
Gyr2_max,19.0,97.0,5.859375,20.203125,0.020731585766969002
Orien0_max,22.0,26.0,70.75,71.0,0.7937007874015748
Orien1_max,36.0,50.0,44.0,46.0,0.24356955380577425
Orien2_max,72.0,81.0,153.75,154.25,0.3811023622047244
EMG0_stdev,72.0,109.0,8.706148048581095,11.30845978126439,0.07708246995441359
EMG1_stdev,51.0,84.0,8.487695044447694,11.604216259491732,0.08985641500694766
EMG2_stdev,12.0,103.0,4.617263321466362,14.3606408304739,0.013351591920575149
EMG3_stdev,23.0,89.0,5.4050553657982485,9.970436305431944,0.030085791514866615
EMG4_stdev,115.0,121.0,15.763983388402176,18.17825874846097,0.5579302587176603
