Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,17.0,98.0,-1.784313725490196,-0.014705882352941176,0.018820818129441138
EMG1_mean,34.0,87.0,-1.7696078431372548,-0.3137254901960784,0.04491105278506854
EMG2_mean,11.0,116.0,-2.1568627450980387,1.1274509803921569,0.007428316743425941
EMG3_mean,4.0,116.0,-2.563725490196078,0.7009803921568627,0.005017071981046618
EMG4_mean,69.0,110.0,-0.8872549019607843,0.5392156862745098,0.0667416572928384
EMG5_mean,45.0,111.0,-1.7058823529411764,0.7843137254901962,0.030085791514866615
EMG6_mean,36.0,86.0,-2.0441176470588234,-0.22549019607843135,0.04940558900725645
EMG7_mean,55.0,106.0,-1.0441176470588238,-0.05882352941176471,0.04784978800726832
Accl0_mean,65.0,105.0,0.7212273039215684,0.7637460882352941,0.06913769925100827
Accl1_mean,44.0,76.0,-0.4088829019607843,-0.36989451470588247,0.09353376282510141
Accl2_mean,17.0,61.0,0.5358623284313726,0.5678184166666667,0.06019247594050743
Gyr0_mean,37.0,114.0,0.3121936274509804,1.549938725490196,0.021401171007470222
Gyr1_mean,44.0,101.0,-2.003676470588235,-0.6014093137254901,0.039641596524572366
Gyr2_mean,34.0,81.0,-0.8777573529411765,-0.12316176470588237,0.054461942257217844
Orien0_mean,47.0,63.0,71.68137254901961,72.31372549019608,0.2112088930060213
Orien1_mean,29.0,65.0,39.990196078431374,43.490196078431374,0.08001702489891466
Orien2_mean,77.0,102.0,153.4607843137255,155.3823529411765,0.12719563900666261
EMG0_min,16.0,125.0,-35.0,-9.75,0.006012884753042233
EMG1_min,25.0,40.0,-44.0,-33.75,0.2263779527559055
EMG2_min,51.0,72.0,-31.0,-22.75,0.1560486757337151
EMG3_min,3.0,42.0,-58.5,-29.0,0.0716535433070866
EMG4_min,7.0,44.0,-60.0,-34.0,0.07708246995441359
EMG5_min,80.0,108.0,-33.0,-20.0,0.11077925604127072
EMG6_min,81.0,97.0,-25.0,-21.0,0.2112088930060213
EMG7_min,16.0,65.0,-53.25,-19.0,0.051023622047244095
Accl0_min,79.0,116.0,0.6418455000000001,0.71618625,0.07708246995441359
Accl1_min,36.0,77.0,-0.53698725,-0.47253425000000004,0.0667416572928384
Accl2_min,25.0,84.0,0.451782,0.507812,0.037270341207349074
Gyr0_min,70.0,127.0,-6.5625,-2.0,0.039641596524572366
Gyr1_min,66.0,93.0,-28.765625,-21.859375,0.1158605174353206
Gyr2_min,41.0,106.0,-25.71875,-10.5,0.031018849916487713
Orien0_min,33.0,50.0,70.75,71.0,0.19772528433945757
Orien1_min,19.0,57.0,37.0,40.0,0.07429840500706643
Orien2_min,76.0,96.0,152.0,154.0,0.1649793775778028
EMG0_max,19.0,50.0,12.0,20.0,0.09744094488188976
EMG1_max,79.0,118.0,30.0,52.0,0.0716535433070866
EMG2_max,51.0,82.0,17.75,26.25,0.09744094488188976
EMG3_max,85.0,115.0,23.0,36.0,0.1016002032004064
EMG4_max,50.0,129.0,24.0,66.75,0.020078740157480315
EMG5_max,13.0,112.0,16.75,75.25,0.009763779527559057
EMG6_max,34.0,70.0,21.0,34.0,0.08001702489891466
EMG7_max,77.0,122.0,25.0,73.25,0.058199246833276284
Accl0_max,64.0,84.0,0.792236,0.8120115,0.1649793775778028
Accl1_max,40.0,81.0,-0.35852025,-0.295288,0.0667416572928384
Accl2_max,34.0,74.0,0.620239,0.67248525,0.06913769925100827
Gyr0_max,37.0,102.0,11.890625,24.234375,0.031018849916487713
Gyr1_max,21.0,60.0,6.234375,13.71875,0.0716535433070866
Gyr2_max,18.0,85.0,5.8125,14.59375,0.029180176007410838
Orien0_max,46.0,69.0,72.0,73.0,0.14041994750656167
Orien1_max,40.0,58.0,44.75,47.0,0.18566100290095316
Orien2_max,75.0,101.0,154.0,156.0,0.12131816856226306
EMG0_stdev,22.0,64.0,5.69351304808324,8.195813803197446,0.06445705914667643
EMG1_stdev,96.0,104.0,13.36056462060154,15.027325433167318,0.42694663167104113
EMG2_stdev,70.0,82.0,9.048821291343858,10.099653010275564,0.2858873410054512
EMG3_stdev,109.0,124.0,11.834030156670991,15.610854842379451,0.2263779527559055
EMG4_stdev,83.0,124.0,12.478467124625881,20.337011625394805,0.0667416572928384
EMG5_stdev,23.0,51.0,8.158302414172729,14.388911674637578,0.11077925604127072
EMG6_stdev,29.0,62.0,8.781139527772854,11.797424042901262,0.08985641500694766
EMG7_stdev,85.0,112.0,10.989617237887927,20.18978015745731,0.1158605174353206
Accl0_stdev,17.0,81.0,0.01612859450124748,0.03229096501047807,0.03198061780738946
Accl1_stdev,37.0,108.0,0.01798078548514334,0.04424312062588737,0.025809273840769902
Accl2_stdev,28.0,77.0,0.02216218806148819,0.03253564848344386,0.051023622047244095
Gyr0_stdev,29.0,94.0,2.7595895717063987,4.750389309333092,0.031018849916487713
Gyr1_stdev,40.0,63.0,6.4583377742523655,8.089617105558414,0.14041994750656167
Gyr2_stdev,15.0,104.0,2.604127115372968,8.156856078807614,0.014348206474190724
Orien0_stdev,46.0,101.0,0.3216960520015417,0.5031264573407035,0.042182227221597306
Orien1_stdev,45.0,107.0,1.1481435101703736,2.6677546446809552,0.03399575053118361
Orien2_stdev,54.0,106.0,0.5025425550218044,0.8583205945446455,0.04635269647897787
EMG0_energy,21.0,64.0,1650.75,3525.75,0.06227630637079455
EMG1_energy,96.0,103.0,9049.25,11484.0,0.484251968503937
EMG2_energy,68.0,80.0,4148.75,5114.5,0.2858873410054512
EMG3_energy,109.0,123.0,7319.75,12214.25,0.24356955380577425
EMG4_energy,82.0,124.0,7866.0,21374.25,0.06445705914667643
EMG5_energy,23.0,51.0,3365.75,10410.0,0.11077925604127072
EMG6_energy,29.0,61.0,3884.5,7087.5,0.09353376282510141
EMG7_energy,84.0,111.0,6018.0,20474.5,0.1158605174353206
Accl0_energy,65.0,105.0,26.574558729538005,29.794694302078497,0.06913769925100827
Accl1_energy,56.0,87.0,7.096129473927252,8.5905635463105,0.09744094488188976
Accl2_energy,17.0,61.0,14.688816536732249,16.472287271228748,0.06019247594050743
Gyr0_energy,27.0,93.0,387.4794921875,1166.8779296875,0.030085791514866615
Gyr1_energy,40.0,65.0,2296.2548828125,3463.6728515625,0.12719563900666261
Gyr2_energy,14.0,104.0,340.3828125,3368.146484375,0.01384442329324219
Orien0_energy,47.0,63.0,262060.25,266707.0,0.2112088930060213
Orien1_energy,29.0,65.0,81856.5,96654.0,0.08001702489891466
Orien2_energy,77.0,102.0,1201075.5,1231347.0,0.12719563900666261
