Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,31.0,119.0,-1.4313725490196076,0.6470588235294118,0.01902149871715474
EMG1_mean,6.0,105.0,-2.7598039215686274,0.2647058823529412,0.01259842519685039
EMG2_mean,13.0,119.0,-2.0980392156862746,1.4264705882352942,0.00919861652807418
EMG3_mean,50.0,122.0,-1.1764705882352942,1.1519607843137256,0.03181965268040125
EMG4_mean,7.0,113.0,-3.0,0.6176470588235294,0.00919861652807418
EMG5_mean,1.0,86.0,-6.794117647058824,-0.0392156862745098,0.02105841420985168
EMG6_mean,1.0,99.0,-7.15686274509804,0.27941176470588236,0.013123359580052495
EMG7_mean,25.0,100.0,-1.803921568627451,-0.21078431372549022,0.029009531703273934
Accl0_mean,73.0,109.0,0.7320915882352941,0.7644115196078431,0.10108533730580975
Accl1_mean,90.0,115.0,-0.3414186568627451,-0.293969274509804,0.16050878255602663
Accl2_mean,70.0,104.0,0.5726916421568626,0.6058397107843138,0.10911136107986502
Gyr0_mean,4.0,54.0,-0.8658088235294118,0.6354166666666666,0.06252894858730894
Gyr1_mean,2.0,39.0,-4.905943627450981,-2.1933210784313726,0.09738914214670534
Gyr2_mean,32.0,121.0,-0.920343137254902,0.767156862745098,0.018372703412073487
Orien0_mean,89.0,113.0,73.96078431372548,76.02941176470588,0.168503937007874
Orien1_mean,14.0,43.0,38.48039215686275,41.42156862745098,0.13385826771653545
Orien2_mean,25.0,29.0,119.99019607843137,134.42647058823528,1.0
EMG0_min,9.0,85.0,-40.75,-17.75,0.028121484814398197
EMG1_min,37.0,91.0,-35.0,-18.0,0.05511811023622047
EMG2_min,1.0,46.0,-89.5,-32.75,0.07360492981855529
EMG3_min,12.0,108.0,-48.0,-13.75,0.014205698514489811
EMG4_min,15.0,106.0,-50.5,-18.0,0.017117425539198903
EMG5_min,1.0,32.0,-100.0,-61.0,0.12303149606299213
EMG6_min,10.0,46.0,-70.5,-37.0,0.10108533730580975
EMG7_min,61.0,92.0,-21.0,-14.0,0.12303149606299213
Accl0_min,35.0,75.0,0.570068,0.63647425,0.087382369886691
Accl1_min,38.0,113.0,-0.53491225,-0.38378924999999997,0.029009531703273934
Accl2_min,9.0,40.0,0.405151,0.46264625,0.12303149606299213
Gyr0_min,4.0,47.0,-32.5,-9.421875,0.07874015748031496
Gyr1_min,1.0,43.0,-80.734375,-34.65625,0.08148690715986083
Gyr2_min,45.0,95.0,-24.40625,-12.078125,0.06252894858730894
