Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,21.0,123.0,-2.1421568627450975,1.5147058823529411,0.010787486515641858
EMG1_mean,7.0,119.0,-3.882352941176471,1.5098039215686274,0.006321112515802781
EMG2_mean,12.0,93.0,-5.299019607843137,0.12254901960784313,0.023712737127371278
EMG3_mean,17.0,99.0,-1.7058823529411764,-0.4460784313725491,0.02294893861158922
EMG4_mean,28.0,101.0,-1.4901960784313726,-0.2156862745098039,0.030566280566280562
EMG5_mean,9.0,71.0,-5.808823529411765,-0.6617647058823529,0.04283194759385236
EMG6_mean,4.0,69.0,-6.019607843137256,-0.5294117647058824,0.03908128908128908
EMG7_mean,26.0,100.0,-3.2156862745098036,-0.28431372549019607,0.029629629629629624
Accl0_mean,48.0,57.0,0.7318665147058824,0.7390424411764706,0.4801587301587302
Accl1_mean,61.0,79.0,-0.3972695392156863,-0.35493500000000006,0.23391812865497075
Accl2_mean,101.0,112.0,0.558804387254902,0.5839316960784314,0.39351851851851855
Gyr0_mean,24.0,84.0,-0.35355392156862747,0.23590686274509803,0.04553734061930783
Gyr1_mean,75.0,125.0,-0.2536764705882353,0.6936274509803921,0.06224712107065049
Gyr2_mean,53.0,106.0,-0.6675857843137254,-0.0232843137254902,0.056584362139917695
Orien0_mean,56.0,91.0,71.69117647058823,73.33823529411765,0.10471781305114637
Orien1_mean,74.0,82.0,42.09313725490197,42.94117647058823,0.5379188712522045
Orien2_mean,37.0,54.0,110.08823529411767,113.4607843137255,0.24911816578483242
EMG0_min,10.0,36.0,-57.5,-31.75,0.15285126396237508
EMG1_min,2.0,53.0,-92.5,-29.0,0.06028693528693529
EMG2_min,18.0,102.0,-88.25,-28.75,0.021475256769374416
EMG3_min,20.0,74.0,-27.25,-14.0,0.054834054834054825
EMG4_min,11.0,78.0,-46.25,-17.0,0.03676470588235294
EMG5_min,9.0,73.0,-106.25,-43.0,0.04029304029304029
EMG6_min,33.0,90.0,-61.0,-32.0,0.049945265462506834
EMG7_min,17.0,52.0,-73.25,-47.0,0.10471781305114637
Accl0_min,48.0,69.0,0.6947019999999999,0.721802,0.19660894660894662
Accl1_min,69.0,85.0,-0.43774425,-0.408203,0.2661064425770308
Accl2_min,95.0,111.0,0.514404,0.5433352499999999,0.2661064425770308
Gyr0_min,20.0,123.0,-11.015625,-2.203125,0.010302197802197804
Gyr1_min,23.0,100.0,-19.4375,-7.8125,0.026963776963776966
Gyr2_min,32.0,101.0,-14.9375,-6.796875,0.03458049886621316
Orien0_min,65.0,104.0,71.0,73.0,0.09027777777777778
Orien1_min,67.0,85.0,40.75,42.25,0.23391812865497075
Orien2_min,44.0,55.0,110.0,113.25,0.39351851851851855
EMG0_max,54.0,109.0,23.0,50.5,0.05314625850340136
EMG1_max,54.0,125.0,28.0,97.75,0.032517636684303346
EMG2_max,27.0,93.0,32.75,77.25,0.03790570954750059
EMG3_max,16.0,88.0,7.0,19.25,0.031528593172428794
EMG4_max,20.0,115.0,9.0,46.0,0.014467592592592594
EMG5_max,33.0,108.0,32.75,96.25,0.028717627401837927
EMG6_max,2.0,81.0,14.25,59.0,0.025297619047619048
EMG7_max,20.0,90.0,25.0,55.0,0.03353454057679409
Accl0_max,53.0,63.0,0.76684575,0.7783205,0.4329004329004329
Accl1_max,58.0,83.0,-0.37316925,-0.298584,0.16025641025641027
Accl2_max,91.0,111.0,0.598511,0.64074725,0.20786092214663643
Gyr0_max,13.0,93.0,3.578125,13.15625,0.02449539486576523
Gyr1_max,53.0,97.0,4.96875,6.96875,0.07583774250440917
Gyr2_max,55.0,89.0,6.609375,10.765625,0.108843537414966
Orien0_max,57.0,102.0,72.0,74.0,0.0733264320220842
