Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,16.0,127.0,-2.411764705882353,2.2941176470588234,0.006731859410430838
EMG1_mean,5.0,105.0,-4.509803921568627,0.2647058823529412,0.01178689297501179
EMG2_mean,5.0,114.0,-5.960784313725491,1.4558823529411764,0.0075757575757575725
EMG3_mean,8.0,114.0,-2.063725490196078,-0.21078431372549022,0.008900756564307968
EMG4_mean,22.0,55.0,-1.700980392156863,-0.9803921568627452,0.11321195144724557
EMG5_mean,15.0,107.0,-4.446078431372548,0.9607843137254902,0.01621437105308073
EMG6_mean,11.0,110.0,-3.7794117647058827,1.196078431372549,0.0123015873015873
EMG7_mean,25.0,105.0,-3.3578431372549016,0.07352941176470588,0.02449539486576523
Accl0_mean,70.0,82.0,0.7645191960784313,0.7760034264705882,0.3601953601953602
Accl1_mean,42.0,48.0,-0.43480728431372556,-0.4270857598039215,0.7029478458049886
Accl2_mean,16.0,21.0,0.46646653921568626,0.48317822549019607,0.8267195767195767
Gyr0_mean,10.0,89.0,-0.571078431372549,0.2818627450980392,0.025297619047619048
Gyr1_mean,45.0,84.0,-0.5655637254901961,-0.13357843137254902,0.09027777777777778
Gyr2_mean,75.0,113.0,-0.4430147058823529,0.08486519607843138,0.09361009361009362
Orien0_mean,24.0,34.0,68.0,68.42156862745098,0.4329004329004329
Orien1_mean,49.0,63.0,38.823529411764696,39.94607843137254,0.30687830687830686
Orien2_mean,69.0,75.0,118.53431372549021,119.00980392156862,0.7029478458049886
EMG0_min,80.0,104.0,-18.0,-13.0,0.16825396825396824
EMG1_min,44.0,126.0,-34.5,-9.75,0.02294893861158922
EMG2_min,55.0,117.0,-54.0,-20.75,0.04283194759385236
EMG3_min,39.0,126.0,-22.0,-7.0,0.019390331890331892
EMG4_min,18.0,104.0,-38.0,-12.0,0.020069330414158
EMG5_min,5.0,83.0,-113.25,-35.75,0.026120152702431183
EMG6_min,16.0,105.0,-85.5,-26.75,0.018077601410934743
EMG7_min,47.0,121.0,-49.25,-21.75,0.029629629629629624
Accl0_min,82.0,96.0,0.7454830000000001,0.75647,0.30687830687830686
Accl1_min,45.0,60.0,-0.4870605,-0.455078,0.28521825396825395
Accl2_min,21.0,46.0,0.42285125,0.458496,0.16025641025641027
Gyr0_min,33.0,104.0,-9.734375,-4.0,0.032517636684303346
Gyr1_min,27.0,102.0,-17.796875,-7.6875,0.028717627401837927
Gyr2_min,71.0,108.0,-9.515625,-5.875,0.09711779448621553
Orien0_min,34.0,38.0,68.0,68.0,1.0
Orien1_min,47.0,59.0,38.0,39.0,0.3601953601953602
Orien2_min,70.0,79.0,117.75,119.0,0.4801587301587302
EMG0_max,31.0,84.0,17.0,29.0,0.056584362139917695
EMG1_max,6.0,69.0,8.75,32.25,0.04154265873015873
EMG2_max,9.0,76.0,13.0,63.25,0.03676470588235294
EMG3_max,7.0,75.0,5.0,14.25,0.03565677478720957
EMG4_max,23.0,74.0,9.75,23.0,0.06028693528693529
EMG5_max,37.0,86.0,34.0,69.25,0.06428571428571428
EMG6_max,55.0,80.0,45.75,59.0,0.16025641025641027
EMG7_max,28.0,57.0,27.0,39.0,0.13359788359788358
Accl0_max,64.0,82.0,0.7802735,0.8067629999999999,0.23391812865497075
Accl1_max,37.0,59.0,-0.410767,-0.3709715,0.1863354037267081
Accl2_max,13.0,85.0,0.4951175,0.591675,0.031528593172428794
Gyr0_max,6.0,81.0,2.609375,11.328125,0.028717627401837927
Gyr1_max,47.0,102.0,4.671875,7.875,0.05314625850340136
Gyr2_max,7.0,42.0,2.296875,5.953125,0.10471781305114637
Orien0_max,17.0,29.0,67.75,69.0,0.3601953601953602
Orien1_max,37.0,57.0,39.75,41.0,0.20786092214663643
Orien2_max,65.0,69.0,119.0,119.25,1.0
EMG0_stdev,37.0,57.0,6.556466604639937,8.579146605847793,0.20786092214663643
EMG1_stdev,3.0,66.0,3.7525060056270703,10.610172382930344,0.04154265873015873
EMG2_stdev,20.0,89.0,8.49298322519474,25.659303608333182,0.03458049886621316
EMG3_stdev,7.0,61.0,2.953137961911149,5.608413898543679,0.054834054834054825
EMG4_stdev,25.0,74.0,4.676350826943419,8.732855306174756,0.06428571428571428
EMG5_stdev,50.0,92.0,15.943528405118712,25.686243423786138,0.0812107788851975
EMG6_stdev,40.0,80.0,13.450410078364124,20.145182180512364,0.08710801393728224
EMG7_stdev,17.0,66.0,10.549430270333644,17.564835027760708,0.06428571428571428
Accl0_stdev,8.0,37.0,0.006306042273099992,0.008937668672101213,0.13359788359788358
Accl1_stdev,7.0,71.0,0.00848788016195626,0.01472033423495676,0.04029304029304029
Accl2_stdev,19.0,110.0,0.009639768355088809,0.02106482269422464,0.01682194616977226
Gyr0_stdev,16.0,69.0,1.5074609157002552,2.373676978564023,0.056584362139917695
Gyr1_stdev,23.0,84.0,2.018113850965533,3.3901141393231367,0.044162826420890935
Gyr2_stdev,13.0,42.0,1.635031161810594,2.3529984422963977,0.13359788359788358
Orien0_stdev,14.0,111.0,0.0,0.4988127988733022,0.01336248785228377
Orien1_stdev,6.0,50.0,0.19603921176392156,0.45070750482098754,0.07583774250440917
Orien2_stdev,4.0,77.0,0.0,0.47609522856952324,0.030566280566280562
EMG0_energy,38.0,62.0,2284.5,3967.0,0.16825396825396824
EMG1_energy,3.0,69.0,809.0,6546.5,0.03790570954750059
EMG2_energy,20.0,91.0,3818.25,34538.25,0.032517636684303346
EMG3_energy,5.0,65.0,441.5,1798.75,0.04553734061930783
EMG4_energy,25.0,73.0,1141.75,3887.75,0.06640751538710722
EMG5_energy,48.0,90.0,12738.25,32992.25,0.0812107788851975
EMG6_energy,39.0,80.0,9107.75,20324.0,0.08408919123204837
EMG7_energy,19.0,65.0,5895.75,15617.75,0.07092198581560283
Accl0_energy,70.0,82.0,29.813878168987994,30.713694611004254,0.3601953601953602
Accl1_energy,82.0,88.0,9.311525601364751,9.6477807286845,0.7029478458049886
Accl2_energy,15.0,21.0,11.079242580300502,11.926584708698499,0.7029478458049886
Gyr0_energy,14.0,70.0,113.021484375,300.7294921875,0.05151768309663046
Gyr1_energy,22.0,83.0,204.5078125,582.9580078125,0.044162826420890935
Gyr2_energy,11.0,39.0,133.8583984375,285.033203125,0.13957307060755336
Orien0_energy,24.0,34.0,235824.0,238806.5,0.4329004329004329
Orien1_energy,49.0,63.0,76887.5,81386.25,0.30687830687830686
Orien2_energy,69.0,75.0,716582.25,722359.0,0.7029478458049886
