Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,19.0,76.0,-2.2990196078431375,-0.7401960784313726,0.049945265462506834
EMG1_mean,23.0,98.0,-2.225490196078431,-0.1519607843137255,0.028717627401837927
EMG2_mean,38.0,104.0,-1.8921568627450982,0.6127450980392157,0.03790570954750059
EMG3_mean,34.0,94.0,-1.2352941176470589,-0.5490196078431373,0.04553734061930783
EMG4_mean,50.0,93.0,-1.0980392156862746,-0.42647058823529416,0.07846320346320347
EMG5_mean,45.0,100.0,-1.5098039215686274,0.4166666666666667,0.05314625850340136
EMG6_mean,31.0,79.0,-2.0049019607843137,-0.38725490196078427,0.06640751538710722
EMG7_mean,23.0,106.0,-3.6470588235294117,0.19117647058823528,0.022203325774754343
Accl0_mean,113.0,119.0,0.8067531666666667,0.8444727794117646,0.7029478458049886
Accl1_mean,111.0,123.0,-0.282595112745098,-0.14429193529411766,0.3601953601953602
Accl2_mean,38.0,65.0,0.505442931372549,0.5219702500000001,0.1459750566893424
Gyr0_mean,18.0,109.0,-0.4558823529411764,0.4534313725490196,0.01682194616977226
Gyr1_mean,13.0,85.0,-0.9136029411764707,-0.12928921568627455,0.031528593172428794
Gyr2_mean,6.0,88.0,-1.592218137254902,-0.24019607843137256,0.02294893861158922
Orien0_mean,110.0,124.0,75.50980392156862,82.04901960784312,0.30687830687830686
Orien1_mean,11.0,16.0,31.034313725490197,35.602941176470594,0.8267195767195767
Orien2_mean,9.0,46.0,104.99019607843135,111.56862745098039,0.09711779448621553
EMG0_min,41.0,86.0,-31.0,-17.75,0.0733264320220842
EMG1_min,44.0,109.0,-36.0,-16.75,0.03908128908128908
EMG2_min,51.0,128.0,-60.25,-11.5,0.026963776963776966
EMG3_min,80.0,121.0,-14.0,-8.0,0.08408919123204837
EMG4_min,121.0,128.0,-9.25,-7.0,0.6101190476190477
EMG5_min,111.0,130.0,-25.25,-8.75,0.22023809523809523
EMG6_min,35.0,130.0,-60.25,-7.75,0.014467592592592594
EMG7_min,57.0,130.0,-46.25,-17.25,0.030566280566280562
Accl0_min,116.0,121.0,0.7814945,0.805542,0.8267195767195767
Accl1_min,115.0,124.0,-0.33593725,-0.17724600000000001,0.4801587301587302
Accl2_min,59.0,85.0,0.46582,0.50207525,0.15285126396237508
Gyr0_min,36.0,110.0,-9.484375,-3.671875,0.029629629629629624
Gyr1_min,41.0,107.0,-15.015625,-7.3125,0.03790570954750059
Gyr2_min,39.0,88.0,-13.65625,-8.046875,0.06428571428571428
Orien0_min,115.0,124.0,74.0,81.25,0.4801587301587302
Orien1_min,11.0,18.0,29.75,35.0,0.6101190476190477
Orien2_min,6.0,49.0,103.75,111.0,0.07846320346320347
EMG0_max,26.0,95.0,15.0,33.25,0.03458049886621316
EMG1_max,37.0,100.0,23.0,57.0,0.04154265873015873
