Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,29.0,124.0,-1.6470588235294117,1.696078431372549,0.01148293963254593
EMG1_mean,26.0,118.0,-2.107843137254902,1.200980392156863,0.01286935907205148
EMG2_mean,4.0,130.0,-6.196078431372549,4.769607843137255,0.0009920019840039662
EMG3_mean,11.0,128.0,-1.9117647058823528,0.5196078431372548,0.003469905244895233
EMG4_mean,38.0,129.0,-1.3137254901960784,2.107843137254902,0.013351591920575149
EMG5_mean,14.0,130.0,-4.632352941176471,6.563725490196079,0.003768759674271486
EMG6_mean,5.0,124.0,-5.8235294117647065,3.627450980392157,0.0028871391076115455
EMG7_mean,38.0,123.0,-2.9264705882352935,1.6911764705882353,0.016480498077275224
Accl0_mean,75.0,86.0,0.7690884460784315,0.7842658333333333,0.3123359580052493
Accl1_mean,59.0,71.0,-0.4007807598039216,-0.3769841813725491,0.2858873410054512
Accl2_mean,32.0,55.0,0.5008065882352941,0.5119270147058822,0.14041994750656167
Gyr0_mean,53.0,93.0,-0.07414215686274508,0.33088235294117646,0.06913769925100827
Gyr1_mean,4.0,72.0,-1.0955882352941175,-0.3121936274509804,0.028300810224808855
Gyr2_mean,27.0,50.0,-0.9420955882352942,-0.6997549019607844,0.14041994750656167
Orien0_mean,44.0,56.0,70.62745098039214,71.54411764705881,0.2858873410054512
Orien1_mean,42.0,56.0,37.93627450980391,39.200980392156865,0.24356955380577425
Orien2_mean,122.0,126.0,143.00980392156862,145.92156862745094,0.7937007874015748
EMG0_min,28.0,114.0,-37.25,-10.75,0.01592904335233958
EMG1_min,50.0,109.0,-31.0,-16.75,0.037270341207349074
EMG2_min,1.0,16.0,-128.0,-88.75,0.2263779527559055
EMG3_min,1.0,20.0,-60.5,-26.0,0.1748031496062992
EMG4_min,2.0,54.0,-63.75,-22.0,0.04635269647897787
EMG5_min,0.0,29.0,-128.25,-81.75,0.10603674540682413
EMG6_min,1.0,57.0,-128.0,-48.0,0.040889625638900404
EMG7_min,0.0,78.0,-111.25,-37.75,0.020731585766969002
Accl0_min,49.0,78.0,0.6981202499999999,0.73657225,0.10603674540682413
Accl1_min,22.0,74.0,-0.55957,-0.43103,0.04635269647897787
Accl2_min,51.0,70.0,0.46093775000000003,0.48046875,0.1748031496062992
Gyr0_min,37.0,116.0,-9.34375,-3.4375,0.020078740157480315
Gyr1_min,18.0,117.0,-21.90625,-6.015625,0.009763779527559057
Gyr2_min,31.0,75.0,-15.875,-8.984375,0.06019247594050743
Orien0_min,46.0,51.0,69.75,70.0,0.6561679790026246
Orien1_min,37.0,52.0,37.0,38.0,0.2263779527559055
Orien2_min,122.0,127.0,142.5,145.25,0.6561679790026246
EMG0_max,7.0,98.0,11.0,36.0,0.013351591920575149
EMG1_max,15.0,90.0,14.75,45.25,0.022793203481143803
EMG2_max,121.0,130.0,102.0,120.0,0.3811023622047244
EMG3_max,98.0,130.0,21.75,55.25,0.09353376282510141
EMG4_max,73.0,125.0,21.0,58.25,0.04635269647897787
EMG5_max,111.0,127.0,97.75,127.0,0.2112088930060213
EMG6_max,74.0,111.0,57.0,87.0,0.07708246995441359
EMG7_max,71.0,130.0,46.0,116.5,0.037270341207349074
Accl0_max,72.0,88.0,0.79089375,0.8131105,0.2112088930060213
Accl1_max,54.0,74.0,-0.377075,-0.31555175,0.1649793775778028
Accl2_max,24.0,63.0,0.53820775,0.57116725,0.0716535433070866
Gyr0_max,35.0,69.0,5.46875,9.265625,0.08638920134983127
Gyr1_max,45.0,68.0,4.609375,5.703125,0.14041994750656167
Gyr2_max,85.0,119.0,10.125,23.53125,0.08638920134983127
Orien0_max,42.0,61.0,71.0,72.0,0.1748031496062992
Orien1_max,39.0,59.0,40.0,41.0,0.1649793775778028
Orien2_max,122.0,126.0,143.5,148.0,0.7937007874015748
EMG0_stdev,20.0,92.0,5.148897514977773,12.065181807313369,0.025024269226620648
EMG1_stdev,21.0,79.0,6.2011926647306295,12.603017020172471,0.038435873481916454
EMG2_stdev,114.0,130.0,33.383277317079845,46.36898830092072,0.2112088930060213
EMG3_stdev,114.0,129.0,10.373342901922985,15.538328830211144,0.2263779527559055
EMG4_stdev,77.0,128.0,9.087216657909511,19.591262798290487,0.04784978800726832
EMG5_stdev,109.0,126.0,32.73927488424029,46.131483637382296,0.19772528433945757
EMG6_stdev,113.0,129.0,29.023729051010264,40.87921759727878,0.2112088930060213
EMG7_stdev,73.0,130.0,17.881543259244093,39.317331925750196,0.039641596524572366
Accl0_stdev,33.0,107.0,0.008453642276207683,0.01514696047291909,0.023517060367454067
Accl1_stdev,34.0,118.0,0.01151734130926187,0.029983654809321907,0.017044928207503477
Accl2_stdev,36.0,89.0,0.011250714119214916,0.016013328402160715,0.04491105278506854
Gyr0_stdev,23.0,63.0,1.7208684587637118,2.260174069412597,0.06913769925100827
Gyr1_stdev,50.0,123.0,2.7471040963444624,6.1464975795558505,0.024260480953394337
Gyr2_stdev,63.0,116.0,2.786548347166505,5.464442118953457,0.04491105278506854
Orien0_stdev,36.0,114.0,0.14002800840280116,0.5435857213697862,0.020731585766969002
Orien1_stdev,70.0,84.0,0.593090602198125,0.677358491181693,0.24356955380577425
Orien2_stdev,39.0,117.0,0.32539568672798475,0.8713725741661376,0.020731585766969002
EMG0_energy,21.0,91.0,1360.75,7389.5,0.026616391260951534
EMG1_energy,19.0,79.0,1951.5,7951.0,0.03614302310571834
EMG2_energy,116.0,130.0,57113.25,107967.0,0.24356955380577425
EMG3_energy,114.0,129.0,5448.5,12239.75,0.2263779527559055
EMG4_energy,77.0,127.0,4149.25,18263.25,0.04940558900725645
EMG5_energy,109.0,126.0,54842.75,106942.25,0.19772528433945757
EMG6_energy,114.0,129.0,42857.5,83709.25,0.2263779527559055
EMG7_energy,74.0,130.0,16112.25,78551.5,0.040889625638900404
Accl0_energy,75.0,86.0,30.17314372554075,31.3828518193325,0.3123359580052493
Accl1_energy,59.0,71.0,7.283015622055251,8.198623567391252,0.2858873410054512
Accl2_energy,32.0,54.0,12.8063908262795,13.37383551044525,0.14789455665867854
Gyr0_energy,22.0,60.0,148.009765625,260.611328125,0.07429840500706643
Gyr1_energy,47.0,123.0,379.5888671875,1948.587890625,0.022088148072400043
Gyr2_energy,67.0,116.0,413.1162109375,1550.8095703125,0.051023622047244095
Orien0_energy,44.0,56.0,254412.0,261060.75,0.2858873410054512
Orien1_energy,42.0,56.0,73428.25,78389.75,0.24356955380577425
Orien2_energy,122.0,126.0,1043117.0,1085981.0,0.7937007874015748
