Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,2.0,117.0,-5.181372549019608,0.7156862745098039,0.005131362889983576
EMG1_mean,18.0,87.0,-2.5245098039215685,-0.3725490196078432,0.03458049886621316
EMG2_mean,23.0,100.0,-3.063725490196078,0.4705882352941177,0.026963776963776966
EMG3_mean,10.0,75.0,-2.0098039215686274,-0.7794117647058824,0.03908128908128908
EMG4_mean,2.0,80.0,-3.1078431372549025,-0.5882352941176471,0.026120152702431183
EMG5_mean,4.0,40.0,-6.598039215686274,-1.7009803921568627,0.10081510081510081
EMG6_mean,6.0,66.0,-5.436274509803922,-0.5490196078431373,0.04553734061930783
EMG7_mean,15.0,114.0,-4.5588235294117645,0.5392156862745098,0.0123015873015873
Accl0_mean,34.0,81.0,0.7079958578431371,0.7753810588235294,0.06861772486772487
Accl1_mean,35.0,101.0,-0.4655690294117647,-0.3210831421568628,0.03790570954750059
Accl2_mean,85.0,92.0,0.5374205294117647,0.5466212647058825,0.6101190476190477
Gyr0_mean,26.0,106.0,-0.3287377450980392,0.4301470588235294,0.02449539486576523
Gyr1_mean,10.0,93.0,-1.0088848039215685,-0.07506127450980393,0.022203325774754343
Gyr2_mean,8.0,126.0,-1.278186274509804,0.3023897058823529,0.004001600640256103
Orien0_mean,38.0,106.0,68.9607843137255,74.08333333333334,0.03565677478720957
Orien1_mean,51.0,99.0,39.03921568627451,45.26960784313725,0.06640751538710722
Orien2_mean,29.0,39.0,108.75980392156863,110.82352941176471,0.4329004329004329
EMG0_min,8.0,35.0,-66.75,-34.25,0.1459750566893424
EMG1_min,19.0,102.0,-51.25,-19.0,0.022203325774754343
EMG2_min,79.0,114.0,-45.0,-22.75,0.10471781305114637
EMG3_min,67.0,105.0,-15.0,-10.0,0.09361009361009362
EMG4_min,50.0,73.0,-24.0,-18.0,0.17691798941798942
EMG5_min,25.0,99.0,-88.0,-29.0,0.029629629629629624
EMG6_min,25.0,98.0,-66.25,-30.0,0.030566280566280562
EMG7_min,34.0,95.0,-57.5,-30.0,0.044162826420890935
Accl0_min,24.0,88.0,0.6363525,0.7492672499999999,0.04029304029304029
Accl1_min,33.0,114.0,-0.526489,-0.3439945,0.023712737127371278
Accl2_min,88.0,98.0,0.5042727499999999,0.5201415,0.4329004329004329
Gyr0_min,23.0,60.0,-10.5,-6.78125,0.09711779448621553
Gyr1_min,45.0,113.0,-14.390625,-6.546875,0.03565677478720957
Gyr2_min,13.0,126.0,-23.453125,-3.3125,0.00591757170704539
Orien0_min,44.0,115.0,69.0,74.0,0.032517636684303346
Orien1_min,61.0,98.0,39.0,44.0,0.09711779448621553
Orien2_min,27.0,42.0,108.0,110.0,0.28521825396825395
EMG0_max,87.0,127.0,29.75,84.75,0.08710801393728224
EMG1_max,8.0,88.0,10.0,43.25,0.02449539486576523
EMG2_max,14.0,63.0,21.0,56.0,0.06428571428571428
