Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,10.0,60.0,-3.1813725490196076,-0.9803921568627452,0.06224712107065049
EMG1_mean,11.0,59.0,-2.985294117647059,-1.156862745098039,0.06640751538710722
EMG2_mean,10.0,97.0,-5.328431372549019,0.4117647058823529,0.019390331890331892
EMG3_mean,2.0,110.0,-2.9264705882352935,-0.2549019607843137,0.008009319935925439
EMG4_mean,3.0,130.0,-2.9754901960784315,2.480392156862745,0.0009300595238095238
EMG5_mean,8.0,118.0,-5.8235294117647065,2.235294117647059,0.007150007150007147
EMG6_mean,16.0,120.0,-3.303921568627451,2.3284313725490193,0.009826152683295541
EMG7_mean,4.0,113.0,-6.887254901960786,0.4901960784313725,0.0075757575757575725
Accl0_mean,102.0,113.0,0.7959774656862745,0.8049675784313727,0.39351851851851855
Accl1_mean,90.0,103.0,-0.3308105343137255,-0.3192569166666667,0.33163265306122447
Accl2_mean,29.0,56.0,0.4970655196078431,0.5124344117647058,0.1459750566893424
Gyr0_mean,14.0,110.0,-0.49080882352941174,0.5042892156862745,0.013909343806251022
Gyr1_mean,66.0,122.0,-0.36672794117647056,0.4004289215686275,0.05151768309663046
Gyr2_mean,20.0,116.0,-1.0511642156862746,0.14981617647058823,0.013909343806251022
Orien0_mean,80.0,96.0,72.87745098039214,73.90686274509804,0.2661064425770308
Orien1_mean,21.0,26.0,36.44607843137255,36.91176470588234,0.8267195767195767
Orien2_mean,38.0,51.0,110.6078431372549,112.16176470588236,0.33163265306122447
EMG0_min,39.0,73.0,-31.0,-19.75,0.108843537414966
EMG1_min,25.0,64.0,-47.0,-27.0,0.09027777777777778
EMG2_min,19.0,65.0,-88.0,-51.75,0.07092198581560283
EMG3_min,18.0,54.0,-29.0,-18.0,0.10081510081510081
EMG4_min,4.0,28.0,-59.75,-31.0,0.16825396825396824
EMG5_min,2.0,50.0,-123.25,-60.0,0.06640751538710722
EMG6_min,2.0,36.0,-125.0,-59.0,0.108843537414966
EMG7_min,2.0,69.0,-102.75,-41.0,0.03676470588235294
Accl0_min,99.0,112.0,0.75805675,0.7738035,0.33163265306122447
Accl1_min,89.0,110.0,-0.407715,-0.35766625,0.19660894660894662
Accl2_min,12.0,53.0,0.402344,0.463013,0.08408919123204837
Gyr0_min,15.0,87.0,-12.625,-5.078125,0.031528593172428794
Gyr1_min,11.0,51.0,-26.078125,-13.625,0.08710801393728224
Gyr2_min,26.0,59.0,-16.515625,-11.171875,0.11321195144724557
Orien0_min,72.0,96.0,71.75,73.0,0.16825396825396824
Orien1_min,17.0,30.0,35.0,36.0,0.33163265306122447
Orien2_min,41.0,54.0,109.75,112.25,0.33163265306122447
EMG0_max,42.0,108.0,20.0,46.25,0.03790570954750059
EMG1_max,37.0,118.0,23.0,77.5,0.023712737127371278
EMG2_max,89.0,123.0,73.0,102.25,0.108843537414966
EMG3_max,62.0,105.0,12.0,24.75,0.07846320346320347
EMG4_max,85.0,120.0,26.0,48.25,0.10471781305114637
EMG5_max,106.0,127.0,94.5,127.0,0.19660894660894662
EMG6_max,95.0,124.0,72.75,108.0,0.13359788359788358
