Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,99.0,122.0,-0.10294117647058824,1.3823529411764706,0.14041994750656167
EMG1_mean,8.0,128.0,-3.2549019607843133,3.264705882352941,0.0026029804125723937
EMG2_mean,29.0,117.0,-2.715686274509804,1.6470588235294117,0.014863310625497657
EMG3_mean,0.0,123.0,-3.8725490196078436,0.1568627450980392,0.0017780035560071104
EMG4_mean,8.0,33.0,-2.3382352941176467,-1.431372549019608,0.12719563900666261
EMG5_mean,41.0,80.0,-1.6911764705882353,-0.39215686274509803,0.0716535433070866
EMG6_mean,34.0,127.0,-1.8333333333333335,5.2401960784313735,0.012397386496900652
EMG7_mean,10.0,130.0,-5.514705882352941,7.642156862745097,0.0026029804125723937
Accl0_mean,121.0,126.0,0.8485801421568626,0.895280450980392,0.6561679790026246
Accl1_mean,118.0,124.0,-0.20245480392156864,-0.12888000343137257,0.5579302587176603
Accl2_mean,2.0,14.0,0.39585487745098047,0.4664186764705881,0.2858873410054512
Gyr0_mean,0.0,3.0,-2.606924019607843,-0.8416053921568627,1.0
Gyr1_mean,127.0,130.0,0.7279411764705883,3.864276960784313,1.0
Gyr2_mean,0.0,102.0,-2.705269607843137,-0.06495098039215685,0.008562036541548815
Orien0_mean,116.0,121.0,77.69117647058823,79.58823529411765,0.6561679790026246
Orien1_mean,4.0,9.0,24.823529411764703,30.593137254901958,0.6561679790026246
Orien2_mean,37.0,50.0,109.74019607843138,111.9656862745098,0.26321709786276715
EMG0_min,16.0,57.0,-45.25,-23.75,0.0667416572928384
EMG1_min,0.0,58.0,-114.5,-27.75,0.038435873481916454
EMG2_min,24.0,64.0,-85.0,-52.75,0.06913769925100827
EMG3_min,3.0,61.0,-48.5,-16.0,0.038435873481916454
EMG4_min,79.0,124.0,-17.0,-8.75,0.058199246833276284
EMG5_min,89.0,128.0,-32.5,-11.0,0.0716535433070866
EMG6_min,24.0,96.0,-67.5,-30.0,0.025024269226620648
EMG7_min,7.0,53.0,-87.0,-47.0,0.05629083598592729
Accl0_min,95.0,124.0,0.754883,0.8397219999999999,0.10603674540682413
Accl1_min,64.0,117.0,-0.4520262500000001,-0.32226550000000004,0.04491105278506854
Accl2_min,0.0,3.0,0.19763150000000002,0.2705075,1.0
Gyr0_min,0.0,3.0,-30.5,-21.90625,1.0
Gyr1_min,0.0,4.0,-48.734375,-30.140625,0.7937007874015748
Gyr2_min,1.0,10.0,-41.046875,-26.453125,0.3811023622047244
Orien0_min,20.0,54.0,67.0,70.25,0.08638920134983127
Orien1_min,0.0,8.0,20.75,24.5,0.42694663167104113
Orien2_min,15.0,24.0,105.75,107.25,0.3811023622047244
EMG0_max,60.0,103.0,24.0,40.0,0.06227630637079455
EMG1_max,76.0,122.0,34.75,84.5,0.05629083598592729
EMG2_max,66.0,120.0,56.0,100.5,0.04352183249821045
EMG3_max,36.0,80.0,9.0,17.25,0.06019247594050743
EMG4_max,19.0,36.0,9.0,13.0,0.19772528433945757
EMG5_max,1.0,12.0,9.5,20.25,0.3123359580052493
EMG6_max,15.0,86.0,22.0,62.75,0.025809273840769902
EMG7_max,50.0,128.0,34.75,98.5,0.020731585766969002
Accl0_max,126.0,130.0,0.941284,0.96801725,0.7937007874015748
Accl1_max,118.0,124.0,-0.14184575,-0.08166504999999999,0.5579302587176603
Accl2_max,10.0,77.0,0.48767099999999997,0.583618,0.029180176007410838
Gyr0_max,105.0,124.0,15.59375,27.796875,0.1748031496062992
Gyr1_max,127.0,130.0,38.5625,56.265625,1.0
Gyr2_max,125.0,130.0,29.921875,72.03125,0.6561679790026246
Orien0_max,120.0,124.0,81.0,82.25,0.7937007874015748
Orien1_max,4.0,11.0,26.5,34.25,0.484251968503937
Orien2_max,89.0,110.0,122.75,129.0,0.1560486757337151
EMG0_stdev,90.0,111.0,11.706339555392208,17.160647521495687,0.1560486757337151
EMG1_stdev,94.0,125.0,15.640627600466425,27.32603912112961,0.09744094488188976
EMG2_stdev,68.0,104.0,20.85900334356645,30.03388451737979,0.08001702489891466
EMG3_stdev,84.0,103.0,6.6426355713010015,8.709358770605549,0.1748031496062992
EMG4_stdev,10.0,50.0,4.051011847394338,6.342251094555512,0.06913769925100827
EMG5_stdev,3.0,15.0,6.1280476708731495,9.380665401311099,0.2858873410054512
EMG6_stdev,9.0,81.0,8.850593394307644,20.531339338632666,0.025024269226620648
EMG7_stdev,69.0,126.0,17.712381647935608,31.622508759503756,0.039641596524572366
Accl0_stdev,122.0,130.0,0.020783628548271756,0.0363893077221264,0.42694663167104113
Accl1_stdev,126.0,130.0,0.04974716234432029,0.06935673723642492,0.7937007874015748
Accl2_stdev,127.0,130.0,0.05127739906143663,0.08966868736067092,1.0
Gyr0_stdev,124.0,128.0,7.842907177832097,9.43983689790176,0.7937007874015748
Gyr1_stdev,127.0,130.0,13.054431922983731,21.513189632661437,1.0
Gyr2_stdev,126.0,130.0,10.465066972914101,18.509232478128073,0.7937007874015748
Orien0_stdev,127.0,130.0,3.1259936114254883,4.1574010918958795,1.0
Orien1_stdev,127.0,130.0,1.556070572639849,3.2729460155016614,1.0
Orien2_stdev,127.0,130.0,4.007398835553363,6.299549218840371,1.0
EMG0_energy,89.0,111.0,6860.5,14998.5,0.14789455665867854
EMG1_energy,93.0,126.0,12283.25,40569.0,0.08985641500694766
EMG2_energy,68.0,104.0,21866.5,45462.25,0.08001702489891466
EMG3_energy,83.0,111.0,2255.5,4538.75,0.11077925604127072
EMG4_energy,15.0,52.0,956.0,2133.75,0.07708246995441359
EMG5_energy,3.0,15.0,1966.75,4482.5,0.2858873410054512
EMG6_energy,9.0,83.0,4047.0,22441.75,0.023517060367454067
EMG7_energy,71.0,126.0,16002.0,52605.5,0.042182227221597306
Accl0_energy,121.0,126.0,36.774049600338756,40.895967455986494,0.6561679790026246
Accl1_energy,7.0,12.0,1.1682231492576198,2.274880177922,0.6561679790026246
Accl2_energy,3.0,16.0,8.157419249668251,11.542804709903997,0.26321709786276715
Gyr0_energy,125.0,128.0,3339.4560546875,4750.8466796875,1.0
Gyr1_energy,127.0,130.0,9272.251953125,23963.5751953125,1.0
Gyr2_energy,126.0,130.0,5674.166015625,17259.1767578125,0.7937007874015748
Orien0_energy,116.0,121.0,308366.25,323502.0,0.6561679790026246
Orien1_energy,5.0,9.0,32070.5,48192.25,0.7937007874015748
Orien2_energy,37.0,50.0,615070.25,640518.75,0.26321709786276715
