Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,60.0,125.0,-0.9411764705882353,1.9313725490196079,0.031018849916487713
EMG1_mean,20.0,104.0,-2.4166666666666665,0.22058823529411767,0.017044928207503477
EMG2_mean,3.0,64.0,-6.686274509803923,-0.9215686274509804,0.03505207010414021
EMG3_mean,1.0,35.0,-3.1274509803921573,-1.2107843137254901,0.08638920134983127
EMG4_mean,77.0,127.0,-0.6666666666666667,1.696078431372549,0.04940558900725645
EMG5_mean,6.0,126.0,-5.90686274509804,3.8774509803921577,0.0026029804125723937
EMG6_mean,1.0,123.0,-7.230392156862745,3.318627450980392,0.002048524422252094
EMG7_mean,3.0,128.0,-6.94607843137255,4.259803921568627,0.0012498437695288114
Accl0_mean,84.0,89.0,0.7774035882352941,0.7854291421568627,0.6561679790026246
Accl1_mean,69.0,78.0,-0.3843754803921568,-0.359803431372549,0.3811023622047244
Accl2_mean,44.0,49.0,0.5084849950980393,0.5100528284313726,0.6561679790026246
Gyr0_mean,81.0,121.0,0.22150735294117646,0.7824754901960784,0.06913769925100827
Gyr1_mean,35.0,99.0,-0.6467524509803921,-0.04779411764705882,0.03198061780738946
Gyr2_mean,12.0,76.0,-1.1541053921568627,-0.4212622549019608,0.03198061780738946
Orien0_mean,54.0,65.0,71.18137254901963,72.0,0.3123359580052493
Orien1_mean,41.0,48.0,37.91666666666666,38.588235294117645,0.484251968503937
Orien2_mean,117.0,120.0,138.05392156862746,141.69607843137254,1.0
EMG0_min,27.0,107.0,-38.25,-13.0,0.019442014192670363
EMG1_min,29.0,81.0,-45.0,-23.0,0.04635269647897787
EMG2_min,1.0,15.0,-128.0,-89.75,0.24356955380577425
EMG3_min,6.0,25.0,-42.0,-25.0,0.1748031496062992
EMG4_min,1.0,85.0,-67.0,-16.75,0.017044928207503477
EMG5_min,17.0,52.0,-94.0,-54.0,0.0831146106736658
EMG6_min,4.0,76.0,-111.25,-38.75,0.025024269226620648
EMG7_min,16.0,75.0,-74.0,-39.0,0.037270341207349074
Accl0_min,67.0,91.0,0.7205809999999999,0.7518315,0.1335433070866142
Accl1_min,51.0,86.0,-0.4797365,-0.40808099999999997,0.0831146106736658
Accl2_min,62.0,72.0,0.469116,0.488892,0.34359341445955616
Gyr0_min,14.0,93.0,-12.890625,-4.625,0.020078740157480315
Gyr1_min,42.0,125.0,-14.828125,-4.640625,0.017622797150356206
Gyr2_min,28.0,93.0,-16.1875,-7.609375,0.031018849916487713
Orien0_min,49.0,84.0,70.0,72.0,0.0831146106736658
Orien1_min,40.0,47.0,37.0,38.0,0.484251968503937
Orien2_min,117.0,120.0,137.75,141.5,1.0
EMG0_max,23.0,89.0,15.0,30.0,0.030085791514866615
EMG1_max,39.0,83.0,23.0,39.25,0.06019247594050743
EMG2_max,91.0,127.0,74.0,109.75,0.08001702489891466
EMG3_max,82.0,120.0,18.0,31.0,0.07429840500706643
EMG4_max,81.0,121.0,24.75,49.25,0.06913769925100827
EMG5_max,69.0,109.0,55.5,97.25,0.06913769925100827
EMG6_max,97.0,126.0,74.75,113.25,0.10603674540682413
EMG7_max,96.0,122.0,57.75,87.25,0.12131816856226306
Accl0_max,78.0,98.0,0.8002927500000001,0.8311769999999999,0.1649793775778028
Accl1_max,68.0,101.0,-0.3443605,-0.27221675,0.08985641500694766
Accl2_max,21.0,42.0,0.53430175,0.554199,0.1560486757337151
Gyr0_max,26.0,113.0,4.671875,20.96875,0.015390121689334284
Gyr1_max,12.0,106.0,2.375,8.328125,0.011935350186489849
Gyr2_max,21.0,111.0,4.1875,17.3125,0.01384442329324219
Orien0_max,54.0,58.0,72.0,72.0,0.7937007874015748
Orien1_max,35.0,56.0,39.0,41.0,0.1560486757337151
Orien2_max,117.0,120.0,139.0,142.5,1.0
EMG0_stdev,44.0,97.0,7.3717705393209485,12.827499193729102,0.04491105278506854
EMG1_stdev,59.0,79.0,9.555060632866551,12.34437621705703,0.1649793775778028
EMG2_stdev,123.0,127.0,37.8791118296162,42.75444958133867,0.7937007874015748
EMG3_stdev,113.0,123.0,10.012137346893526,13.729635664803109,0.34359341445955616
EMG4_stdev,100.0,122.0,11.92628506594562,16.319732676012194,0.14789455665867854
EMG5_stdev,99.0,120.0,28.868466588951257,37.72182130471006,0.1560486757337151
EMG6_stdev,97.0,119.0,24.9336552109892,32.50468103959203,0.14789455665867854
EMG7_stdev,89.0,117.0,19.74287944384279,26.783102144269765,0.11077925604127072
Accl0_stdev,63.0,113.0,0.0104795226398277,0.017089059534816355,0.04940558900725645
Accl1_stdev,53.0,114.0,0.012915427961786255,0.025421504466866203,0.03505207010414021
Accl2_stdev,12.0,75.0,0.008862609412270142,0.014305099244005205,0.03297244094488189
Gyr0_stdev,26.0,118.0,1.7511856886254151,4.818880992169317,0.01286935907205148
Gyr1_stdev,1.0,99.0,0.9785754391016951,4.030769060403157,0.010180545613616483
Gyr2_stdev,43.0,112.0,2.368485508869282,5.061875696168506,0.027446569178852645
Orien0_stdev,7.0,106.0,0.0,0.4912957118284984,0.009763779527559057
Orien1_stdev,4.0,114.0,0.14002800840280094,1.0605750747582607,0.005674966304887562
Orien2_stdev,11.0,95.0,0.1960392117639213,0.5087313926523753,0.017044928207503477
EMG0_energy,44.0,97.0,2753.25,8326.0,0.04491105278506854
EMG1_energy,59.0,79.0,4607.5,7622.75,0.1649793775778028
EMG2_energy,122.0,127.0,72135.5,92616.0,0.6561679790026246
EMG3_energy,113.0,125.0,5085.5,9916.5,0.2858873410054512
EMG4_energy,100.0,122.0,7191.0,13391.5,0.14789455665867854
EMG5_energy,99.0,119.0,42008.25,73037.75,0.1649793775778028
EMG6_energy,96.0,120.0,31118.5,54376.0,0.1335433070866142
EMG7_energy,92.0,119.0,20199.75,38419.25,0.1158605174353206
Accl0_energy,84.0,89.0,30.82783755394751,31.467496541150002,0.6561679790026246
Accl1_energy,52.0,61.0,6.628500324455498,7.5556934061735,0.3811023622047244
Accl2_energy,43.0,50.0,13.186732170971501,13.280483370682756,0.484251968503937
Gyr0_energy,27.0,118.0,159.32421875,1196.7900390625,0.013351591920575149
Gyr1_energy,1.0,98.0,54.4462890625,818.8779296875,0.010605817130001608
Gyr2_energy,46.0,111.0,317.0703125,1330.3359375,0.031018849916487713
Orien0_energy,54.0,65.0,258416.75,264384.0,0.3123359580052493
Orien1_energy,41.0,48.0,73366.75,75978.5,0.484251968503937
Orien2_energy,117.0,120.0,972212.75,1024037.0,1.0
