Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,3.0,97.0,-4.186274509803922,-0.13725490196078433,0.011935350186489849
EMG1_mean,27.0,66.0,-1.9509803921568625,-0.9852941176470588,0.0716535433070866
EMG2_mean,10.0,94.0,-5.401960784313726,0.1519607843137255,0.017044928207503477
EMG3_mean,6.0,38.0,-2.2794117647058822,-1.1715686274509804,0.09353376282510141
EMG4_mean,1.0,94.0,-3.284313725490196,-0.3725490196078432,0.012397386496900652
EMG5_mean,17.0,109.0,-3.9460784313725483,1.127450980392157,0.01286935907205148
EMG6_mean,39.0,117.0,-1.6029411764705883,1.6225490196078431,0.020731585766969002
EMG7_mean,1.0,82.0,-7.578431372549019,-1.053921568627451,0.018820818129441138
Accl0_mean,65.0,82.0,0.7565343235294117,0.7773126470588234,0.19772528433945757
Accl1_mean,111.0,116.0,-0.2940481666666666,-0.23319021078431368,0.6561679790026246
Accl2_mean,107.0,114.0,0.5680386911764705,0.6146168627450981,0.484251968503937
Gyr0_mean,41.0,76.0,-0.20863970588235298,0.18596813725490197,0.0831146106736658
Gyr1_mean,19.0,57.0,-0.798406862745098,-0.4105392156862745,0.07429840500706643
Gyr2_mean,4.0,36.0,-1.6694240196078431,-0.8235294117647058,0.09353376282510141
Orien0_mean,113.0,120.0,76.18627450980392,79.12254901960785,0.484251968503937
Orien1_mean,46.0,65.0,38.19117647058823,40.38235294117648,0.1748031496062992
Orien2_mean,88.0,95.0,121.19117647058825,122.0392156862745,0.484251968503937
EMG0_min,1.0,16.0,-89.25,-42.0,0.2263779527559055
EMG1_min,40.0,114.0,-37.0,-14.75,0.023517060367454067
EMG2_min,3.0,92.0,-127.25,-34.75,0.014348206474190724
EMG3_min,0.0,33.0,-82.5,-23.0,0.08985641500694766
EMG4_min,27.0,63.0,-33.25,-19.0,0.08001702489891466
EMG5_min,11.0,44.0,-104.25,-64.5,0.08985641500694766
EMG6_min,9.0,45.0,-97.5,-53.75,0.08001702489891466
EMG7_min,1.0,60.0,-106.25,-43.0,0.037270341207349074
