Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,39.0,73.0,-1.406862745098039,-0.7794117647058824,0.08638920134983127
EMG1_mean,41.0,87.0,-1.4754901960784315,-0.3725490196078432,0.05629083598592729
EMG2_mean,7.0,122.0,-5.867647058823529,2.2745098039215685,0.00407276676622319
EMG3_mean,39.0,130.0,-1.1617647058823528,0.7303921568627451,0.013351591920575149
EMG4_mean,14.0,128.0,-2.117647058823529,1.8627450980392157,0.004382060938034922
EMG5_mean,0.0,125.0,-10.81372549019608,2.882352941176471,0.0012498437695288114
EMG6_mean,10.0,115.0,-3.88235294117647,1.3431372549019607,0.007428316743425941
EMG7_mean,51.0,126.0,-2.294117647058824,3.245098039215686,0.022793203481143803
Accl0_mean,66.0,73.0,0.7608163137254902,0.7681836911764707,0.484251968503937
Accl1_mean,86.0,92.0,-0.33531277450980396,-0.32872094117647066,0.5579302587176603
Accl2_mean,98.0,106.0,0.5530287450980391,0.565520700980392,0.42694663167104113
Gyr0_mean,74.0,112.0,0.12837009803921567,0.5208333333333333,0.07429840500706643
Gyr1_mean,44.0,67.0,-0.5934436274509804,-0.3409926470588235,0.14041994750656167
Gyr2_mean,12.0,64.0,-1.174325980392157,-0.5729166666666666,0.04635269647897787
Orien0_mean,103.0,109.0,74.0,75.12254901960785,0.5579302587176603
Orien1_mean,56.0,63.0,39.13235294117648,39.799019607843135,0.484251968503937
Orien2_mean,86.0,94.0,120.63235294117645,122.0,0.42694663167104113
EMG0_min,64.0,128.0,-22.0,-7.25,0.03198061780738946
EMG1_min,56.0,110.0,-29.0,-16.0,0.04352183249821045
EMG2_min,30.0,65.0,-78.25,-52.75,0.0831146106736658
EMG3_min,43.0,75.0,-21.0,-14.0,0.09353376282510141
EMG4_min,30.0,59.0,-31.0,-20.0,0.10603674540682413
EMG5_min,14.0,34.0,-99.25,-73.0,0.1649793775778028
EMG6_min,16.0,29.0,-80.5,-62.0,0.26321709786276715
EMG7_min,49.0,115.0,-48.25,-23.75,0.030085791514866615
Accl0_min,73.0,84.0,0.7244870000000001,0.747559,0.3123359580052493
Accl1_min,100.0,108.0,-0.385864,-0.359253,0.42694663167104113
Accl2_min,102.0,109.0,0.5268554999999999,0.540039,0.484251968503937
Gyr0_min,33.0,112.0,-9.734375,-3.546875,0.020078740157480315
Gyr1_min,71.0,106.0,-10.953125,-7.375,0.0831146106736658
Gyr2_min,47.0,106.0,-12.625,-6.21875,0.037270341207349074
Orien0_min,111.0,114.0,74.0,74.0,1.0
Orien1_min,55.0,65.0,38.75,39.25,0.34359341445955616
Orien2_min,85.0,96.0,119.75,122.0,0.3123359580052493
EMG0_max,6.0,44.0,10.75,21.0,0.07429840500706643
EMG1_max,19.0,61.0,16.75,30.25,0.06445705914667643
EMG2_max,53.0,125.0,51.0,105.5,0.025024269226620648
EMG3_max,56.0,114.0,11.0,28.25,0.038435873481916454
EMG4_max,83.0,127.0,25.75,63.0,0.06019247594050743
EMG5_max,92.0,126.0,79.5,127.0,0.08638920134983127
EMG6_max,62.0,126.0,49.75,111.5,0.03198061780738946
EMG7_max,34.0,119.0,29.0,83.25,0.016480498077275224
Accl0_max,66.0,70.0,0.785034,0.7906492500000001,0.7937007874015748
Accl1_max,81.0,99.0,-0.30542,-0.27551275,0.18566100290095316
Accl2_max,84.0,98.0,0.5894777499999999,0.6031492500000001,0.24356955380577425
Gyr0_max,66.0,92.0,8.578125,12.890625,0.12131816856226306
Gyr1_max,8.0,108.0,2.109375,8.40625,0.009355266235284947
Gyr2_max,44.0,106.0,6.0,14.171875,0.03399575053118361
Orien0_max,90.0,109.0,74.0,75.25,0.1748031496062992
Orien1_max,50.0,63.0,40.0,42.0,0.26321709786276715
Orien2_max,78.0,86.0,121.0,122.0,0.42694663167104113
EMG0_stdev,7.0,39.0,4.115392914628268,6.968631528226482,0.09353376282510141
EMG1_stdev,23.0,54.0,6.4442893397908225,9.004387331034396,0.09744094488188976
EMG2_stdev,82.0,110.0,24.566001797231344,32.047566283945066,0.11077925604127072
EMG3_stdev,70.0,110.0,6.133002972655178,9.356965011827606,0.06913769925100827
EMG4_stdev,89.0,121.0,10.500880769407507,16.13539696962509,0.09353376282510141
EMG5_stdev,114.0,128.0,35.049234622304496,51.174097479993804,0.24356955380577425
EMG6_stdev,90.0,126.0,23.679031440994404,36.98707807622304,0.08001702489891466
EMG7_stdev,49.0,85.0,14.378155884147805,19.106575980049282,0.08001702489891466
Accl0_stdev,14.0,85.0,0.007039016007721671,0.012755047419647447,0.025809273840769902
Accl1_stdev,14.0,97.0,0.009580571100760778,0.019015024209945882,0.017622797150356206
Accl2_stdev,25.0,66.0,0.010353481895649283,0.013644526209367814,0.0667416572928384
Gyr0_stdev,67.0,102.0,2.3030635253370653,3.2424669121336995,0.0831146106736658
Gyr1_stdev,17.0,53.0,1.9632658857679517,2.764230997259598,0.08001702489891466
Gyr2_stdev,22.0,89.0,1.932163282775488,3.505232098881014,0.029180176007410838
Orien0_stdev,10.0,89.0,0.0,0.4153902016271484,0.020078740157480315
Orien1_stdev,27.0,101.0,0.34754037711536473,0.8034347783881759,0.023517060367454067
Orien2_stdev,5.0,72.0,0.0,0.4601789933084224,0.029180176007410838
EMG0_energy,8.0,39.0,913.75,2480.5,0.09744094488188976
EMG1_energy,22.0,52.0,2101.25,4040.75,0.1016002032004064
EMG2_energy,83.0,110.0,30474.75,52503.75,0.1158605174353206
EMG3_energy,72.0,109.0,1948.5,4361.75,0.07708246995441359
EMG4_energy,91.0,121.0,5704.75,13089.75,0.1016002032004064
EMG5_energy,114.0,128.0,61783.25,130960.0,0.24356955380577425
EMG6_energy,90.0,125.0,28195.25,66118.25,0.0831146106736658
EMG7_energy,44.0,86.0,10279.0,18689.25,0.06445705914667643
Accl0_energy,66.0,73.0,29.528917100936496,30.09937912464225,0.484251968503937
Accl1_energy,37.0,43.0,5.527660269165499,5.731306973075751,0.5579302587176603
Accl2_energy,98.0,106.0,15.604070869286499,16.31948294656025,0.42694663167104113
Gyr0_energy,66.0,101.0,272.208984375,524.4814453125,0.0831146106736658
Gyr1_energy,19.0,51.0,199.6376953125,398.9580078125,0.09353376282510141
Gyr2_energy,23.0,91.0,215.7578125,685.513671875,0.028300810224808855
Orien0_energy,103.0,109.0,279276.0,287823.75,0.5579302587176603
Orien1_energy,56.0,63.0,78105.25,80807.25,0.484251968503937
Orien2_energy,86.0,94.0,742172.25,759084.0,0.42694663167104113
