Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,15.0,129.0,-2.5098039215686274,3.7107843137254903,0.004382060938034922
EMG1_mean,50.0,122.0,-1.2990196078431373,1.5833333333333335,0.025024269226620648
EMG2_mean,70.0,125.0,-0.6764705882352942,2.5294117647058822,0.042182227221597306
EMG3_mean,69.0,119.0,-0.8235294117647058,-0.03431372549019608,0.04940558900725645
EMG4_mean,20.0,109.0,-1.8186274509803924,0.004901960784313725,0.014348206474190724
EMG5_mean,53.0,118.0,-1.2254901960784312,2.3186274509803924,0.031018849916487713
EMG6_mean,8.0,107.0,-4.642156862745098,0.9068627450980393,0.009763779527559057
EMG7_mean,0.0,110.0,-8.794117647058824,0.3970588235294118,0.005674966304887562
Accl0_mean,9.0,19.0,0.6351580882352942,0.6533873137254902,0.34359341445955616
Accl1_mean,30.0,44.0,-0.4703178039215686,-0.433296887254902,0.24356955380577425
Accl2_mean,116.0,119.0,0.6216155294117648,0.6460080882352941,1.0
Gyr0_mean,92.0,119.0,0.30851715686274506,0.7245710784313726,0.1158605174353206
Gyr1_mean,33.0,103.0,-0.6871936274509804,0.014705882352941175,0.026616391260951534
Gyr2_mean,16.0,60.0,-1.0894607843137254,-0.623468137254902,0.06019247594050743
Orien0_mean,55.0,77.0,71.31372549019609,72.86274509803921,0.14789455665867854
Orien1_mean,111.0,121.0,48.852941176470594,50.176470588235304,0.34359341445955616
Orien2_mean,62.0,93.0,115.87254901960785,121.92647058823529,0.09744094488188976
EMG0_min,0.0,52.0,-94.25,-26.0,0.04635269647897787
EMG1_min,39.0,117.0,-37.25,-13.0,0.020731585766969002
EMG2_min,87.0,115.0,-38.25,-22.75,0.11077925604127072
EMG3_min,67.0,114.0,-15.0,-8.75,0.054461942257217844
EMG4_min,79.0,112.0,-17.0,-11.0,0.08985641500694766
EMG5_min,80.0,119.0,-38.5,-18.75,0.0716535433070866
EMG6_min,57.0,112.0,-48.0,-24.75,0.042182227221597306
EMG7_min,19.0,112.0,-72.25,-25.0,0.012397386496900652
Accl0_min,9.0,20.0,0.600586,0.631958,0.3123359580052493
Accl1_min,31.0,42.0,-0.53271475,-0.4916995,0.3123359580052493
Accl2_min,105.0,121.0,0.531738,0.6258542500000001,0.2112088930060213
Gyr0_min,59.0,126.0,-6.8125,-2.03125,0.029180176007410838
Gyr1_min,7.0,120.0,-29.375,-5.671875,0.004696781323387209
Gyr2_min,85.0,118.0,-8.34375,-4.921875,0.08985641500694766
Orien0_min,57.0,78.0,71.0,72.0,0.1560486757337151
Orien1_min,115.0,119.0,49.0,50.0,0.7937007874015748
Orien2_min,65.0,93.0,115.75,121.25,0.11077925604127072
EMG0_max,72.0,130.0,26.0,117.25,0.038435873481916454
EMG1_max,22.0,89.0,17.75,44.25,0.029180176007410838
EMG2_max,50.0,119.0,49.75,100.5,0.027446569178852645
EMG3_max,15.0,92.0,7.0,20.25,0.021401171007470222
EMG4_max,4.0,77.0,6.5,24.0,0.024260480953394337
EMG5_max,9.0,74.0,18.75,58.5,0.031018849916487713
EMG6_max,11.0,65.0,20.75,52.5,0.04352183249821045
EMG7_max,35.0,114.0,30.0,76.75,0.020078740157480315
Accl0_max,11.0,18.0,0.6606445,0.6763919999999999,0.484251968503937
Accl1_max,27.0,40.0,-0.4312745,-0.40039075,0.26321709786276715
Accl2_max,114.0,123.0,0.6506345,0.6920165,0.3811023622047244
Gyr0_max,29.0,80.0,5.0,11.265625,0.04784978800726832
Gyr1_max,18.0,84.0,3.046875,6.375,0.030085791514866615
Gyr2_max,6.0,108.0,2.234375,15.296875,0.008562036541548815
Orien0_max,65.0,80.0,72.0,73.0,0.2263779527559055
Orien1_max,113.0,122.0,50.0,51.0,0.3811023622047244
Orien2_max,57.0,93.0,117.0,123.0,0.08001702489891466
EMG0_stdev,71.0,130.0,9.639806351602928,32.64729704732572,0.037270341207349074
EMG1_stdev,25.0,90.0,6.5575279548059395,14.947994048976604,0.031018849916487713
EMG2_stdev,30.0,80.0,11.890983911104096,24.150349928882573,0.04940558900725645
EMG3_stdev,11.0,67.0,3.2953613433635423,6.120613692154032,0.040889625638900404
EMG4_stdev,11.0,37.0,4.191935876467454,5.577930279408365,0.12131816856226306
EMG5_stdev,12.0,34.0,8.7956264066792,13.288094918542892,0.14789455665867854
EMG6_stdev,12.0,68.0,9.349323616184625,16.72913748398536,0.040889625638900404
EMG7_stdev,23.0,105.0,11.169207874245014,22.696226614739363,0.018214590646048766
Accl0_stdev,22.0,109.0,0.00768551117932275,0.015269797077345725,0.015390121689334284
Accl1_stdev,24.0,108.0,0.01057196439231528,0.02205753241588906,0.017044928207503477
Accl2_stdev,1.0,102.0,0.006289880309436735,0.018847580220628928,0.008954763007565234
Gyr0_stdev,10.0,91.0,1.4053230562805363,2.9082244088771323,0.018820818129441138
