Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,50.0,75.0,-1.2205882352941175,-0.7598039215686274,0.12719563900666261
EMG1_mean,35.0,122.0,-1.5882352941176472,1.5833333333333335,0.015390121689334284
EMG2_mean,18.0,113.0,-3.9117647058823533,1.3774509803921569,0.01148293963254593
EMG3_mean,49.0,93.0,-1.0196078431372548,-0.5490196078431373,0.06019247594050743
EMG4_mean,15.0,92.0,-2.117647058823529,-0.42647058823529416,0.021401171007470222
EMG5_mean,13.0,96.0,-4.705882352941177,0.24019607843137253,0.017622797150356206
EMG6_mean,19.0,89.0,-3.0,0.04411764705882353,0.026616391260951534
EMG7_mean,17.0,95.0,-3.9117647058823533,-0.4313725490196079,0.020731585766969002
Accl0_mean,26.0,30.0,0.6834213970588235,0.7012987499999997,0.7937007874015748
Accl1_mean,9.0,13.0,-0.5763226617647059,-0.5554845343137256,0.7937007874015748
Accl2_mean,10.0,13.0,0.4476055147058824,0.4647216862745096,1.0
Gyr0_mean,28.0,86.0,-0.3020833333333333,0.2769607843137255,0.038435873481916454
Gyr1_mean,17.0,82.0,-0.8596813725490196,-0.15104166666666669,0.031018849916487713
Gyr2_mean,84.0,119.0,-0.32138480392156865,0.19117647058823528,0.0831146106736658
Orien0_mean,0.0,3.0,63.338235294117645,64.24019607843137,1.0
Orien1_mean,98.0,103.0,45.01470588235294,46.455882352941174,0.6561679790026246
Orien2_mean,102.0,109.0,124.46568627450984,125.72058823529412,0.484251968503937
EMG0_min,56.0,92.0,-25.25,-17.0,0.08001702489891466
EMG1_min,3.0,60.0,-85.25,-27.0,0.039641596524572366
EMG2_min,57.0,124.0,-54.0,-16.5,0.029180176007410838
EMG3_min,89.0,117.0,-11.25,-8.0,0.11077925604127072
EMG4_min,56.0,97.0,-22.0,-14.0,0.0667416572928384
EMG5_min,23.0,109.0,-89.25,-26.0,0.01592904335233958
EMG6_min,41.0,117.0,-57.25,-22.5,0.022088148072400043
EMG7_min,96.0,112.0,-30.0,-25.0,0.2112088930060213
Accl0_min,23.0,36.0,0.63342275,0.66394025,0.26321709786276715
Accl1_min,5.0,13.0,-0.64697275,-0.59851075,0.42694663167104113
Accl2_min,20.0,38.0,0.41796875,0.44628875,0.18566100290095316
Gyr0_min,22.0,69.0,-10.75,-6.21875,0.054461942257217844
Gyr1_min,47.0,128.0,-14.328125,-2.96875,0.018820818129441138
Gyr2_min,37.0,130.0,-14.28125,-2.203125,0.012397386496900652
Orien0_min,0.0,3.0,62.75,64.0,1.0
Orien1_min,101.0,105.0,44.75,46.25,0.7937007874015748
Orien2_min,103.0,107.0,124.0,125.0,0.7937007874015748
EMG0_max,15.0,64.0,14.0,24.0,0.051023622047244095
EMG1_max,59.0,123.0,29.0,86.0,0.03198061780738946
