Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,69.0,109.0,-0.8284313725490196,0.0784313725490196,0.06913769925100827
EMG1_mean,24.0,49.0,-2.1813725490196076,-1.3088235294117647,0.12719563900666261
EMG2_mean,26.0,47.0,-2.8382352941176467,-1.3676470588235294,0.1560486757337151
EMG3_mean,64.0,80.0,-0.8823529411764706,-0.6470588235294118,0.2112088930060213
EMG4_mean,20.0,104.0,-1.8186274509803924,-0.1323529411764706,0.017044928207503477
EMG5_mean,20.0,121.0,-3.5098039215686274,2.6862745098039214,0.008954763007565234
EMG6_mean,35.0,112.0,-1.7892156862745099,1.2892156862745097,0.021401171007470222
EMG7_mean,29.0,102.0,-3.2009803921568625,-0.09313725490196079,0.024260480953394337
Accl0_mean,41.0,45.0,0.7210166715686276,0.7290374117647059,0.7937007874015748
Accl1_mean,27.0,33.0,-0.4756170686274509,-0.465947205882353,0.5579302587176603
Accl2_mean,52.0,63.0,0.5102754607843136,0.5202900539215687,0.3123359580052493
Gyr0_mean,9.0,23.0,-0.6409313725490196,-0.3547794117647059,0.24356955380577425
Gyr1_mean,80.0,98.0,-0.1948529411764706,-0.0508578431372549,0.18566100290095316
Gyr2_mean,84.0,111.0,-0.3088235294117647,0.06464460784313726,0.1158605174353206
Orien0_mean,21.0,25.0,68.0,68.00490196078431,0.7937007874015748
Orien1_mean,85.0,90.0,43.20588235294118,44.00490196078431,0.6561679790026246
Orien2_mean,78.0,82.0,119.1421568627451,119.80392156862746,0.7937007874015748
EMG0_min,75.0,98.0,-19.25,-15.0,0.14041994750656167
EMG1_min,27.0,117.0,-45.5,-13.0,0.01384442329324219
EMG2_min,63.0,101.0,-53.0,-29.0,0.07429840500706643
EMG3_min,98.0,127.0,-11.0,-7.0,0.10603674540682413
EMG4_min,47.0,82.0,-24.5,-17.0,0.0831146106736658
EMG5_min,65.0,92.0,-49.25,-31.0,0.1158605174353206
EMG6_min,53.0,123.0,-49.0,-17.75,0.026616391260951534
EMG7_min,85.0,125.0,-33.0,-19.75,0.06913769925100827
Accl0_min,43.0,54.0,0.68029775,0.70642125,0.3123359580052493
Accl1_min,35.0,43.0,-0.5163575,-0.4885255,0.42694663167104113
Accl2_min,55.0,75.0,0.463257,0.491699,0.1649793775778028
Gyr0_min,17.0,102.0,-11.90625,-4.0625,0.016480498077275224
Gyr1_min,15.0,78.0,-23.625,-10.609375,0.03297244094488189
Gyr2_min,89.0,121.0,-8.0625,-4.421875,0.09353376282510141
Orien0_min,29.0,32.0,67.75,68.0,1.0
Orien1_min,87.0,95.0,42.75,43.0,0.42694663167104113
Orien2_min,78.0,83.0,118.75,119.25,0.6561679790026246
EMG0_max,28.0,66.0,16.0,25.0,0.07429840500706643
EMG1_max,0.0,24.0,5.0,19.0,0.1335433070866142
EMG2_max,0.0,23.0,3.5,31.0,0.14041994750656167
EMG3_max,3.0,43.0,5.0,10.0,0.06913769925100827
EMG4_max,31.0,102.0,12.0,36.0,0.025809273840769902
EMG5_max,27.0,106.0,29.0,95.0,0.020078740157480315
EMG6_max,3.0,83.0,15.0,59.25,0.019442014192670363
EMG7_max,2.0,102.0,16.75,62.75,0.009355266235284947
Accl0_max,40.0,47.0,0.74816875,0.7597652500000001,0.484251968503937
Accl1_max,23.0,31.0,-0.450073,-0.420532,0.42694663167104113
Accl2_max,42.0,109.0,0.55371075,0.6336665,0.029180176007410838
Gyr0_max,13.0,29.0,3.671875,5.046875,0.2112088930060213
Gyr1_max,76.0,115.0,6.109375,12.078125,0.0716535433070866
Gyr2_max,39.0,91.0,5.3125,10.8125,0.04635269647897787
Orien0_max,19.0,22.0,68.0,68.0,1.0
Orien1_max,78.0,85.0,43.75,45.0,0.484251968503937
Orien2_max,72.0,75.0,120.0,120.25,1.0
EMG0_stdev,27.0,53.0,5.864629651897685,8.103300833688845,0.12131816856226306
EMG1_stdev,4.0,33.0,3.825273783156452,7.339619674165384,0.10603674540682413
EMG2_stdev,7.0,26.0,5.899168844679795,10.947235508752351,0.1748031496062992
EMG3_stdev,8.0,21.0,2.988734526614383,3.628392644878927,0.26321709786276715
EMG4_stdev,61.0,79.0,7.389714618709318,9.475281206960199,0.18566100290095316
EMG5_stdev,42.0,66.0,14.33931398487973,18.34920271393895,0.1335433070866142
EMG6_stdev,4.0,28.0,7.238847101558473,11.990190601766166,0.1335433070866142
EMG7_stdev,6.0,35.0,9.80224109631686,13.312573691664063,0.10603674540682413
Accl0_stdev,18.0,72.0,0.007335310859415766,0.011300847292407606,0.04352183249821045
Accl1_stdev,20.0,40.0,0.010063552323125897,0.012082584927191808,0.1649793775778028
