Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,19.0,111.0,-2.235294117647059,0.18627450980392157,0.01286935907205148
EMG1_mean,43.0,85.0,-1.3774509803921569,-0.4019607843137255,0.06445705914667643
EMG2_mean,50.0,73.0,-1.303921568627451,-0.5588235294117647,0.14041994750656167
EMG3_mean,15.0,112.0,-1.7254901960784315,-0.24999999999999997,0.010605817130001608
EMG4_mean,6.0,124.0,-2.470588235294118,0.8480392156862745,0.003176073579037917
EMG5_mean,10.0,99.0,-5.6421568627450975,0.36764705882352944,0.014348206474190724
EMG6_mean,24.0,104.0,-2.6862745098039214,0.6372549019607843,0.019442014192670363
EMG7_mean,13.0,64.0,-4.715686274509804,-1.7450980392156863,0.04784978800726832
Accl0_mean,59.0,63.0,0.7409739852941176,0.7540163431372547,0.7937007874015748
Accl1_mean,55.0,67.0,-0.41159713725490193,-0.3879992647058824,0.2858873410054512
Accl2_mean,81.0,87.0,0.5337943382352941,0.5401180784313725,0.5579302587176603
Gyr0_mean,12.0,42.0,-0.5107230392156863,-0.1982230392156863,0.1016002032004064
Gyr1_mean,29.0,90.0,-0.7371323529411764,-0.0974264705882353,0.03505207010414021
Gyr2_mean,11.0,70.0,-1.2049632352941175,-0.48131127450980393,0.037270341207349074
Orien0_mean,46.0,52.0,70.98039215686275,71.15196078431373,0.5579302587176603
Orien1_mean,67.0,70.0,40.872549019607845,41.85294117647058,1.0
Orien2_mean,23.0,31.0,108.05882352941177,109.07843137254902,0.42694663167104113
EMG0_min,51.0,68.0,-26.25,-20.75,0.19772528433945757
EMG1_min,111.0,129.0,-16.25,-7.75,0.18566100290095316
EMG2_min,80.0,130.0,-44.25,-8.5,0.04940558900725645
EMG3_min,67.0,108.0,-15.0,-9.75,0.0667416572928384
EMG4_min,3.0,21.0,-62.25,-36.0,0.18566100290095316
EMG5_min,52.0,80.0,-55.0,-36.0,0.11077925604127072
EMG6_min,53.0,104.0,-49.0,-27.0,0.04784978800726832
EMG7_min,39.0,87.0,-53.5,-32.0,0.0527076972521292
Accl0_min,53.0,71.0,0.7038575,0.7237549999999999,0.18566100290095316
Accl1_min,58.0,71.0,-0.45813024999999996,-0.4364015,0.26321709786276715
Accl2_min,79.0,100.0,0.49768075,0.5249025,0.1560486757337151
Gyr0_min,53.0,70.0,-7.328125,-6.125,0.19772528433945757
Gyr1_min,66.0,116.0,-11.65625,-6.296875,0.04940558900725645
Gyr2_min,31.0,97.0,-15.875,-7.21875,0.030085791514866615
Orien0_min,46.0,62.0,69.75,71.0,0.2112088930060213
Orien1_min,66.0,73.0,39.75,41.0,0.484251968503937
Orien2_min,29.0,39.0,108.0,109.0,0.34359341445955616
EMG0_max,30.0,115.0,16.75,56.0,0.016480498077275224
EMG1_max,2.0,13.0,6.75,14.25,0.3123359580052493
EMG2_max,1.0,16.0,5.5,23.25,0.2263779527559055
EMG3_max,20.0,63.0,7.0,12.0,0.06227630637079455
EMG4_max,92.0,120.0,30.0,48.25,0.11077925604127072
EMG5_max,13.0,86.0,20.75,70.5,0.024260480953394337
EMG6_max,7.0,92.0,18.0,69.0,0.016480498077275224
EMG7_max,33.0,116.0,29.0,81.0,0.017622797150356206
Accl0_max,50.0,68.0,0.7634275,0.78833,0.18566100290095316
Accl1_max,49.0,66.0,-0.38513200000000003,-0.3465575,0.19772528433945757
Accl2_max,54.0,81.0,0.5643309999999999,0.58764625,0.1158605174353206
Gyr0_max,7.0,82.0,2.6875,11.390625,0.022793203481143803
Gyr1_max,4.0,119.0,1.859375,14.3125,0.00407276676622319
