Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,5.0,131.0,-3.911764705882353,4.1911764705882355,0.0015500031000061972
EMG1_mean,21.0,127.0,-2.3382352941176467,2.4215686274509807,0.00919861652807418
EMG2_mean,36.0,111.0,-2.0392156862745097,0.9754901960784315,0.029009531703273934
EMG3_mean,45.0,118.0,-1.0686274509803921,-0.11274509803921567,0.030857629282826135
EMG4_mean,5.0,89.0,-2.534313725490196,-0.46078431372549017,0.02176933765632237
EMG5_mean,5.0,114.0,-6.294117647058823,1.6715686274509802,0.007874015748031496
EMG6_mean,53.0,120.0,-1.0245098039215685,2.2450980392156863,0.03705419175544233
EMG7_mean,21.0,130.0,-3.764705882352941,7.200980392156863,0.007874015748031496
Accl0_mean,97.0,116.0,0.7908002009803919,0.8128135588235297,0.2204724409448819
Accl1_mean,85.0,102.0,-0.3371749705882353,-0.3203962254901961,0.24934383202099736
Accl2_mean,28.0,72.0,0.4943967794117647,0.5258310784313724,0.07611548556430446
Gyr0_mean,80.0,127.0,0.21875,1.3357843137254903,0.0688976377952756
Gyr1_mean,5.0,89.0,-1.089767156862745,-0.11274509803921569,0.02176933765632237
Gyr2_mean,5.0,94.0,-1.6106004901960784,-0.13020833333333334,0.018372703412073487
Orien0_mean,83.0,105.0,72.9656862745098,74.03921568627452,0.18657993837726805
Orien1_mean,15.0,34.0,35.122549019607845,37.30392156862746,0.2204724409448819
Orien2_mean,125.0,131.0,144.84803921568627,149.3970588235294,0.703037120359955
EMG0_min,9.0,36.0,-63.0,-32.0,0.14623172103487064
EMG1_min,9.0,43.0,-76.75,-36.0,0.10911136107986502
EMG2_min,71.0,110.0,-48.0,-24.0,0.09055118110236221
EMG3_min,32.0,125.0,-23.25,-7.0,0.015915563746021107
EMG4_min,13.0,105.0,-43.25,-12.0,0.01651003302006604
EMG5_min,13.0,87.0,-101.75,-34.0,0.02992125984251969
EMG6_min,13.0,95.0,-89.25,-31.0,0.02324257660563514
EMG7_min,4.0,46.0,-94.25,-49.75,0.08148690715986083
Accl0_min,43.0,102.0,0.677368,0.7624507500000001,0.047244094488188976
Accl1_min,32.0,91.0,-0.5280757500000001,-0.399414,0.047244094488188976
Accl2_min,5.0,91.0,0.31567375,0.5069582499999999,0.020363833831115938
Gyr0_min,28.0,131.0,-10.03125,-1.421875,0.01059963658388855
Gyr1_min,3.0,19.0,-34.59375,-21.390625,0.26632700324224173
Gyr2_min,1.0,54.0,-44.484375,-11.859375,0.0568678915135608
Orien0_min,62.0,103.0,71.0,73.0,0.0843644544431946
Orien1_min,22.0,42.0,35.0,37.0,0.20809898762654666
Orien2_min,125.0,131.0,144.0,147.75,0.703037120359955
EMG0_max,53.0,127.0,23.0,78.75,0.02992125984251969
EMG1_max,85.0,117.0,41.5,75.25,0.11811023622047244
EMG2_max,29.0,44.0,33.0,41.5,0.2854330708661417
EMG3_max,9.0,81.0,5.75,18.0,0.03181965268040125
EMG4_max,8.0,84.0,7.0,26.0,0.028121484814398197
EMG5_max,26.0,97.0,29.0,83.25,0.032808398950131226
EMG6_max,25.0,112.0,28.75,87.25,0.01968503937007874
EMG7_max,84.0,124.0,53.0,88.5,0.087382369886691
Accl0_max,87.0,120.0,0.8110350000000001,0.90551775,0.11347846225104213
Accl1_max,83.0,123.0,-0.30200224999999997,-0.099731275,0.087382369886691
Accl2_max,49.0,90.0,0.5605467500000001,0.5981449999999999,0.0843644544431946
Gyr0_max,42.0,131.0,6.234375,41.4375,0.018372703412073487
Gyr1_max,1.0,91.0,1.59375,6.5,0.01773816734446656
Gyr2_max,113.0,126.0,18.1875,34.75,0.3318335208098988
Orien0_max,98.0,107.0,74.0,75.0,0.48031496062992124
Orien1_max,26.0,47.0,38.0,40.0,0.1968503937007874
Orien2_max,125.0,131.0,145.75,151.5,0.703037120359955
EMG0_stdev,102.0,125.0,13.646307022615499,26.001826312530024,0.17716535433070865
EMG1_stdev,88.0,119.0,14.646676231275674,24.777816869056288,0.12303149606299213
EMG2_stdev,34.0,46.0,12.457341235470842,15.621890702223737,0.3603876438522108
EMG3_stdev,29.0,76.0,3.8933273279334,6.392971841614416,0.0688976377952756
EMG4_stdev,16.0,79.0,4.272821350239402,9.34297145298098,0.041830708661417325
EMG5_stdev,46.0,100.0,15.308109802115695,29.46143272371663,0.05511811023622047
EMG6_stdev,41.0,87.0,13.642010296655513,22.55197534981157,0.07120120623219969
EMG7_stdev,62.0,128.0,16.9339918449557,32.672760288855336,0.03819485250910799
