Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,44.0,104.0,-1.338235294117647,-0.0196078431372549,0.05542544886807182
EMG1_mean,47.0,118.0,-1.3333333333333333,1.0686274509803921,0.03968253968253968
EMG2_mean,24.0,117.0,-2.911764705882353,1.5245098039215685,0.01925025329280648
EMG3_mean,26.0,116.0,-1.3970588235294117,-0.17647058823529413,0.02145473574045002
EMG4_mean,34.0,109.0,-1.431372549019608,0.0,0.03508771929824561
EMG5_mean,24.0,91.0,-2.980392156862745,-0.014705882352941176,0.04481792717086834
EMG6_mean,12.0,119.0,-3.7647058823529416,2.205882352941176,0.01058201058201058
EMG7_mean,26.0,116.0,-3.240196078431372,0.6029411764705882,0.02145473574045002
Accl0_mean,5.0,13.0,0.5807818186274509,0.6410965196078431,0.6507936507936508
Accl1_mean,32.0,56.0,-0.4686111960784314,-0.4096584166666667,0.2038095238095238
Accl2_mean,121.0,131.0,0.6515466960784314,0.6661017990196079,0.5238095238095238
Gyr0_mean,98.0,128.0,0.34375,1.5726102941176472,0.1551459293394777
Gyr1_mean,116.0,124.0,0.29044117647058826,0.4408700980392157,0.6507936507936508
Gyr2_mean,9.0,104.0,-1.2300857843137256,-0.0548406862745098,0.017857142857142856
Orien0_mean,61.0,104.0,71.8921568627451,74.00980392156863,0.09523809523809523
Orien1_mean,116.0,126.0,49.936274509803916,54.279411764705884,0.5238095238095238
Orien2_mean,21.0,63.0,107.99509803921569,116.19607843137254,0.09856035437430787
EMG0_min,97.0,128.0,-15.0,-8.75,0.1488095238095238
EMG1_min,67.0,129.0,-26.25,-8.75,0.05215419501133787
EMG2_min,90.0,130.0,-36.0,-9.5,0.1056910569105691
EMG3_min,118.0,131.0,-8.0,-6.25,0.4013605442176871
EMG4_min,97.0,131.0,-15.0,-6.25,0.13197278911564628
EMG5_min,62.0,106.0,-51.0,-27.75,0.09206349206349207
EMG6_min,48.0,109.0,-52.0,-25.0,0.05376344086021505
EMG7_min,83.0,124.0,-36.0,-20.75,0.10204081632653061
Accl0_min,5.0,20.0,0.5495605,0.62744175,0.34523809523809523
Accl1_min,34.0,74.0,-0.52490225,-0.43188475,0.1056910569105691
Accl2_min,117.0,129.0,0.5767825,0.641846,0.43589743589743585
Gyr0_min,24.0,126.0,-10.4375,-2.046875,0.013407304669440593
Gyr1_min,90.0,128.0,-8.953125,-3.578125,0.11355311355311354
Gyr2_min,68.0,130.0,-9.890625,-2.484375,0.05215419501133787
Orien0_min,61.0,109.0,71.0,74.0,0.08066083576287657
Orien1_min,118.0,126.0,49.0,53.5,0.6507936507936508
Orien2_min,28.0,66.0,108.0,116.0,0.11355311355311354
EMG0_max,1.0,65.0,8.0,24.0,0.049084249084249076
EMG1_max,5.0,80.0,8.0,37.0,0.03508771929824561
EMG2_max,7.0,32.0,12.75,35.0,0.19413919413919412
EMG3_max,0.0,67.0,3.75,13.0,0.04481792717086834
EMG4_max,2.0,68.0,5.0,19.0,0.04619758351101635
EMG5_max,34.0,112.0,33.0,99.25,0.03194695599758891
EMG6_max,35.0,104.0,33.0,81.75,0.042176870748299324
EMG7_max,4.0,62.0,17.75,41.25,0.058918482647296204
Accl0_max,5.0,18.0,0.618042,0.6744384999999999,0.4013605442176871
Accl1_max,29.0,62.0,-0.42675775000000005,-0.359253,0.1372549019607843
Accl2_max,119.0,125.0,0.6744384999999999,0.69397,0.8503401360544217
Gyr0_max,55.0,128.0,7.5,30.515625,0.03732303732303733
Gyr1_max,11.0,111.0,2.171875,9.546875,0.014615747289014614
Gyr2_max,4.0,64.0,2.0625,7.40625,0.05542544886807182
Orien0_max,70.0,103.0,72.0,74.0,0.1372549019607843
Orien1_max,114.0,126.0,50.0,54.75,0.43589743589743585
Orien2_max,17.0,56.0,107.75,117.0,0.10952380952380952
EMG0_stdev,3.0,33.0,3.6680901180119685,6.282132600244973,0.1551459293394777
EMG1_stdev,0.0,40.0,2.9754991232621677,8.115900472188612,0.1056910569105691
EMG2_stdev,1.0,33.0,4.39531896463167,12.30940409152022,0.14285714285714285
EMG3_stdev,1.0,27.0,2.418587226187302,3.7888912553337075,0.18518518518518517
EMG4_stdev,3.0,46.0,2.8646501889432665,6.001914913810063,0.09523809523809523
EMG5_stdev,26.0,88.0,11.804866580636169,24.227411644379902,0.05215419501133787
EMG6_stdev,42.0,94.0,13.985328987441417,24.12925018146347,0.07097933513027853
EMG7_stdev,1.0,60.0,8.794586367847412,16.634168262453663,0.057142857142857134
Accl0_stdev,2.0,55.0,0.005023322333318505,0.010132031964876989,0.06878306878306878
Accl1_stdev,0.0,83.0,0.005709272495258811,0.015855113202839815,0.0272108843537415
Accl2_stdev,5.0,104.0,0.0075214585236272075,0.01905515527431137,0.015238095238095238
Gyr0_stdev,14.0,120.0,1.4836299678619491,5.433852797143857,0.011125945705384957
Gyr1_stdev,2.0,45.0,1.2293688248287937,2.613928503226752,0.09523809523809523
Gyr2_stdev,2.0,29.0,1.0358447307375185,2.0982705524618392,0.17687074829931973
Orien0_stdev,13.0,100.0,0.0,0.4622900822071181,0.023809523809523808
Orien1_stdev,0.0,53.0,0.0,0.46039184223846163,0.06878306878306878
Orien2_stdev,1.0,115.0,0.0,0.7513610580307294,0.007039337474120085
EMG0_energy,3.0,33.0,719.5,1992.0,0.1551459293394777
EMG1_energy,0.0,38.0,462.5,3300.0,0.11355311355311354
EMG2_energy,1.0,34.0,1056.5,7926.0,0.1372549019607843
EMG3_energy,2.0,25.0,377.75,713.0,0.21428571428571427
EMG4_energy,3.0,43.0,417.5,1792.25,0.1056910569105691
EMG5_energy,26.0,88.0,7000.75,29602.25,0.05215419501133787
EMG6_energy,41.0,91.0,9855.25,29030.0,0.07563025210084033
EMG7_energy,2.0,59.0,4248.0,13755.25,0.06075533661740558
Accl0_energy,5.0,13.0,17.368815002262238,20.966747667526498,0.6507936507936508
Accl1_energy,75.0,98.0,8.568847965435753,11.208445034649499,0.21428571428571427
Accl2_energy,121.0,131.0,21.6580368662345,22.63179128084276,0.5238095238095238
Gyr0_energy,15.0,120.0,117.111328125,1574.7177734375,0.011680143755615454
Gyr1_energy,2.0,43.0,79.8115234375,349.8349609375,0.10204081632653061
Gyr2_energy,3.0,40.0,85.587890625,285.392578125,0.11779448621553884
Orien0_energy,61.0,104.0,263597.5,279350.5,0.09523809523809523
Orien1_energy,116.0,126.0,127178.25,151118.75,0.5238095238095238
Orien2_energy,21.0,63.0,594812.75,688594.0,0.09856035437430787
